ID,Author,Title,Year
SPETAO-17,Charles Spearman,The Abilities of Man: Their Nature and Measurement,1927
STEBIA-5,Robert J. Sternberg,Beyond Iq: A Triarchic Theory of Human Intelligence,1986
BLOIHA-3,N. J. Block and Gerald Dworkin,"Iq, Heritability and Inequality, Part 1",1974
SCHHMC-2,Michel Schiff and Michel Duyme and Annick Dumaret and Stanislaw Tomkiewicz,How Much Could We Boost Scholastic Achievement and Iq Scores? A Direct Answer From a French Adoption Study,1982
URBPAD,Peter Urbach,Progress and Degeneration in the 'Iq Debate' (I),1974
GIBSIM,John C. Gibbs and Keith F. Widaman,Social Intelligence: Measuring the Development of Sociomoral Reflection,1982
UCHCEO,Ryutaro Uchiyama and Rachel Spicer and Michael Muthukrishna,Cultural Evolution of Genetic Heritability,2021
JUNTPI,Rex E. Jung and Richard J. Haier,The Parieto-Frontal Integration Theory (P-Fit) of Intelligence: Converging Neuroimaging Evidence,2007
MACIAH-4,Nicholas Mackintosh,Iq and Human Intelligence,2011
SCHDIT-5,"Peter H. Sch\""{o}nemann",Do Iq Tests Really Measure Intelligence?,1983
JENPOB,Arthur R. Jensen,Pr\'{e}cis of Bias in Mental Testing,1980
CURGAB,Devin Sanchez Curry,\_{G}_ as Bridge Model,2021
SERTCR-3,Davide Serpico,"The Cyclical Return of the Iq Controversy: Revisiting the Lessons of the Resolution on Genetics, Race and Intelligence",2021
DICHEV,William T. Dickens and James R. Flynn,Heritability Estimates Versus Large Environmental Effects: The Iq Paradox Resolved,2001
MALMIF,Catherine Malabou,Morphing Intelligence: From Iq Measurement to Artificial Brains,2019
LARAPO-2,Cristian Larroulet Philippi,"Against Prohibition (or, When Using Ordinal Scales to Compare Groups is Ok)",forthcoming
ALFSTA-2,Mark Alfano,Stereotype Threat and Intellectual Virtue,2014
BLOTIC-2,N. J. Block and Gerald Dworkin,The Iq Controversy,1979
KAPRIA,Jonathan Michael Kaplan,"Race, Iq, and the Search for Statistical Signals Associated with so-Called ?X?-Factors: Environments, Racism, and the ?Hereditarian Hypothesis?",2015
YOUNTM,Jacy L. Young,Numbering the Mind: Questionnaires and the Attitudinal Public,2017
URBPAD-2,Peter Urbach,Progress and Degeneration in the 'Iq Debate' (Ii),1974
EGETOI,Jonathan Egeland,Theories of Independent Intelligences as a Lakatosian Research Program,2022
ALFIRA,Mark Alfano and Latasha Holden and Andrew Conway,"Intelligence, Race, and Psychological Testing",2017
AVRCOG,Avram Hiller,"Comment on Gignac and Zajenkowski, ?the Dunning-Kruger Effect is (Mostly) a Statistical Artefact: Valid Approaches to Testing the Hypothesis with Individual Differences Data?",2023
GLYWWW,Clark Glymour,What Went Wrong? Reflections on Science by Observation and the Bell Curve,1998
RINSOE,Heiner Rindermann and David Becker and Thomas R. Coyle,Survey of Expert Opinion on Intelligence: Causes of International Differences in Cognitive Ability Tests,2016
Hamelin2023-BLIMIE,Borhane Blili{-}Hamelin and Leif Hancox{-}Li,Making Intelligence: Ethical Values in Iq and Ml Benchmarks,2023
MICTFS,Joel Michell,The Fashionable Scientific Fraud: Collingwood?s Critique of Psychometrics,2020
PETHAH-3,Peter Taylor,Heritability and Heterogeneity: The Irrelevance of Heritability in Explaining Differences Between Means for Different Human Groups or Generations,2006
SCHICN-2,Susanne Schregel,Introduction: Contested Narratives of the Mind and the Brain: Neuro/Psychological Knowledge in Popular Debates and Everyday Life,2020
BORLFM,John G. Borkowski and Scott E. Maxwell,Looking for Mr. Good- G: General Intelligence and Processing Speed,1985
GORIOV,Robert A. Gordon,Implications of Valid Iq Differences: An Unstatesmanlike View,1980
VANAEP-5,Steven G. Vandenberg,An Existence Proof for Intelligence?,1980
CATIAG,Raymond B. Cattell,Intelligence and G: An Imaginative Treatment of Unimaginative Data,1985
HYRITS,"Matti H\""{a}yry","Increasing the Sum Total of General Intelligence, as Measured by Individual Iq Scores",2016
TAYTPA,Peter Taylor,Three Puzzles and Eight Gaps: What Heritability Studies and Critical Commentaries Have Not Paid Enough Attention To,2010
FELDAO-2,Adam Feltz and Jacob N. Caton and Zac Cogley and Mylan Engel and Silke Feltz and Ramona Ilea and L. Syd M. Johnson and Tom Offer{-}Westort,Developing an Objective Measure of Knowledge of Factory Farming,2022
MACSDA-3,N. J. Mackintosh,Sex Differences and Iq,1996
ROWEVA,David C. Rowe and Joseph L. Rodgers,Expanding Variance and the Case of Historical Changes in Iq Means: A Critique of Dickens and Flynn (2001),2002
DERATR-2,W. Derryberry and Kristy Jones and Frederick Grieve and Brian Barger,Assessing the Relationship Among Defining Issues Test Scores and Crystallised and Fluid Intellectual Indices,2007
NELQAQ,Katherine Nelson,Quantitative and Qualitative Research in Psychological Science,2015
FLYSAI,James R. Flynn,Sociobiology and Iq Trends Over Time,1986
BYFTMT,Andy Byford,The Mental Test as a Boundary Object in Early-20 Th -Century Russian Child Science,2014
LOETIP,John C. Loehlin,The Iq Paradox: Resolved? Still an Open Question,2002
STETPM-2,William Stern and G. M. Whipple,The Psychological Methods of Testing Intelligence,1916
PEATFO-6,H. Peak and E. G. Boring,The Factor of Speed in Intelligence,1926
DICTIP,William T. Dickens and James R. Flynn,The Iq Paradox is Still Resolved: Reply to Loehlin (2002) and Rowe and Rodgers (2002),2002
LAROTC-5,Cristian Larroulet Philippi,On the Challenges of Measurement in the Human Sciences,2023
WOOGII,Michael A. Woodley of Menie and Heitor B. F. Fernandes and Jan te Nijenhuis and Mateo Pe\~{n}aherrera{-}Aguirre and Aurelio Jos\'e Figueredo,General Intelligence is a Source of Individual Differences Between Species: Solving an Anomaly,2017
KOOITA-3,Gerald P. Koocher,Iq Testing: A Matter of Life or Death,2003
CANDLG,J. G. Cannon,"Do Linguistic Group Tests of Intelligence, Non-Linguistic Group Tests of Intelligence and Scholastic Tests Measure the Same Thing?",1927
RIEIDO,Rodney P. Riegle,In Defense of Iq Testing,1977
