ID,Author,Title,Year
IACVAA,Andrea Iacona,Valid Arguments as True Conditionals,2023
GEARAG,Peter Thomas Geach,Reference and Generality: An Examination of Some Medieval and Modern Theories,1980
DUTFML,Catarina Dutilh Novaes,"Formalizing Medieval Logical Theories: Suppositio, Consequentiae and Obligationes",2007
PARAML,Terence Parsons,Articulating Medieval Logic,2014
ASHLAL,Earline Jennifer Ashworth,Language and Logic in the Post-Medieval Period,1974
REAFAM,Stephen Read,Formal and Material Consequence,1994
KLIJB,Gyula Klima,John Buridan,2009
FRATSO,James Franklin,The Science of Conjecture: Evidence and Probability Before Pascal,2001
NOVRLH,Catarina Dutilh Novaes,Reassessing Logical Hylomorphism and the Demarcation of Logical Constants,2012
REATLP,Stephen Read,The Liar Paradox From John Buridan Back to Thomas Bradwardine,2002
KRECHO,Norman Kretzmann and Anthony Kenny and Jan Pinborg,Cambridge History of Later Medieval Philosophy,1982
REASAA-2,Stephen Read,"Swyneshed, Aristotle and the Rule of Contradictory Pairs",2020
BCKORL,Allan Ba?ck,On Reduplication: Logical Theories of Qualification,1996
HENMLA-2,Desmond Paul Henry,Medieval Logic and Metaphysics: A Modern Introduction,1972
STUDAI,Eleonore Stump,Dialectic and its Place in the Development of Medieval Logic,1989
LAGMSI,Henrik Lagerlund,Modal Syllogistics in the Middle Ages,2000
BRAI-8,Thomas Bradwardine,Insolubilia,2010
EBBCAC,Sten Ebbesen,Commentators and Commentaries on Aristotle's Sophistici Elenchi: A Study of Post-Aristotelian Ancient and Medieval Writings on Fallacies,1981
THOLAO,Paul Thom,Logic and Ontology in the Syllogistic of Robert Kilwardby,2007
HUSITT,Edmund Husserl,Introduction to the Logical Investigations: A Draft of a Preface to the Logical Investigations (1913),1975
BOCAHO-2,Jozef Maria Boche\'{n}ski,A History of Formal Logic,1961
ANDSFT-3,Claus A. Andersen,Scientia Formalitatum. The Emergence of a New Discipline in the Renaissance,2024
SANSRF-2,Alexander Sandgren,Swyneshed Revisited,forthcoming
MACSQA-5,Fabrizio Macagno,Secundum Quid and the Pragmatics of Arguments. The Challenges of the Dialectical Tradition,2022
BLALAA-2,Deborah L. Black,Logic and Aristotle?s Rhetoric and Poetics in Medieval Arabic Philosophy,1990
REATMT,Stephen Read,The Medieval Theory of Consequence,2012
BOHELI-2,Ivan Boh,Epistemic Logic in the Later Middle Ages,1993
DEMBCO,Lorenz Demey,Boolean Considerations on John Buridan's Octagons of Opposition,2018
SCHMGI-2,Boaz Faraday Schuman,Multiple Generality in Scholastic Logic,2022
NOVMOA-3,C. Dutilh Novaes,Medieval Obligationes as Logical Games of Consistency Maintenance,2005
Marquez2015-MORTTN-2,Ana Mar\'{i}a Mora{-}M\'{a}rquez,The Thirteenth-Century Notion of Signification: The Discussions and Their Origin and Development,2015
THOMMS,Paul Thom,Medieval Modal Systems: Problems and Concepts,2003
REAPSA-3,Stephen Read,Plural Signification and the Liar Paradox,2009
ZARAST-2,Mohammad Saleh Zarepour,Abhar\=i?s Solution to the Liar Paradox: A Logical Analysis,2021
DERLM,Lambertus Marie de Rijk,Logica Modernorum,1962
SPATML,Paul Vincent Spade,The Mediaeval Liar: A Catalogue of the Insolubilia-Literature,1975
MAITLD,Alfonso Maieru?,Terminologia Logica Della Tarda Scolastica,1972
YRJMFL,"Mikko Yrj\""{o}nsuuri","Medieval Formal Logic: Obligations, Insolubles and Consequences",2001
FRATSO-13,James Franklin,The Science of Conjecture,2003
HOCATC-3,Joshua Hochschild,Aquinas's Two Concepts of Analogy and a Complex Semantics for Naming the Simple God,2019
SPAI,Paul Vincent Spade,Insolubles,2008
Toland2014-BROQOO,Susan Brower{-}Toland,William Ockham on the Scope and Limits of Consciousness,2014
RAHUTA,Shahid Rahman and Tero Tulenheimo and Emmanuel Genot,"Unity, Truth and the Liar: The Modern Relevance of Medieval Solutions to the Liar Paradox",2008
KLIEAR,Gyula Klima,Existence and Reference in Medieval Logic,manuscript
LAMAAA-2,Joep Lameer,Al-Fa?Ra?Bi? and Aristotelian Syllogistics: Greek Theory and Islamic Practice,1994
BOEML,Philotheus Boehner,Medieval Logic,1952
BYRPAO-2,Edmund F. Byrne,Probability and Opinion: A Study in the Medieval Presuppositions of Post-Medieval Theories of Probability,1968
Gonzalez2019-ESTANR,Luis Estrada{-}Gonz\'{a}lez and Elis\'{a}ngela Ram\'{i}rez{-}C\'{a}mara,A Nelsonian Response to ?the Most Embarrassing of All Twelfth-Century Arguments?,2019
NORTNI,Calvin G. Normore,The Necessity in Deduction: Cartesian Inference and its Medieval Background,1993
REAMTP,Stephen Read,Medieval Theories: Properties of Terms,2002
DUTTCC,Catarina Dutilh Novaes and Stephen Read,The Cambridge Companion to Medieval Logic,2016
SYLMCO,E. Sylla,Medieval Concepts of the Latitude of Forms. The Oxford Calculators,1973
DERSTC,L. M. De Rijk,Some Thirteenth Century Tracts on the Game of Obligation,1974
STESAP-4,Stephen Read,Symmetry and Paradox,2006
Rouayheb2009-ELRIAA,Khaled El{-}Rouayheb,Impossible Antecedents and Their Consequences: Some Thirteenth-Century Arabic Discussions,2009
SPATWA,Paul Vincent Spade,"Thoughts, Words and Things: An Introduction to Late Mediaeval Logic and Semantic Theory",manuscript
KLITMP,Gyula Klima,The Medieval Problem of Universals,2008
CDUACT,C. Dutilh Novaes,A Comparative Taxonomy of Medieval and Modern Approaches to Liar Sentences,2008
KREMLO,Norman Kretzmann,Medieval Logicians on the Meaning of the Propositio,1970
STRAL,Tony Street,Arabic Logic,2004
EBBTDM,Sten Ebbesen,The Dead Man is Alive,1979
DERSNO,L. M. De Rijk,"Some Notes on the Mediaeval Tract de Insolubilibus, with the Edition of a Tract Dating From the End of the Twelfth Century",1966
BASTSO-12,Jean{-}Yves B\'{e}ziau and Gianfranco Basti,The Square of Opposition: A Cornerstone of Thought,2016
Rouayheb2018-ELRTDO,Khaled El{-}Rouayheb,The Development of Arabic Logic,2018
YRJOTC,"Mikko Yrj\""{o}nsuuri",Obligationes: 14Th Century Logic of Disputational Duties,1994
PRIMCS,Graham Priest and Stephen Read,Merely Confused Supposition,1980
REATOC,Stephen Read,Thomas of Cleves and Collective Supposition,1991
