ID,Author,Title,Year
SALJOS,Victor Salas,John of St. Thomas (Poinsot) on the Science of Sacred Theology (1st edition),2024
Castrillejo2024-TORPRO-3,David Torrijos{-}Castrillejo,Philosophical Reflection on Beauty in the Late Middle Ages: The Case of Jean Gerson,2024
VALCID-2,Estiven Valencia Marin,Coloquio Interinstitucional de Estudiantes de Patrolog\'{i}a En Colombia (1st edition),2024
THADCO,Mark Thakkar,Duces Caecorum: On Two Recent Translations of Wyclif,2020
OAKASI-2,Jeffrey A. Oaks,Algebraic Symbolism in Medieval Arabic Algebra,2012
Marin2024-VALDFD-2,Estiven Valencia{-}Marin,Dimensi\'{o}n Filos\'{o}fica Del Cristianismo Antiguo. Relaci\'{o}n Entre Filosof\'{i}a y Fe Cristiana (1st edition),2024
NEWTAA-7,William Newman,Technology and Alchemical Debate in the Late Middle Ages,1989
TOIPOO,Juhana Toivanen,Peter Olivi on Internal Senses,2007
BEYTMI,Fegani Beyler,The Methodological Issues on Al-Jazari?s Scientific Heritage in Russian Studies,2023
POLOOC,Andrej Poleev,On One Case of Condensation.,2020
FORIFS,Giacomo Fornasieri,?Intelligere Formaliter Solum Connotat Aliquid Ut Apparens?. Peter Auriol on the Nature of the Cognitive Act,2021
TOIPSI,Juhana Toivanen,"Perceptual Self-Awareness in Seneca, Augustine, and Olivi",2013
YAVBEA,Mustafa Yavuz,Bot\'{a}nica En Al-\'{A}ndalus: Un Estudio Comparativo de Trabajos Ilustrados de Bot\'{a}nica En El Magreb y M\'{a}shreq,2017
EBB_TP,Sten Ebbesen,Si Tantum Pater Est Non Tantum Pater Est:An English Sophisma From the Late Thirteenth Century,2015
LAMTEO-12,Andreas Lammer,The Elements of Avicenna?s Physics: Greek Sources and Arabic Innovations,2016
VARDYS-2,Gonzalo Montenegro Vargas,Dante y Su Pensamiento Pol\'{i}tico,2003
FORDAP,Ernest L. Fortin,Dissent and Philosophy in the Middle Ages: Dante and His Precursors,2002
KRAITA-2,Richard Krautheimer,"Introduction to an ""Iconography of Mediaeval Architecture""",1942
BURTLO,Charles S. F. Burnett,The Legend of the Three Hermes and Ab\=u Ma'shar's Kit\={a}b Al-Ul\={u}f in the Latin Middle Ages,1976
KNETCO-3,C. H. Kneepkens,"The Collection of Grammatical Sophismata in Ms London, Bl, Burney 330. An Exploratory Study",2015
Castrillejo2019-TORSTC-2,David Torrijos{-}Castrillejo,Santo Tom\'{a}s Como Ex\'{e}geta B\'{i}blico En Su Comentario Al Evangelio de San Juan,2019
PETTNH-2,Edward Peters and Walter P. Simons,The New Huizinga and the Old Middle Ages,1999
SAMAOI,Julio Sams\'o,Astronomical Observations in the Maghrib in the Fourteenth and Fifteenth Centuries,2001
KENAAT-9,Erik Kenyon,Augustine and the Dialogue,2018
VALMPD,Estiven Valencia Mar\'{i}n,Metaf\'{i}sica Plotiniana de la Luz. Perspectiva Te\'{o}rica En El Arte Cristiano de la Escol\'{a}stica,2018
TOIOOM,Juhana Toivanen,Olivi on Moral Vices and Self-Love,2024
SADDJM,Gregory Sadler,"Divine Justice, Mercy, and Intercession in Anselm's Prayers",2022
SADIGJ,Gregory Sadler,Is God's Justice Unmerciful in Anselm's Cur Deus Homo?,2015
LIKSAD,Luk\'{a}vs Li\v{c}ka,Studying and Discussing Optics at the Prague Faculty of Arts: Optical Topics and Authorities in Prague Quodlibets and John of Borot\'{i}n?s \emph{Quaestio} on Extramission,2021
Marin2021-VALEED-4,Estiven Valencia{-}Marin,Estimaci\'{o}n Er\'{o}tica Del Amor Cristiano En Las Confesiones de San Agust\'{i}n,2021
COOHB-4,Glen M. Cooper,Hagar Banished: Departing From the Latin Galen and its Arabic Sources in the Aldine Edition,2012
