ID,Author,Title,Year
GOOMF,Rachel Goodman and Aidan Gray,Mental Filing,2022
SCHNCA-8,Laura Schroeter,Normative Concepts: A Connectedness Model,2014
PROSMO-2,Simon Prosser,Shared Modes of Presentation,2018
MARHTA,Eric Margolis,How to Acquire a Concept,1998
GOOATM-4,Rachel Goodman,Against the Mental Files Conception of Singular Thought,2016
MURTMF-2,Michael Murez and Joulia Smortchkova and Brent Strickland,The Mental Files Theory of Singular Thought: A Psychological Perspective,2020
SCHWBA,Laura Schroeter,Why Be an Anti-Individualist?,2008
PROTMO-13,Simon Prosser,The Metaphysics of Mental Files,2020
OPETAM,James Openshaw,Thinking About Many,2020
GOOOTS-2,Rachel Goodman,On the Supposed Connection Between Proper Names and Singular Thought,2018
CLAMFS-2,Henry Clarke,Mental Filing Systems: A User's Guide,2021
GOOMFP,Rachel Goodman,Mental Files,2024
CLAFPA-4,Henry Clarke,Frege Puzzles and Mental Files,2018
THOAEC-4,Lucas Thorpe,"Atomic Event Concepts in Perception, Action and Belief",2022
GOOMFC,Rachel Goodman and Aidan Gray,"Mental Filing, Continued",2024
BALITA-2,Derek Ball,"Indexicality, Transparency, and Mental Files",2015
ONOMFA,Andrea Onofri,Mental Files and Rational Inferences,2015
GEISTC-3,Heimir Geirsson,"Singular Thought, Cognitivism, and Conscious Attention",2018
ECHPIT,Santiago Echeverri,Putting I-Thoughts to Work,2021
GOOMFA,Thea Goodsell,Mental Files and Their Identity Conditions,2013
MURBFA-3,Michael Murez,Belief Fragments and Mental Files,2021
LANCCA-16,Kyle Landrum,"Coordination, Content, and Conflation",2023
MURECA-3,Michael Murez and Brent Strickland,Event Completion: A Test Case for Theories of Reference in Memory,2024
BARATE-3,Michael Barkasi,Are There Epistemic Conditions Necessary for Demonstrative Thought?,2019
MURLFF,Michael Murez,Le Fressellianisme Face au Dilemme de L?Accointance,2019
SCHJRA,Laura Schroeter and Fran\c{c}ois Schroeter,"Jazz Redux: A Reply to M\""{o}ller",2014
OPEDST,James Openshaw,Does Singular Thought Have an Epistemic Essence?,forthcoming
GOORTT-4,Rachel Goodman,"Referring to the World, by Kenneth A. Taylor",forthcoming
CHEIIR,Hsiang{-}Yun Chen,Intentional Identity Revisited,2017
SOUPSE-2,Ludovic Soutif,Pens\'{e}e Singuli\`{e}re Et Conception Normative de L?Accointance,2019
GASMFA,Luca Gasparri,Mental Files and the Lexicon,2016
MURIMV,Michael Murez and Enzo Thouzeau{-}Corpel,Incroyables Mais Vraies : Les Identit\'{e}s Physico-Ph\'{e}nom\'{e}nales Et le Mod\`{e}le des Fichiers Mentaux,2024
TSOMFA-2,Vasilis Tsompanidis,Mental Files and Times,2018
SHECAT-11,Nicholas Shea,Concepts at the Interface,2024
PALROS-3,Michele Palmira,"Review of Singular Thought and Mental Files, Oxford: Oxford University Press",2020
CHEARO-11,Hsiang{-}Yun Chen,A Review of Recanati?s Mental Files,2020
