ID,Author,Title,Year
VARMEE,Achille C. Varzi,Mereology,2016
BURPTP,Michael B. Burke,"Preserving the Principle of One Object to a Place: A Novel Account of the Relations Among Objects, Sorts, Sortals, and Persistence Conditions",1994
CHIPAO-5,Roderick M. Chisholm,Person and Object: A Metaphysical Study,1976
BRIP-7,Phillip Bricker,Composition as a Kind of Identity,2016
CHIPAE,Roderick M. Chisholm,Parts as Essential to Their Wholes,1973
KLEMAL,Shieva Kleinschmidt,Mereology and Location,2014
WALCAI-17,Meg Wallace,"Composition as Identity, Modal Parts, and Mereological Essentialism",2014
JAMMEM,James van Cleve,"Mereological Essentialism, Mereological Conjunctivism, and Identity Through Time",1986
SIDMAS,Theodore Sider,Monism and Statespace Structure,2008
SIMPSI-2,Peter M. Simons,Parts Study in Ontology: A Study in Ontology,1987
MERCAI,Trenton Merricks,"Composition as Identity, Mereological Essentialism, and Counterpart Theory",1999
VANCMS-7,Peter Van Inwagen,Can Mereological Sums Change Their Parts?,2006
KOSAMA-3,Kathrin Koslicki,Aristotle?s Mereology and the Status of Form,2006
NEEMMM,Paul Needham,Macroscopic Metaphysics: Middle-Sized Objects and Longish Processes,2017
MILNU,Kristie Miller,Non-Mereological Universalism,2006
SATPSG,Thomas Sattig,"Part, Slot, Ground: Foundations for Neo-Aristotelian Mereology",2019
OLSTPO-2,Eric T. Olson,The Paradox of Increase,2006
CHIMES,Roderick M. Chisholm,Mereological Essentialism: Some Further Considerations,1975
PLAOME,Alvin Plantinga,On Mereological Essentialism,1975
PUSNSA,Joel Pust,Natural Selection and the Traits of Individual Organisms,2004
WIGME,David Wiggins,Mereological Essentialism: Asymmetrical Essential Dependence and the Nature of Continuants,1979
MORWME-2,James Porter Moreland,Why Mereological Essentialism Applies to Mereological Aggregates,2023
MILES,Kristie Miller,Essential Stuff,2008
BORNPS-3,Andrea Borghini and Giorgio Lando,"Natural Properties, Supervenience, and Mereology",2011
CASTE,Roberto Casati and Achille Varzi,Topological Essentialism,2000
ARLSTR,Andrew Arlig,Some Twelfth-Century Reflections on Mereological Essentialism,2013
WIGMEA,David Wiggins,Mereological Essentialism,1979
MCKBSA,McKenzie Kerry and F. A. Muller,Bound States and the Special Composition Question,2017
DANDEH,Paul R. Daniels and Dana Goswick,Do Events Have Their Parts Essentially?,2017
KAZPAP,Ali Akhtar Kazmi,Parthood and Persistence,1990
STECCC-2,Mark Steen,Chisholm?s Changing Conception of Ordinary Objects,2008
LANCCA-12,Giorgio Lando and Massimiliano Carrara,Contingent Composition as Identity,2018
ODEWAO-2,David S. Oderberg,Who?s Afraid of Reverse Mereological Essentialism?,2023
BORCTV,Andrea Borghini,Counterpart Theory Vindicated: A Reply to Merricks,2005
ROSNPA-3,Garry Rosenkrantz,Nonexistent Possibles and Their Individuation,1984
NICMEC-2,David Nicolas,"Mereological Essentialism, Composition, and Stuff: A Reply to Kristie Miller",2009
JOHHOM-6,Stamatios Gerogiorgakis and Johanna Seibt and Guido Imaguire,Handbook of Mereology,2007
CAMME,Ross Cameron,Mereological Essentialism,manuscript
WILMER,Dallas Willard,Mereological Essentialism Restricted,1994
JONAAD,Tessa Jones,Amending and Defending Constitution,2011
SKRCSO-2,Jeremy W. Skrzypek,"Complex Survivalism, Or: How to Lose Your Essence and Live to Tell About It",2017
DANM,Paul R. Daniels,Mereology,2016
PAADSO-3,J. T. Paasch,"Duns Scotus on Identities -- I Mean, Mereological Fusions",2021
MOOMEA-3,Dwayne Moore,Mereological Essentialism and Mereological Inessentialism,2015
GRYWOM,Mariusz Grygianiec,W Obronie Mereologicznego Esencjalizmu,2005
GRYZME,Mariusz Grygianiec,Zasady Mereologicznego Esencjalizmu,2007
SATMO,Thomas Sattig,Material Objects,2021
NEEMMA,Paul Needham,"Modality, Mereology and Substance",2012
STEBOO,Mark Steen,"Bare Objects, Ordinary Objects, and Mereological Essentialism",manuscript
GRYIOW,Mariusz Grygianiec,Identyczno\'{s}'c Osobowa W Czasie: Konsekwencje Esencjalizmu,2006
SIDMJO,Theodore Sider,"Michael Jubien, Ontology, Modality, and the Fallacy of Reference",1999
ZIMAAF,Dean Wallace Zimmerman,An Argument for Mereological Essentialism,1992
FREMAI,Robert Earl Frederick,Mereology and Identity,1984
