ID,Author,Title,Year
PLUDAT-2,David Plunkett and Timothy Sundell,Disagreement and the Semantics of Normative and Evaluative Terms,2013
VAVEDO,Katia Vavova,Evolutionary Debunking of Moral Realism,2015
SARFMR-3,Hagop Sarkissian and John Park and David Tien and Jennifer Cole Wright and Joshua Knobe,Folk Moral Relativism,2011
WOOTAO-31,Jack Woods,The Authority of Formality,2018
WODMFN,Daniel Wodak,Mere Formalities: Fictional Normativity and Normative Authority,2019
SPEWTB,Jack Spencer and Ian Wells,Why Take Both Boxes?,2019
MOODML,Andrew Moon,Debunking Morality: Lessons From the Eaan Literature,2017
VYRNEA,"Pekka V\""{a}yrynen",Normative Explanation and Justification,2021
HOPTMS,Jeroen Hopster,The Meta-Ethical Significance of Experiments About Folk Moral Objectivism,2019
SPETPA-10,Jack Spencer,The Procreative Asymmetry and the Impossibility of Elusive Permission,2021
ARVMAA,Marcus Arvan,Morality as an Evolutionary Exaptation,2021
DACSWA,Stefanie Dach,"Sellars, We-Intentions and Ought-Statements",2021
SCHRFR-4,Sebastian Schmidt,Responsibility for Rationality: Foundations of an Ethics of Mind,2025
Picker2023-ATTATE,Mario Attie{-}Picker,Against the Entitlement Model of Obligation,2023
FERCAI-4,Luca Ferrero,Inescapability Revisited,2018
HOWIDO-3,Christopher Howard,In Defense of the Wrong Kind of Reason,2016
MORANE-6,Justin Morton,A New Evolutionary Debunking Argument Against Moral Realism,2016
SINEIE,Uri D. Leibowitz and Neil Sinclair,Explanation in Ethics and Mathematics: Debunking and Dispensability,2016
MOLIIA,Motsamai Molefe,Individualism in African Moral Cultures,2017
ENOWDY-2,David Enoch and Tristram McPherson,What Do You Mean ?This Isn?T the Question??,2017
STUMOE,Nicholas L. Sturgeon,Moore on Ethical Naturalism,2003
PAROFA,Panos Paris,"On Form, and the Possibility of Moral Beauty",2018
MILTED,Christian Miller,The Euthyphro Dilemma,2021
MIHIDA-2,Emilian Mihailov,Is Deontology a Moral Confabulation?,2015
ARVBNF,Marcus Arvan,Bad News for Conservatives? Moral Judgments and the Dark Triad Personality Traits: A Correlational Study,2013
WODWRM,Daniel Wodak,Why Realists Must Reject Normative Quietism,2017
DAVMDA-2,Cory Davia and Michele Palmira,Moral Deference and Deference to an Epistemic Peer,2015
STRREN-2,Ryan Stringer,Realist Ethical Naturalism for Ethical Non-Naturalists,2018
VYRNCI,"Pekka V\""{a}yrynen",Normative Commitments in Metanormative Theory,2018
LAVWTW,Samuel Laves,"Why the Wrongness of Killing Innocent, Non-Threatening People is a Universal Moral Certainty",2021
ARVRAF,Marcus Arvan,Rightness as Fairness: A Moral and Political Theory,2016
JEFGAM,Anne Jeffrey,God and Morality,2019
CHAAPK,Berman Chan,A Platonic Kind-Based Account of Goodness,2021
HARHAS-8,Parker Haratine,How Anselm Separates Morality From Happiness,2024
JORDCO,Matthey Carey Jordan,Divine Commands or Divine Attitudes?,2013
ARRTVO-2,Caroline T. Arruda,"The Varieties of Moral Improvement, or Why Metaethical Constructivism Must Explain Moral Progress",2017
BRATCO-46,Eric Brandstedt,The Circumstances of Intergenerational Justice,2015
SMIDMF,Holly Smith,Deriving Morality From Rationality,1991
FISMAI-2,Andrew Fisher,Metaethics: An Introduction,2011
SUISRA,Jussi Suikkanen,"Subjectivism, Relativism and Contextualism (2nd edition)",2023
ARRRRA-7,Robert L. Arrington,"Rationalism, Realism, and Relativism: Perspectives in Contemporary Moral Epistemology",1989
CHAAEM-3,Berman Chan,An Ebola-Like Microbe and the Limits of Kind-Based Goodness,2022
KLEHOE-2,Michael Klenk,Higher Order Evidence and Moral Epistemology,2019
SMIM-3,Michael Smith,Meta-Ethics,2005
SUITIE,Jussi Suikkanen,This is Ethics: An Introduction,2014
ARRWCA,Caroline T. Arruda,Why Care About Being an Agent,2017
LILTEO-2,Hallvard Lillehammer,The Epistemology of Ethical Intuitions,2011
FANIMM,Jeremy Fantl,Is Metaethics Morally Neutral?,2006
ARRWKO-2,Caroline T. Arruda,What Kind of Theory is the Humean Theory of Motivation?,2017
PAUORA,Sarah K. Paul and Jennifer M. Morton,Of Reasons and Recognition,2014
MOLAAP-3,Motsamai Molefe,An African Perspective on the Partiality and Impartiality Debate: Insights From Kwasi Wiredu's Moral Philosophy,2017
NIVBAA,Yarden Niv,Beyond All-or-Nothing Approaches to Moral Expertise,2021
HEARIE-2,Chris Heathwood,Reductionism in Ethics,2013
HEUBWR,Ulrike Heuer,Beyond Wrong Reasons: The Buck-Passing Account of Value,2010
WODAOT,Daniel Wodak,Approving on the Basis of Moral and Aesthetic Testimony,2021
DEIAIT-2,John Deigh,An Introduction to Ethics,2010
RACTEO-11,James Rachels and Stuart Rachels,"The Elements of Moral Philosophy, 9Th Edition",2019
ARPIB,Nomy Arpaly,I--on Benevolence,2018
WITMET,Silvan Wittwer,"Moral Error Theory, Explanatory Dispensability and the Limits of Guilt",2020
BAITPO-22,Nicholas Baima,The Problem of Ethical Vagueness for Expressivism,2014
BILLPA,Ray Billington,Living Philosophy: An Introduction to Moral Thought,1993
SKAMAC,Knut Olav Skarsaune,Metaethics as Conceptual Engineering,forthcoming
GENEAC-4,Harry Gensler,"Ethics: A Contemporary Introduction, 3Rd Edition",2018
ALWICA,Andrew Alwood,Imperative Clauses and the Frege?Geach Problem,2010
ARRCAT,Caroline T. Arruda,Constitutivism and the Self-Reflection Requirement,2016
CULTEO-2,Carolyn Culbertson,The Ethics of Relationality: Judith Butler and Social Critique,2013
SINIEI,Neil Sinclair and Uri D. Leibowitz,Introduction: Explanation in Ethics and Mathematics,2016
POJ_DR-3,Louis P. Pojman and James Fieser,"\emph{Ethics: Discovering Right and Wrong}, 8Th Edition",2017
BEWOEN,Elvis Imafidon and John Ayotunde Isola Bewaji,Ontologized Ethics: New Essays in African Meta-Ethics,2013
KEEBMJ,Machiel Keestra,Bounded Mirroring. Joint Action and Group Membership in Political Theory and Cognitive Neuroscience,2012
JOYMPH,Richard Joyce,Metaethical Pluralism: How Both Moral Naturalism and Moral Skepticism May Be Permissible Positions,manuscript
KUPEK-4,Joel Kupperman,Ethical Knowledge,1970
WONIPW,David Wong,Integrating Philosophy with Anthropology in an Approach to Morality,2014
CULTGP,Carolyn Culbertson,"The Genuine Possibility of Being-With: Watsuji, Heidegger, and the Primacy of Betweenness",2019
JOHAPI-5,Jens Johansson and Jonas Olson,Against Pluralism in Metaethics,2015
SEVEDA,Eleonora Severini,Evolutionary Debunking Arguments and the Moral Niche,2016
HYAWDR,Keith Hyams,When Do Risky Choices Justify Inequality?,2017
Landau2019-SHAACI-4,Russ Shafer{-}Landau,A Concise Introduction to Ethics,2019
JAQQPS,Fran\c{c}ois Jaquet and Hichem Naar,\emph{Qui Peut Sauver la Morale? Essai de M\'{e}ta\'{e}thique},2019
MILCCT,Christian Miller,Continuum Companion to Ethics,2011
MILRFT-2,Christian Miller,Resources for the Fields of Metaethics and Normative Theory,2011
JOAAIT-2,Jeremiah Joven Joaquin,An Introduction to Metaethics,2013
MCNCOT,David Mcnaughton and Piers Rawling,Contours of the Practical,2013
ARVFRS,Marcus Arvan,From Rational Self-Interest to Liberalism: A Hole in Cofnas?s Debunking Explanation of Moral Progress,2024
Landau2018-SHATFO-39,Russ Shafer{-}Landau,"The Fundamentals of Ethics, 4Th Edition",2018
PAUCTG-2,Mayer Paul,"5 Challenges to Naturalistic, Secular Moral Realism",manuscript
HAMAFA-8,Jesse Hambly,Advice for Analytic Naturalists,2022
URAEAU,Tomasz \.{Z}uradzki,Ethics and Uncertainty: The Guest Editor?s Introduction,2017
ALVAEN,Marco Aur\'{e}lio Sousa Alves,Are Emotions Necessary and Sufficient for Making Moral Judgments?,2013
STRATM,Bart Streumer,Are There Moral Truths?,manuscript
WALMAM-26,Kenneth Walden,Mores and Morals: Metaethics and the Social World,2018
ROSMEA-4,Benjamin Rossi,Moral Excuses and Blame-Based Theories of Moral Wrongness,2016
BRANWI,Michael Brady,New Waves in Metaethics,2010
LACMPU,Michael Lacewing,Moral Philosophy (Unit 2),2004
SCHNIE-6,Mark Schroeder,"Noncognitivism in Ethics, 2Nd Edition (2nd edition)",2023
INGGPI,Andrew Ingram,"Guilt, Practical Identity, and Moral Staining",2017
INGTVO-3,Andrew Ingram,Two Varieties of Evil,2024
FERCM-3,Luca Ferrero,"Constitutivism, Moral",2021
ARPIAN,Nomy Arpaly,It Ain't Necessarily So,2018
MILDTD-5,Joseph Len Miller,Decolonizing the Demarcation of the Ethical,2020
RADROM-3,Linda Radzik,Richardson on Moral Innovation,2023
FISOPT-2,Stefan Fischer,"On Promoting the Dead Certain. A Reply to Behrends, Dipaolo, and Sharadin (Discussion Note)",2017
MOLAAR-3,Motsamai Molefe,An African Religious Ethics and the Euthyphro Problem,2017
