ID,Author,Title,Year
ENOTMS-2,David Enoch,Taking Morality Seriously: A Defense of Robust Realism,2011
EKLCNC,Matti Eklund,Choosing Normative Concepts,2017
BRONR,John Broome,Normative Requirements,1999
HARTNO-3,Gilbert Harman,The Nature of Morality: An Introduction to Ethics,1977
VAVEDO,Katia Vavova,Evolutionary Debunking of Moral Realism,2015
HURVVA,Thomas Hurka,"Virtue, Vice, and Value",2001
WORWII,Alex Worsnip,What is (in)Coherence?,2018
JANTRA-5,Jan Gertken and Benjamin Kiesewetter,The Right and the Wrong Kind of Reasons,2017
BAITMP-2,Kurt Baier,The Moral Point of View,1958
BAKSAO-2,Derek Clayton Baker,Skepticism About Ought Simpliciter,2018
BOGOAN,Tomas Bogardus,Only All Naturalists Should Worry About Only One Evolutionary Debunking Argument,2016
SHEIPO,George Sher,In Praise of Blame,2005
MCHTNO,Conor McHugh and Daniel Whiting,The Normativity of Belief,2014
FESJDA,Steven Fesmire,John Dewey and Moral Imagination: Pragmatism in Ethics [Brief Sample],2003
STUME-4,Nicholas Sturgeon,Moral Explanations,1984
FOGENR,Daniel Fogal and Olle Risberg,Explaining Normative Reasons,2023
SCHECI-7,Joshua Schechter,Explanatory Challenges in Metaethics,2018
FOGRRA,Daniel Fogal,"Reasons, Reason, and Context",2016
BEEMOA,James R. Beebe and David Sackris,Moral Objectivism Across the Lifespan,2016
SILTSQ,Matthew Silverstein,The Shmagency Question,2015
WARPFA-4,Mark Warren and Amie Thomasson,Prospects for a Quietist Moral Realism,2023
FRIFAA-9,James Fritz,Fitting Anxiety and Prudent Anxiety,2021
MIZOCA,Moti Mizrahi,"Ought, Can, and Presupposition: An Experimental Study",2015
GRAOAA,Peter Graham,'Ought' and Ability,2011
HOPEHM,Jeroen Hopster,Explaining Historical Moral Convergence: The Empirical Case Against Realist Intuitionism,2020
ENOOAT,David Enoch and Itamar Weinshtock Saadon,"Oh, All the Wrongs I Could Have Performed! Or: Why Care About Morality, Robustly Realistically Understood",2023
MILCMA-3,Alexander Miller,Contemporary Metaethics: An Introduction,2013
QUECVW,Matthieu Queloz,Choosing Values? Williams Contra Nietzsche,2021
SAMQAT,Jack Samuel,Alienation and the Metaphysics of Normativity: On the Quality of Our Relations with the World,2023
ROSFPA-3,Enzo Rossi,"Facts, Principles, and (Real) Politics",2016
EKLTEO,Matti Eklund,The Existence of Personites,2020
COFADE,Nathan Cofnas,A Debunking Explanation for Moral Progress,2020
FLEDPT-2,Guy Fletcher,Dear Prudence: The Nature and Normativity of Prudential Discourse,2021
FISTIO-15,Fisher Matthew and Knobe Joshua and Strickland Brent and C. Keil Frank,The Influence of Social Interaction on Intuitions of Objectivity and Subjectivity,2017
Armstrong1985-SINMDA,Walter Sinnott{-}Armstrong,Moral Dilemmas and Incomparability,1985
Smith1954-NOWE-9,P. H. Nowell{-}Smith,Ethics,1954
ROBTC-3,Debbie Roberts,Thick Concepts,2018
LEVEDO,Arnon Levy and Itamar Weinshtock Saadon,Evolutionary Debunking of (Arguments for) Moral Realism,2023
HORIDO-10,David Horst,In Defense of Constitutivism About Epistemic Normativity,2022
WRITMG,Jennifer C. Wright and Piper T. Grandjean and Cullen B. McWhite,The Meta-Ethical Grounding of Our Moral Beliefs: Evidence for Meta-Ethical Pluralism,2013
FIXTSO,Jeremy David Fix,Two Sorts of Constitutivism,2019
MCPANC,Tristram McPherson,Authoritatively Normative Concepts,2010
BEEHDK,James R. Beebe,How Different Kinds of Disagreement Impact Folk Metaethical Judgments,2014
DACSWA,Stefanie Dach,"Sellars, We-Intentions and Ought-Statements",2021
BEEMOI,James Beebe and Runya Qiaoan and Tomasz Wysocki and Miguel A. Endara,?Moral Objectivism in Cross-Cultural Perspective?,2015
CRITIE,Crispin Wright,Truth in Ethics,1995
EKLPLO,Matti Eklund,"Possible Limits of Conceptual Engineering: Magnetism, Fixed Points and Inescapability",forthcoming
FIXTEC,Jeremy David Fix,The Error Condition,2020
ROSFPT-5,David Rose and Shaun Nichols,From Punishment to Universalism,2018
COPTRO-10,David Copp,The Ring of Gyges: Overridingness and the Unity of Reason,1997
CUNDTM,Terence Cuneo and Christos Kyriacou,Defending the Moral/Epistemic Parity,2018
MCGRDD,Sarah McGrath,Relax? Don?T Do It! Why Moral Realism Won't Come Cheap,2014
FERCAI-4,Luca Ferrero,Inescapability Revisited,2018
Moshe2020-BENHGP,Nir Ben{-}Moshe,Hume's General Point of View: A Two-Stage Approach,2020
HEACMH,Chris Heathwood,Could Morality Have a Source?,2012
KAUEAM,Antti Kauppinen,Empathy and Moral Judgment,2017
LEISEA,Uri D. Leibowitz,Scientific Explanation and Moral Explanation,2011
MYEDDT-2,Robert H. Myers and Claudine Verheggen,Donald Davidson?s Triangulation Argument: A Philosophical Inquiry,2015
MORGTN,Justin Morton,Grounding the Normative: A Problem for Structured Non-Naturalism,2020
SINMRF,Neil Sinclair,"Moral Realism, Face-Values and Presumptions",2012
REIFVA-2,Andrew Reisner,"Fittingness, Value and Trans-World Attitudes",2015
BYKTVS,Krister Bykvist,Taking Values Seriously,2021
KYRAED,Christos Kyriacou,Are Evolutionary Debunking Arguments Self-Debunking?,2016
RICATO,David A. J. Richards,A Theory of Reasons for Action,1971
POWMOP,Audrey Powers,Moral Overfitting,forthcoming
TREIFP,Shelley Tremain,Introducing Feminist Philosophy of Disability,2013
LASEMI,Nicholas Laskowski,Epistemic Modesty in Ethics,2018
COFHGC,Nathan Cofnas,How Gene?Culture Coevolution Can--but Probably Did Not--Track Mind-Independent Moral Truth,2023
FIXTIR,Jeremy David Fix,The Instrumental Rule,2020
ALWNNF,Andrew Alwood,Non-Descriptive Negation for Normative Sentences,2016
EKLRTC,Matti Eklund,Reply to Critics,2020
FLEACA-4,Guy Fletcher,Against Contextualism About Prudential Discourse,2019
