ID,Author,Title,Year
WILKAI,Timothy Williamson,Knowledge and its Limits,2000
STRTSO,Barry Stroud,The Significance of Philosophical Scepticism,1984
STINAE,Jonathan M. Weinberg and Shaun Nichols and Stephen Stich,Normativity and Epistemic Intuitions,2001
SCHPBJ,Eric Schwitzgebel and Fiery Cushman,"Philosophers? Biased Judgments Persist Despite Training, Expertise and Reflection",2015
WEIHTC,Jonathan M. Weinberg,How to Challenge Intuitions Empirically Without Risking Skepticism,2007
WILGBA-2,Michael Williams,Groundless Belief: An Essay on the Possibility of Epistemology,1977
FRATRE,Bryan Frances,The Reflective Epistemic Renegade,2010
WILPIA-2,Timothy Williamson,Philosphical 'Intuitions' and Scepticism About Judgement,2004
DIXXWI,Jonathan Dixon,X-Phi Within its Proper Bounds,2024
NICMMI,Shaun Nichols and Stephen Stich and Jonathan M. Weinberg,Metaskepticism: Meditations in Ethnoepistemology,2003
BEEIPA-2,Helen Beebee,The Presidential Address: Philosophical Scepticism and the Aims of Philosophy,2018
UNGADO,Peter Unger,A Defense of Skepticism,1971
BERSTA,Michael Bergmann,Skeptical Theism and Rowe's New Evidential Argument From Evil,2001
PUTPIA,Hilary Putnam,"Philosophy in an Age of Science: Physics, Mathematics, and Skepticism",2012
BALDBT-3,Nathan Ballantyne,Debunking Biased Thinkers,2015
LYNIPO,Michael Patrick Lynch,In Praise of Reason,2012
BERSTA-2,Michael Bergmann,Skeptical Theism and the Problem of Evil,2008
COLWPD,Annalisa Coliva and Louis Doulas,What Philosophical Disagreement and Philosophical Skepticism Hinge On,2022
LUPTS,Steven Luper,The Skeptics: Contemporary Essays,2003
GRENAC-4,Patrick Greenough,Neutralism and Conceptual Engineering,2019
BRESAP,Jason Brennan,Scepticism About Philosophy,2010
FRAD-3,Bryan Frances,Disagreement,2010
NAGMIG,Jennifer Nagel,Mindreading in Gettier Cases and Skeptical Pressure Cases,2012
DOTTFA,Kristie Dotson,Tales From an Apostate,2019
MIZFAA,Moti Mizrahi,"For and Against Scientism: Science, Methodology, and the Future of Philosophy",2022
GRUDAP,Thomas Grundmann,Doubts About Philosophy? The Alleged Challenge From Disagreement,2013
FRAPSK,Bryan Frances,Philosophical Renegades,2013
MIZWBA-2,Moti Mizrahi,Why Be an Intellectually Humble Philosopher?,2016
FRAPPA-14,Bryan Frances,Philosophical Proofs Against Common Sense,2021
FRAEPA-7,Bryan Frances,Extensive Philosophical Agreement and Progress,2017
FRAWSA-2,Bryan Frances,Worrisome Skepticism About Philosophy,2016
BERIDO-15,Michael Bergmann and Michael Rea,In Defence of Sceptical Theism: A Reply to Almeida and Oppy,2005
LONTOA-8,Guy Longworth,The Ordinary and the Experimental: Cook Wilson and Austin on Method in Philosophy,2018
