ID,Author,Title,Year
BOUWDP,David Bourget and David J. Chalmers,What Do Philosophers Believe?,2014
SIDWTB,Theodore Sider,Writing the Book of the World,2011
EKLCNC,Matti Eklund,Choosing Normative Concepts,2017
KAUTRA,Antti Kauppinen,The Rise and Fall of Experimental Philosophy,2007
BRUEAA-4,Georg Brun,Explication as a Method of Conceptual Re-Engineering,2016
KOCEWO,Steffen Koch,Engineering What? On Concepts in Conceptual Engineering,2020
NAOMI,Naomi Thompson,Metaphysical Interdependence,2016
QUEDPH,Matthieu Queloz,Does Philosophy Have a Vindicatory History? Bernard Williams on the History of Philosophy,2017
DIXNHF,Jonathan Dixon,No Hope for Conciliationism,2024
FLEHTE-2,Will Fleisher,How to Endorse Conciliationism,2020
BRUCRF-2,Georg Brun,Conceptual Re-Engineering: From Explication to Reflective Equilibrium,2020
KNOAEP,Joshua Knobe and Shaun Nichols,An Experimental Philosophy Manifesto,2008
KNOEP,Joshua Knobe,Experimental Philosophy,2006
LEVAAC,Neil Levy,Analytic and Continental Philosophy: Explaining the Differences,2003
DECPBA,Helen De Cruz,Prestige Bias: An Obstacle to a Just Academic Philosophy,2018
SARPWP,I\c{s}i{}k Sar\i{}han,Problems with Publishing Philosophical Claims We Don't Believe,2023
POVALQ,Mark Povich,(A Little) Quantified Modal Logic for Normativists,forthcoming
MIZTCS,Moti Mizrahi,The Case Study Method in Philosophy of Science: An Empirical Study,2020
YADTPO-2,David B. Yaden and Derek E. Anderson,The Psychology of Philosophy: Associating Philosophical Views with Psychological Traits in Professional Philosophers,2021
BENFET,Jiri Benovsky,From Experience to Metaphysics: On Experience-Based Intuitions and Their Role in Metaphysics,2015
GOMOTN,Anil Gomes and Andrew Stephenson and Adrian Moore,On the Necessity of the Categories,2022
RALTEO-3,Thomas Raleigh,The Emptiness of Naturalism,forthcoming
SIDDD,Theodore Sider,Dasgupta's Detonation,2022
MCGPIP,Colin McGinn,Problems in Philosophy: The Limits of Inquiry,1993
EKLTEO,Matti Eklund,The Existence of Personites,2020
BRAPSP,Darren Bradley,Philosophers Should Prefer Simpler Theories,2018
TREKDD,Shelley L. Tremain,"Knowing Disability, Differently",2017
MIZTAD,Moti Mizrahi and Mike Dickinson,The Analytic-Continental Divide in Philosophical Practice: An Empirical Study,2021
MIZSMT,Zoe Ashton and Moti Mizrahi,Show Me the Argument: Empirically Testing the Armchair Philosophy Picture,2018
BAIWCM,Andrew M. Bailey and Andrew Brenner,Why Composition Matters,2020
EKLIAR-5,Matti Eklund,Inconsistency and Replacement,2019
DELWIP-6,Finnur Dells\'{e}n and Tina Firing and Insa Lawler and James Norton,What is Philosophical Progress?,2024
ANDHIE,James Andow,How ?Intuition? Exploded,2015
MIZWSB,Moti Mizrahi,What?s so Bad About Scientism?,2017
EKLPLO,Matti Eklund,"Possible Limits of Conceptual Engineering: Magnetism, Fixed Points and Inescapability",forthcoming
MIZPRA,Moti Mizrahi and Michael Adam Dickinson,"Philosophical Reasoning About Science: A Quantitative, Digital Study",2022
Vakkuri2018-YLISEW,Juhani Yli{-}Vakkuri,Semantic Externalism Without Thought Experiments,2018
FIOETI,M. Oreste Fiocco,Each Thing is Fundamental: Against Hylomorphism and Hierarchical Structure,2019
RECTTT-2,Tanja Rechnitzer,Turning the Trolley with Reflective Equilibrium,2022
DOTTFA,Kristie Dotson,Tales From an Apostate,2019
BALKA,Nathan Ballantyne,Knockdown Arguments,2014
ANDTFA-4,James Andow,"Thin, Fine and with Sensitivity: A Metamethodology of Intuitions",2015
SKOCRC,Krzysztof S\k{e}kowski,"Concept Revision, Concept Application and the Role of Intuitions in Gettier Cases",forthcoming
FLOWIA,Luciano Floridi,What is a Philosophical Question?,2013
HIMEOT,Johannes Himmelreich,Ethics of Technology Needs More Political Philosophy,2020
LANTTO-24,Ethan Landes,The Threat of the Intuition-Shaped Hole,2023
KAINIT,Marie I. Kaiser,Normativity in the Philosophy of Science,2019
SCHTIO-115,Eric Schwitzgebel and Linus Ta{-}Lun Huang and Andrew Higgins and Ivan Gonzalez{-}Cabrera,The Insularity of Anglophone Philosophy: Quantitative Analyses,2018
DESTEV,Johan De Smedt and Helen De Cruz,The Epistemic Value of Speculative Fiction,2015
LADAAF,James Ladyman,An Apology for Naturalized Metaphysics,2017
FANPRI,Marcos Fanton and Hugo Mota and Carolina de Melo Bomfim Ara\'{u}jo and Mitieli Seixas da Silva and Raquel Canuto,Philosophical Research in Brazil: A Structural Topic Modeling Approach with a Focus on Temporal and Gender Trends,forthcoming
LASEMI,Nicholas Laskowski,Epistemic Modesty in Ethics,2018
EKLRTC,Matti Eklund,Reply to Critics,2020
MIZIDO,Moti Mizrahi,In Defense of Weak Scientism: A Reply to Brown,2017
KNOEPA-2,Joshua Knobe,Experimental Philosophy and Philosophical Significance,2007
MAXAFW,Nicholas Maxwell,Arguing for Wisdom in the University: An Intellectual Autobiography,2012
WIEIRA,Jan Willem Wieland,Infinite Regress Arguments,2013
CORSTC,John Corcoran,Schemata: The Concept of Schema in the History of Logic,2006
WIEIRA-2,Jan Willem Wieland,Infinite Regress Arguments,2013
KRIMAC-2,Uriah Kriegel,Metaphysics and Conceptual Analysis: Experimental Philosophy's Place Under the Sun,2017
REYPAA-4,Jack Reynolds,"Phenomenology, Abduction, and Argument: Avoiding an Ostrich Epistemology",2022
RAAPCT,Peter B. Raabe,Philosophical Counseling: Theory and Practice,2001
MAXANT,Nicholas Maxwell,A New Task for the Philosophy of Science,2019
MIZTSD,Moti Mizrahi,The Scientism Debate: A Battle for the Soul of Philosophy?,2019
MOLPAL,Friederike Moltmann,Philosophical and Linguistic Intuitions and the Core-Periphery Distinction,forthcoming
MIZWSK,Moti Mizrahi,Why Scientific Knowledge is Still the Best,2018
MAUIHA,Seymour Mauskopf and Tad Schmaltz,Integrating History and Philosophy of Science: Problems and Prospects,2011
ALETPO-39,Billon Alexandre,The Psychopathology of Metaphysics,2024
WILTFF-4,Jessica M. Wilson,The Fundamentality First Approach to Metaphysical Structure,forthcoming
MIZYAT,Moti Mizrahi,Your Appeals to Intuition Have No Power Here!,2022
CONPAT-18,Bruno Contestabile and Michael Hampe,Philosophy as Therapy - \emph{a Review of Konrad Banicki's Conceptual Model},manuscript
MIZMID,Moti Mizrahi,More in Defense of Weak Scientism,2018
MELCIA-2,Yitzhak Y. Melamed,"Charitable Interpretations and the Political Domestication of Spinoza, or, Benedict in the Land of the Secular Imagination",2013
TURPOP,John Turri,Perceptions of Philosophical Inquiry: A Survey,2016
TREANC,Shelley Tremain,Philosophy and the Apparatus of Disability,2020
DODNJA,Susan Dodds and Eliza Goddard,Not Just a Pipeline Problem,2013
BISTPO-8,Michael A. Bishop,The Possibility of Conceptual Clarity in Philosophy,1992
ZHEAJF,Robin Zheng,"A Job for Philosophers: Causality, Responsibility, and Explaining Social Inequality",2018
JEURDI,Alexander A. Jeuk,Rejecting Dreyfus? Introspective ?Phenomenology?. The Case for Phenomenological Analysis,2020
BENPMA,Jiri Benovsky,"Primitiveness, Metaontology, and Explanatory Power",2013
