ID,Author,Title,Year
CHAM-9,Ryan Wasserman and David Manley and David Chalmers,Metametaphysics: New Essays on the Foundations of Ontology,2009
STRIAE-2,Peter Frederick Strawson,Individuals: An Essay in Descriptive Metaphysics,1959
MAUTMW,Tim Maudlin,The Metaphysics Within Physics,2007
LADETM,James Ladyman and Don Ross,Every Thing Must Go: Metaphysics Naturalized,2007
BIRNML-2,Alexander Bird,Nature's Metaphysics: Laws and Properties,2007
HEIFAO-2,John Heil,From an Ontological Point of View,2003
CHAAMF-2,Anjan Chakravartty,A Metaphysics for Scientific Realism: Knowing the Unobservable,2007
LOWTFO-10,Edward Jonathan Lowe,The Four-Category Ontology: A Metaphysical Foundation for Natural Science,2005
LOWTPO-12,Edward Jonathan Lowe,"The Possibility of Metaphysics: Substance, Identity, and Time",1998
WITROT-23,Ludwig Wittgenstein,Remarks on the Foundations of Mathematics,1956
LEWPIM,David K. Lewis,Papers in Metaphysics and Epistemology: Volume 2,1999
LOUMAC-7,Michael J. Loux and Thomas M. Crisp,Metaphysics: A Contemporary Introduction,1997
SIDCDI,Theodore Sider and John Hawthorne and Dean W. Zimmerman,Contemporary Debates in Metaphysics,2008
LOWASO,E. Jonathan Lowe,A Survey of Metaphysics,2002
HAWME,John Hawthorne,Metaphysical Essays,2006
TAYM,Richard Taylor,Metaphysics,1963
HEIITM-3,Martin Heidegger,Introduction to Metaphysics,2000
ANSMAT,Gertrude Elizabeth Margaret Anscombe,Metaphysics and the Philosophy of Mind,1981
LEBAMV,Baptiste Le Bihan and Adrien Barton,Analytic Metaphysics Versus Naturalized Metaphysics: The Relevance of Applied Ontology,2021
PRUTPO-4,Alexander R. Pruss,The Principle of Sufficient Reason: A Reassessment,2006
UNGATP,Peter K. Unger,All the Power in the World,2006
HAKFOR,"Jani Hakkarainen and Markku Kein\""{a}nen",Formal Ontology,2023
POSTFO,John F. Post,The Faces of Existence: An Essay in Nonreductive Metaphysics,1987
DENIAE-3,David Denby,Essence and Intrinsicality,2014
WIPTMT-4,John F. Wippel,The Metaphysical Thought of Thomas Aquinas: From Finite Being to Uncreated Being,2000
