ID,Author,Title,Year
HENTEO-4,Michel Henry,The Essence of Manifestation,1973
HENIAT,Michel Henry,I Am the Truth: Toward a Philosophy of Christianity,2003
HENPAP-2,Michel Henry,Philosophy and Phenomenology of the Body,1975
ZAHMHA,Dan Zahavi,Michel Henry and the Phenomenology of the Invisible,1999
HENQPD,Michel Henry,Quatre Principes de la Ph\'{e}nom\'{e}nologie,1991
ZAHSAI,Dan Zahavi,Subjectivity and Immanence in Michel Henry,manuscript
HENTCO-7,Michel Henry,The Critique of the Subject,1988
FALITA-2,Emmanuel Falque,Is There a Flesh Without Body?,2016
DEHNAO,Agust\'{i}n Serrano de Haro,New and Old Approaches to the Phenomenology of Pain,2012
TENNPI,L\'{a}szl\'o Tengelyi,New Phenomenology in France,2012
CONTWO,Daniel W. Conway,The Wilderness of Henry Bugbee,2003
SCHRLM-3,Max Schaefer,Revolutionizing Labor: Marx and Michel Henry on the Power of Praxis,2024
SEYFLT,Fr\'{e}d\'{e}ric Seyler,From Life to Existence: A Reconsideration of the Question of Intentionality in Michel Henry?s Ethics,2012
HENPOL,Michel Henry,Phenomenology of Life,2003
DELPIF,Steven DeLay,Phenomenology in France: A Philosophical and Theological Introduction,2018
HAOIMH,Changchi Hao,Is Michel Henry's Radical Phenomenology of Life a Christian Philosophy?,2022
WALFDL-3,Roberto J. Walton,Facetas de la Corporalidad En la \'{E}tica Husserliana,2014
SIMMHC,Simon Jarvis,Michel Henry?s Concept of Life,2009
WELWDW-4,Ruud Welten,What Do We Hear When We Hear Music?,2009
STETPO-2,Anthony J. Steinbock,The Problem of Forgetfulness in Michel Henry,1999
BROTS-9,Virgil W. Brower,Techno-Telepathy \& Silent Subvocal Speech-Recognition Robotics,2021
HALTDD-5,Joshua M. Hall,Trans-Religious Dancing Dialogues: Michel Henry on Dionysus and the Crucified,forthcoming
AUDMH,Paul Audi,Michel Henry,2008
HENE-6,Michel Henry,Entretiens,2005
YAMMOT-4,Anna Yampolskaya,Metamorphoses of the Subject: Kandinsky Interpreted by Michel Henry and Henri Maldiney,2018
SCHTTN-4,Max Schaefer,Turning the Natural World Into a Moral World: Michel Henry on the Vocation of Life,2023
VASOLT,Basil Vassilicos,Of Life That Resists,2015
ERKTCO,Ekin Erkan,The Call of Being: On Pure Phenomenality and Radical Immanence,2020
RIVGIA,Joseph M. Rivera,"Generation, Interiority and the Phenomenology of Christianity in Michel Henry",2011
HENTCO-8,Michel Henry,The Concept of Being as Production,1985
HARAPT-5,James G. Hart,A Phenomenological Theory and Critique of Culture: A Reading of Michel Henry's la Barbarie,1999
RORTHN,Richard Rorty,The Higher Nominalism in a Nutshell: A Reply to Henry Staten,1986
Schwartz2017-LOUQOG,Olga Louchakova{-}Schwartz,"Qualia of God: Phenomenological Materiality in Introspection, with a Reference to Advaita Vedanta",2017
EJETPO-3,Charley Mejame Ejede,"The Phenomenology of Life and the Experience of Affectivity in Michel Henry, Indian and Leopold S\'{e}dar Senghor?s Thought",2023
GAGLPD-2,R\'{e}my Gagnon,La Philosophie de la Chair de Michel Henry. Vers Une Onto-Ph\'{e}nom\'{e}nologie de L?Individualit\'e,2010
JEATPA,Jean{-}Fran\c{c}ois Lavigne,The Paradox and Limits of Michel Henry?s Concept of Transcendence,2009
LILTBS,Lilian Alweiss,The Bifurcated Subject,2009
HARSAO-9,Kevin Hart,?Spiritual Acoustics?: On Being in Common,2016
VICHII,Enrico Vicinelli Polucci,Henry-Studien in Italien,2009
SCHSFA-27,Max Schaefer,"Searching for a Life Beyond Law: Agamben, Henry, and a Coming Christianity",2023
LAOLL,S\'{e}bastien Laoureux,L'immanence a? la Limite: Recherches Sur la Phe?Nome?Nologie de Michel Henry,2005
HANMHC,Jeffrey Hanson,Michel Henry?s Critique of the Limits of Intuition,2009
SCHTFO-64,Max Schaefer,The Failure of Life: Michel Henry and the Ethics of Incompleteness,2017
SEYLFQ,Fr\'{e}d\'{e}ric Seyler,La Fonction Quasi-Performative de la Ph\'{e}nom\'{e}nologie de la Vie Et Son Enjeu \'{E}thique,2010
NEANIN,Mihail Neam\c{t}u,"?N\~{a}scut, Iar Nu F\~{a}cut?, Note Despre Filozofia Revelatiei la Michel Henry",2001
JEAQPU,Gr\'{e}gori Jean,"Quand Peut Un Corps? Corpor\'{e}it\'e, Affectivit\'e Et Temporalit\'e Chez Michel Henry",2011
SCHBOT-8,Max Schaefer,Bonds of Trust: Thinking the Limits of Reciprocity with Heidegger and Michel Henry,2019
RIQHBE,Camille Riquier,"Henry, Bergson Et la Ph\'{e}nom\'{e}nologie Mat\'{e}rielle",2009
SCHMHL,Julia Scheidegger,"Michel Henrys Lebensph\""{a}nomenologie Als Hermeneutikkritik",2009
HENLB,Michel Henry,Lettre \`A Bernard Forthomme,2009
Maturano2012-GARFOG,\'{A}ngel Enrique Garrido{-}Maturano,?Fenomenolog\'{i}a o Gnosis? El L\'{i}mite Fenomenol\'{o}gico Del Acceso a la Relaci\'{o}n Religiosa En la Filosof\'{i}a Del Cristianismo de M. Henry,2012
SCHAPO-15,Max Schaefer,A Psychoanalysis of Individuation: The Affective Heart of Repression in Michel Henry,2020
SEYIRP,Fr\'{e}d\'{e}ric Seyler,Is Radical Phenomenology Too Radical? Paradoxes of Michel Henry's Phenomenology of Life,2013
CERLCP,Jan Cerny,L?Individu Comme Probl\`{e}me Ph\'{e}nom\'{e}nologique Chez Hannah Arendt Et Michel Henry,2012
GSCWAN,Christina M. Gschwandtner,"What About Non-Human Life? An ""Ecological"" Reading of Michel Henry's Critique of Technology",2012
DUSLPA,Jean{-}Baptiste Dussert,Literary Practice According to Michel Henry: A Philosophical Introduction to His Novels,2012
HARMPA-22,Brian Harding,Minimalist Phenomenology and van der Leeuw?s Phenomenology of Religion,2021
MARFDP-2,Jean{-}Luc Marion,"Figures de Ph\'{e}nom\'{e}nologie: Husserl, Heidegger, Levinas, Henry, Derrida",2012
GSCPRA,Christina M. Gschwandtner,Paul Ric\o{e}ur and the Relationship Between Philosophy and Religion in Contemporary French Phenomenology,2012
HARAAM-9,Brian Harding,Auto-Affectivity and Michel Henry's Material Phenomenology,2012
KELMHA-3,Michael R. Kelly and Jeff Hanson,"?Michel Henry and the Idea of Phenomenology,?",2012
SCHTHM-12,Max Schaefer,The Dawning Ethics of Aleatory Materialism: A Study of Marx and Michel Henry,2021
DUCLCD,Olivier Ducharme,Le Concept d'Habitus Chez Michel Henry,2012
JEASLS,Gr\'{e}gori Jean and Jean Leclercq,"Sur la Situation Ph\'{e}nom\'{e}nologique du Marx de Michel Henry : \'{E}tude de "" Notes"" In\'{e}dites",2012
SEYMHE,Fr\'{e}d\'{e}ric Seyler,Michel Henry Et la Critique du Politique,2009
TAYOOJ,Garland Martin Taylor,Out of Jest: The Art of Henry Jackson Lewis,2014
CANGEL,Serge Cantin,Grandeur Et Limites du Marx de Michel Henry,1990
LIPMHY,Mario Lipsitz,Michel Henry y la Cr\'{i}tica Del Intuicionismo,2000
Jacobsen1989-BORMHP,Mikkel Borch{-}Jacobsen and Michel Henry,Michel Henry Philosophy and Psychoanalysis,1989
KRASJO,Andrzej Krawiec,Sztuka Jako Objawienie \.{Z}ycia W Perspektywie Fenomenologii Michela Henry?Ego,2021
SCHRTE-12,Max Schaefer,Renewing the Erotic Relation: Michel Henry and the Lover's Night,2023
KELDOT-2,Michael Kelly,Dispossession: On the Untenability of Michel Henry's Theory of Self-Awareness,2004
VANUNO,Georges Van Riet,Une Nouvelle Ontologie Ph\'{e}nom\'{e}nologique. La Philosophie de Michel Henry,1966
MOOTFA-2,Christoph Moonen,Touching From a Distance,2009
GRATLG,Frank Grady,The Lancastrian Gower and the Limits of Exemplarity,1995
MARMHB,Florinda Martins,Michel Henry: Beatitude e Fenomenologia,2004
SEYRBA,Fr\'{e}d\'{e}ric Seyler,"Renaud Barbaras and Michel Henry: A Contemporary Debate on the Status of Affectivity and a Farewell to the ""Flesh of the World""",2016
BROTTA-7,Stephen Eric Bronner,Tribute to a Socialist: Henry M. Pachter,1980
KHNLUK,"Rolf K\""{u}hn","Lebenspraxis Und Kulturkritik. Zu Michel Henry's J\""{u}ngster Ver\""{o}ffentlichung ""la Barbarie"" Im Rahmen Seiner Ph\""{a}nomenologie der Immanenz",1988
MERRPR,Ronald L. Mercer Jr,Radical Phenomenology Reveals a Measure of Faith and a Need for a Levinasian Other in Henry?s Life,2010
CANMHN,Carla Canullo,Michel Henry: Narrare Il Pathos,2007
HATLCP-2,Jad Hatem,L?Art Comme Ph\'{e}nom\'{e}nologie de la Subjectivit\'e Absolue,2009
BOVGTT,Paul A. Bov\'e,"Giving Thought to America: Intellect and ""the Education of Henry Adams""",1996
