ID,Author,Title,Year
LAUTPO-2,John Christian Laursen,"The Politics of Skepticism in the Ancients, Montaigne, Hume, and Kant",1992
LANWIT-5,R. Lanier Anderson and Rachel Cristy,What is ?the Meaning of Our Cheerfulness?? Philosophy as a Way of Life in Nietzsche and Montaigne,2017
TODIGT,Tzvetan Todorov,Imperfect Garden: The Legacy of Humanism,2002
SCHMOM-4,J. B. Schneewind,Montaigne on Moral Philosophy and the Good Life,2005
NAVSSA,Jes\'{u}s Navarro,"Scepticism, Stoicism and Subjectivity: Reappraising Montaigne's Influence on Descartes",2010
LEVSPT,Alan Levine,"Sensual Philosophy: Toleration, Skepticism, and Montaigne?s Politics of the Self",2001
SCHTPP-10,David Lewis Schaefer,The Political Philosophy of Montaigne,1990
DEMTPO-10,Darryl M. De Marzio,The Pedagogy of Self-Fashioning: A Foucaultian Study of Montaigne?s ?on Educating Children?,2012
GONLFD-16,Elia Gonnella,"Le Forme Della Solitudine: Isolamento, Co-Isolamento, Noia e Sonno",2021
EDEOMS,Christopher Edelman,On Montaigne's Skepticism,2011
CONCDP,Jaimir Conte,"Col\'{o}quio de Pascal Com o Senhor de Saci: Sobre Epicteto e Montaigne, de Blaise Pascal",2005
SCHMPF-2,Jerome B. Schneewind,Moral Philosophy From Montaigne to Kant: An Anthology,1990
DESNDL-2,Philippe Desan,"Naissance de la Me?Thode: Machiavel, la Rame?e, Bodin, Montaigne, Descartes",1987
RIBMOW,Brian Ribeiro,Montaigne on Witches and the Authority of Religion in the Public Sphere,2009
EDEMMO,Christopher Edelman,Montaigne's Moral Objectivism,2011
HARMAT-16,Ann Hartle,Montaigne and the Origins of Modern Philosophy,2013
GREMAT-7,Felicity Green,Montaigne and the Life of Freedom,2012
RIBSMH-4,Brian C. Ribeiro,"Sextus, Montaigne, Hume: Pyrrhonizers",2021
MPOCBG,???,"Montaigne, Philosopher of Pleasure and Life Affirmation",2016
EDEMEA,Christopher Edelman,"Montaigne, Emerson, and the Affirmation of Ordinary Life",2019
DADPIM,Jakub Dadlez,Pr\'{o}bowanie Innych Michela de Montaigne,2019
FONCT,Biancamaria Fontana,Chapter 1. The Spirit of the Laws,2008
BLUPIT-3,Paul Richard Blum and James G. Snyder,Philosophy in the Renaissance: An Anthology,2023
FERMEL,Emiliano Ferrari,Montaigne e l'Esperienza Del Corpo Tra Medicina e Filosofia,2017
EDEMMD,Christopher J. Edelman,"Montaigne, Michel De",2011
DEMMEL,Marie{-}Luce Demonet,Montaigne Et la Question de L'Homme,1999
YOUEM,Charles Lowell Young,Emerson's Montaigne,1943
BOATEO-14,George Boas and George B. Ives,The Essays of Montaigne,1930
FERBSM,Emiliano Ferrari,"Bernard Seve, Montaigne. Des Regles Pour L'Esprit",2009
MACMAT-3,Ian Maclean,Montaigne and the Truth of the Schools,2005
LAUTAO,John Christian Laursen,The Archeology of Skepticism,2010
GONPES,Thierry Gontier,Prudence Et Sagesse Chez Montaigne,2012
ZALTEO,Zahi Zalloua,"The Ethics of Inscience in Montaigne's ""of Physiognomy""",2008
BRALSD-13,Fr\'{e}d\'{e}ric Brahami,"La Sant\'e du Sceptique : Hume, Montaigne",2008
SCHFOS,David Lewis Schaefer and Estienne de La Boe?tie,"Freedom Over Servitude: Montaigne, la Boe?Tie, and on Voluntary Servitude",1998
MAGM,Pierre Magnard and Thierry Gontier,Montaigne,2010
DIOTEO,Valerie M. Dionne,"""The Ethics of"" de l'Amitie the Essais as a Gift",2007
SKOBAI,Krzysztof Skonieczny,Becoming Animal in Michel de Montaigne?s Views. Toward an Animal Community,2014
