ID,Author,Title,Year
HORHPE,Phillip Sidney Horky and Giulia De Cesaris,Hellenistic Pythagorean Epistemology,2018
BYEQAT,Sarah Byers,"""Augustine and the Philosophers""",2012
CELTMM-2,Aist\.e \v{C}elkyt\.e,The Medico-Oikonomic Model of Human Nature in Bryson?s Oikonomikos,2023
ALCATH,John Dillon,Alcinous: The Handbook of Platonism,1993
PETTOB,Federico M. Petrucci,Taurus of Beirut: The Other Side of Middle Platonism,2018
BALTVA-4,Dirk Baltzly,The Virtues and 'Becoming Like God': Alcinous to Proclus,2004
Castrillejo2023-TORLPS-2,David Torrijos{-}Castrillejo,La Providencia Seg\'{u}n Nemesio de Emesa,2023
Castrillejo2017-TORAOA,David Torrijos{-}Castrillejo,"Alexander of Aphrodisias on Fate, Providence and Nature",2017
NSSAPU,Olaf Nu?sser,Albins Prolog Und Die Dialogtheorie des Platonismus,1991
FEKPPM,Jacqueline Feke,Ptolemy's Philosophy: Mathematics as a Way of Life,2018
Castrillejo2018-TORLND,David Torrijos{-}Castrillejo,La Noci\'{o}n de Providencia Seg\'{u}n San Justino,2018
BONAAP-2,M. Bonazzi,Antiochus and Platonism,2012
VUKRR,Marko Vu\v{c}kovi\'c,Reason?s Reasons,2018
MARAQD-2,Gabriel Martino,"Alcinoo, ""Exposici\'{o}n Did\'{a}ctica de Las Doctrinas de Plat\'{o}n"". Introducci\'{o}n, Traducci\'{o}n y Notas de Una Selecci\'{o}n de Cap\'{i}tulos.",2014
MLLLDD-5,"Gabriela F. M\""{u}ller",La Doctrina de Los Tres Dioses de Numenio,2010
STEHTA-3,Georgios Steiris,"Harpocration, the Argive Philosopher, and the Overall Philosophical Movement in Classical and Roman Argos",2012
MARMYE-2,Gabriel Martino,M\'{i}stica y Ex\'{e}gesis En la Filosof\'{i}a de Plotino,2012
KIEALA,Eva Kiesele,A Late Antique Rabbinic Discourse on the Linguistic (in-)Determinacy of the Law,2022
BALTVA-2,Dirk Baltzly,The Virtues and 'Becoming Like God': Alcinous to Proclus,2004
