ID,Author,Title,Year
LIMVTC,Chong{-}Ming Lim,Vandalizing Tainted Commemorations,2020
WORMII,Clifford Workman and Stacey Humphries and Franziska Hartung and Geoffrey K. Aguirre and Joseph W. Kable and Anjan Chatterjee,Morality is in the Eye of the Beholder: The Neurocognitive Basis of the ?Anomalous-is-Bad? Stereotype,2021
Borgogno2024-TRURTH-2,Santiago Truccone{-}Borgogno,Responding to Historical Injustices: Collective Inheritance and the Moral Irrelevance of Group Identity,2024
VOPRCP,Christopher Voparil,Rortyan Cultural Politics and the Problem of Speaking for Others,2011
MACGAT-2,Alice MacLachlan,Government Apologies to Indigenous Peoples,2013
WATWAM,Kristin Waters,Women and Men Political Theorists: Enlightened Conversations,2000
AURTAS,Simone Aurora,Territory and Subjectivity: The Philosophical Nomadism of Deleuze and Canetti,2014
PEEKMA,Ashwani Kumar Peetush,"Kymlicka, Multiculturalism, and Non-Western Nations: The Problem with Liberalism",2003
KAPPOC,Stephanie Julia Kapusta,Practice of Cognitive Estrangement,2019
CHICIA-4,Francesco Chiesa and Enzo Rossi,Contested Identities and Spatial Marginalization: The Case of Roma and Gypsy-Travelers in Wales,2016
Steinbach2007-KIRGEE-2,Monika Kirloskar{-}Steinbach,Gibt Es Ein Menschenrecht Auf Immigration? Politische Und Philosophische Positionen Zur Einwanderungsproblematik,2007
CEVAMO,Emanuela Ceva and Federico Zuolo,A Matter of Respect. On the Relation Between the Majority and Minorities in a Democracy,manuscript
Lang2014-SANORT,Christopher Santos{-}Lang,Our Responsibility to Manage Evaluative Diversity,2014
BER-47,Olena Berezinska,\CYRK\cyro\cyrn\cyrc\cyre\cyrp\cyrc\cyrii\cyrya \CYRM\cyra\cyrr\cyrg\cyrii\cyrn\cyra\cyrl\cyrsftsn\cyrn\cyro\cyryi \CYRO\cyrs\cyro\cyrb\cyri\cyrs\cyrt\cyro\cyrs\cyrt\cyrii \CYRU \CYRP\cyrr\cyro\cyrc\cyre\cyrs\cyrii \CYRA\cyrk\cyru\cyrl\cyrsftsn\cyrt\cyru\cyrr\cyra\cyrc\cyrii\cyryi,2018
DADWEL,Jakub Dadlez,Wyznania Europejskiej Filozofki,2021
