ID,Author,Title,Year
DAWTNM-3,Richard Dawid and Stephan Hartmann,The No Miracles Argument Without the Base Rate Fallacy,2016
CAVTIA-2,Robert Greg Cavin and Carlos A. Colombetti,The Implausibility and Low Explanatory Power of the Resurrection Hypothesis--with a Rejoinder to Stephen T. Davis,2020
FLEPSO,Antony Flew,Parapsychology: Science or Pseudo-Science?,1980
LARWIW-2,Robert A. Larmer,Water Into Wine?: An Investigation of the Concept of Miracle,1988
COLATR-6,Robert Greg Cavin and Carlos A. Colombetti,Assessing the Resurrection Hypothesis: Problems with Craig's Inference to the Best Explanation,2019
SWITCO-5,Richard Swinburne,The Concept of Miracle,1970
MCGM,Timothy McGrew,Miracles,2011
DAVLAT-7,Stephen T. Davis,Logic and the Nature of God,1983
MACPOC,John Macquarrie,Principles of Christian Theology,1966
SWIM,R. G. Swinburne,Miracles,1968
MCNMAF-3,Tyler Dalton Mcnabb and Joseph E. Blado,Mary and F\'{a}tima: A Modest C-Inductive Argument for Catholicism,2020
SWIM-2,Richard Swinburne,Miracles,1989
HOLTM,R. F. Holland,The Miraculous,1965
DAVTFM,Paul Davies,The Fifth Miracle,2004
CASTSO-12,Tristan Casabianca,The Shroud of Turin: A Historiographical Approach,2013
HARNSM,Peter Harrison,"Newtonian Science, Miracles, and the Laws of Nature",1995
NORMAM,Zenonas Norkus,"Mechanisms as Miracle Makers? The Rise and Inconsistencies of the ""Mechanismic Approach"" in Social Science and History",2005
SCHMAP-2,George N. Schlesinger,Miracles and Probabilities,1987
OVEMAG,Christine Overall,Miracles and God: A Reply to Robert A. H. Larmer,1997
HANDEA,Toby Handfield,Dispositional Essentialism and the Possibility of a Law-Abiding Miracle,2001
MCKQAQ,Alastair McKinnon,"""Miracle"" and ""Paradox""",1967
LARQOM,Robert A. Larmer,Questions of Miracle,1998
HJEAMC-2,Alan H\'{a}jek,Are Miracles Chimerical?,2008
HUGMLO,Christopher Hughes and Robert Merrihew Adams,"Miracles, Laws of Nature and Causation",1992
LOWMAL,E. J. Lowe,Miracles and Laws of Nature,1987
SCHNPO,George N. Schlesinger,New Perspectives on Old-Time Religion,1988
TWETCC,Graham H. Twelftree,The Cambridge Companion to Miracles,2011
OVEMAL-2,Christine Overall,Miracles and Larmer,2003
BROTMO-3,James Robert Brown,The Miracle of Science,1982
LARMAC-2,Robert Larmer,Miracles and Criteria,1984
DREGWT,Willem B. Drees and P. Forrest,God Without the Supernatural,2000
LARMEA-3,Robert Larmer,"Miracles, Evidence, and God",2003
LARMAO,Robert Larmer,Miracles and Overall: An Apology for Atheism?,2004
GRENRF,Brad S. Gregory,"No Room for God? History, Science, Metaphysics, and the Study of Religion",2008
RUTNLA-2,Donald Rutherford,"Natures, Laws, and Miracles: The Roots of Leibniz's Critique of Occasionalism",1989
LARQOM-2,Robert A. H. Larmer,Questions of Miracle,1996
FLEM-3,Antony Flew,Miracles,1967
COLAM,John Collier,Against Miracles,1986
BASMAV,David Basinger,Miracles as Violations: Some Clarifications,1984
WALMAV,Ian Walker,Miracles and Violations,1982
RIKAON,Stephen Riker,Al-Ghazali on Necessary Causality in the Incoherence of the Philosophers,1996
KELAMA-3,James A. Keller,A Moral Argument Against Miracles,1995
EVETIO-4,Nicholas Everitt,The Impossibility of Miracles,1987
LARMAC-3,Robert Larmer,Miracles and Conservation Laws: A Reply to Professor Macgill,1992
CLAWTB,Steve Clarke,When to Believe in Miracles,1997
PANTCO-6,Wolfhart Pannenberg,The Concept of Miracle,2002
GOGDTC,Phillip Goggans,Do the Closest Counterfactual Worlds Contain Miracles?,1992
OVEMEE-6,Christine Overall,"Miracles, Evidence, Evil, and God: A Twenty-Year Debate",2006
DUMLOC,Travis Dumsday,Locke on Competing Miracles,2008
YOUMAE,Robert Young,Miracles and Epistemology,1972
ODEMAG,Douglas Odegard,Miracles and Good Evidence,1982
RUTNLA,Donald Rutherford,"Natures, Laws, and Miracles: The Roots of Leibniz's Critique of Occasionalism",1993
DIEOM,Paul J. Dietl,On Miracles,1982
NICMIS,Terence L. Nichols,Miracles in Science and Theology,2002
CLATSA-2,Steve Clarke,The Supernatural and the Miraculous,2007
MAWMAL,Tim Mawson,Miracles and Laws of Nature,2001
LUCDMV,Morgan Luck,Defining Miracles: Violations of the Laws of Nature,2011
TUCMHT,Aviezer Tucker,"Miracles, Historical Testimonies, and Probabilities",2005
LOCOTC,John Locke,Of the Conduct of the Understanding: A Discourse of Miracles,1996
KELM,J. Kellenberger,Miracles,1979
MOOTCC-3,T. Brian Mooney and Anthony Imbrosciano,The Curious Case of Mr. Locke?s Miracles,2004
OTTSAM,Richard Otte,Schlesinger and Miracles,1993
WEITCO-6,Ruth Weintraub,The Credibility of Miracles,1996
BROMIT,Gregory Brown,Miracles in the Best of All Possible Worlds: Leibniz's Dilemma and Leibniz's Razor,1995
AHEMAP,Dennis M. Ahern,Miracles and Physical Impossibility,1977
GARODA,Gary Colwell,On Defining Away the Miraculous,1982
LARMAT,Robert A. Larmer,Miracles and the Laws of Nature,1985
ROBM-2,Guy Robinson,Miracles,1967
NUYKOM,A. T. Nuyen,Kant on Miracles,2002
ROOMAT,Michael Root,Miracles and the Uniformity of Nature,1989
LEWMAP,Clive Staples Lewis,Miracles; a Preliminary Study,1947
YAZUTQ,Isra Yazicioglu,Understanding the Qur'anic Miracle Stories in the Modern Age,2013
MAVMAT,George I. Mavrodes,Miracles and the Laws of Nature,1985
LUCSMA,Morgan Luck,Supernatural Miracles and Religious Inclusiveness,2007
HJEAMC,Alan H\'{a}jek,Are Miracles Chimerical?,2008
MACMAC-4,Neil Whyte MacGill,Miracles and Conservation Laws,1992
FLEPRL,Antony Flew,"Parapsychology Revisited: Laws, Miracles, and Repeatability",1976
GASCMC,J. C. A. Gaskin,Contrary Miracles Concluded,1985
GEOGOM,George Giacaman and Raja Bahlul,Ghazali on Miracles and Necessary Connection,2000
JANOAL,Frank Jankunis,Overall and Larmer on Miracles as Evidence for the Existence of God,2014
LANMAP-2,Bruce Langtry,Miracles and Principles of Relative Likelihood,1985
DAVIIP,Stephen T. Davis,Is It Possible to Know That Jesus Was Raised From the Dead?,1984
HAMNMB,Robert Hambourger,Need Miracles Be Extraordinary?,1987
YOUMAP,Robert Young,Miracles and Physical Impossibility,1972
CLARTM-2,Steve Clarke,Response to Mumford and Another Definition of Miracles,2003
Snyder2003-HOWOHP,Daniel Howard{-}Snyder,On Hume's Philosophical Case Against Miracles,2003
CAVSRA-3,Robert Greg Cavin and Carlos A. Colombetti,Supernatural Resurrection and its Incompatibility with the Standard Model of Particle Physics: Second Rejoinder to Stephen T. Davis,2021
LEVM,Michael Levine,Miracles,2008
MCDMMP,Kirk McDermid,"Miracles: Metaphysics, Physics, and Physicalism",2008
LUCATP,Morgan Luck,Against the Possibility of Historical Evidence for Miracles,2005
KNIEMR,Ina Knittel and Michael Schetsche,Everyday Miracles: Results of a Representative Survey in Germany,2012
LUCAMA,Morgan Luck,Aquinas?s Miracles and the Luciferous Defence: The Problem of the Evil/Miracle Ratio,2009
MARTTA-6,Jacqueline Mari\~{n}a,The Theological and Philosophical Significance of the Markan Account of Miracles,1998
VAILAC-2,Ezio Vailati,Leibniz and Clarke on Miracles,1995
CONMEA-2,David A. Conway,"Miracles, Evidence, and Contrary Religions",1983
BURAMT,Herbert Burhenn,Attributing Miracles to Agents: Reply to George D. Chryssides,1977
SWIVOA,Richard Swinburne,Violation of a Law of Nature,1968
KASBMA,Hannah Kasher,Biblical Miracles and the Universality of Natural Laws Maimonides' Three Methods of Harmonization,1999
LARMAN,Robert A. Larmer,Miracles and Natural Explanations: A Rejoinder,1989
ERLANL,Douglas K. Erlandson,A New Look at Miracles,1977
GARMSM,Robert K. Garcia,Minds Sans Miracles: Colin Mcginn's Naturalized Mysterianism,2000
JANPOT,Benjamin C. Jantzen,Peirce on the Method of Balancing 'Likelihoods',2009
LARMPA,Robert A. Larmer,"Miracles, Physicalism, and the Laws of Nature",2008
MEROTN-3,Don A. Merrell,On the (Near) Impossibility of Studying Intercessory Prayers for Healing,manuscript
BYNMMA,Caroline Bynum,Medieval Miracles as Evidence,2016
DEPVAB,John DePoe,Vindicating a Bayesian Approach to Confirming Miracles: A Response to Jordan Howard Sobel's Reading of Hume,2008
PLADAI-2,Alvin Plantinga,Divine Action in the World (Synopsis),2006
DRASAM-2,Theodore M. Drange,Science and Miracles (1998),manuscript
CAVSOT,Robert Greg Cavin and Carlos A. Colombetti,Swinburne on the Resurrection: Negative Versus Christian Ramified Natural Theology,2013
CORM-2,David Corner,Miracles,2005
REIOMA,Joshua D. Reichard,Of Miracles and Metaphysics: A Pentecostal-Charismatic and Process-Relational Dialogue,2013
LANMOM-2,Bruce Langtry,Mackie on Miracles,1988
FRPNMW,Maria J. Fr\'{a}polli,No Miracles: What Does It Mean That Science Seeks the Truth?,2014
WILMAT-4,William E. Stempsey,Miracles and the Limits of Medical Knowledge,2002
GILMWM-2,John B. Gill,Miracles with Method,1977
COXLOD,Donovan Cox,"Leibniz on Divine Causation: Creation, Miracles, and the Continual Fulgurations",2002
BASMAN,David Basinger,Miracles and Natural Explanations,1987
OTTMTO,Richard Otte,Mackie's Treatment of Miracles,1996
WEIRDO-2,Tan Tai Wei,Recent Discussions on Miracles,1972
WARMAT-5,Keith Ward,Miracles and Testimony,1985
PYYMAM,"Ilkka Pyysi\""{a}inen",Mind and Miracles,2002
COCTS,David Cockburn,The Supernatural,1992
WADMAC,P. S. Wadia,Miracles and Common Understanding,1976
PAULAT-2,R. Cranston Paull,Leibniz and the Miracle of Freedom,1992
GRIMAT-3,Stephen Griffith,Miracles and the Shroud of Turin,1996
HUNSOM,Graeme Hunter,Spinoza on Miracles,2004
CRACPA,William Lane Craig,"Creation, Providence and Miracles",1998
CLALAM,Steve Clarke,Luck and Miracles,2003
CURMAV,Martin Curd,Miracles as Violations of Laws of Nature,1996
Smith1964-NOWM,Patrick Nowell{-}Smith,Miracles,1964
PARSOM-2,G. H. R. Parkinson,Spinoza on Miracles and Natural Law,1977
ALMMOM,Michael Almeida,Martin on Miracles,2007
NAAMAM-2,Michael Naas,"Miracle and Machine: The Two Sources of Religion and Science in Derrida's ""Faith and Knowledge""",2009
LUCOPU,Morgan Luck,"On Polkinghorne?s Unification of General Providence, Special Providence and Miracle",2010
YONNLA,Amos Yong,Natural Laws and Divine Intervention: What Difference Does Being Pentecostal or Charismatic Make?,2008
ALIIAM,Michael R. Ransom and Mark D. Alicke,It?s a Miracle: Separating the Miraculous From the Mundane,2012
WIETPO-4,Adam \'{S}wie\.{z}y\'{n}ski,"The Philosophy of Nature, Chance, and Miracle",2011
PRIMAV-2,Timothy Pritchard,Miracles and Violations: Timothy Pritchard,2011
PEAMTC,Leon Pearl,Miracles: The Case for Theism,1988
BEADMO,Monroe C. Beardsley and Elizabeth Lane Beardsley,Do Miracles Occur?,2000
LUCIDO,Morgan Luck,In Defence of Mumford's Definition of a Miracle,2003
SCHM-9,George N. Schlesinger,Miracles,2010
CHARAT-11,Gary Chartier,Reason and the Resurrection,2004
MORMAA-18,J. P. Moreland,"Miracles, Agency, and Theistic Science",2002
Farlow1962-KINM,John King{-}Farlow,Miracles,1962
LEIMFM-2,Morris Leikind,Miracles From Microbes; the Road to Streptomycinsamuel Epstein Beryl Williams,1948
RITM,A. D. Ritchie,Miracles,1931
MCRMAL,Robert Mcrae,Miracles and Laws,1985
TALCAS-2,Charles Taliaferro,"Cumulative Argument, Sustaining Causes, and Miracles",2006
ALSBCA,William P. Alston,Biblical Criticism and the Resurrection,1997
EATTPO,Jeffrey C. Eaton,The Problem of Miracles and the Paradox of Double Agency,1985
WELMAT-4,George A. Wells,Miracles and the New Testament,2010
GRAMAM-3,Robert M. Grant,Miracle and Mythology,1952
NOWTMO,Mark Nowacki,The Modality of Miracles,2006
PLACGB,Alvin Plantinga,Can God Break the Laws?,2005
BIGLSM,Stefano Bigliardi,La Santa Muerte and Her Interventions in Human Affairs: A Theological Discussion,2016
SCOCOW,Drusilla Scott,Belief in Miracles,1984
LAMMEA,Robert Lamer,"Miracles, Evidence and Theism: A Further Apologia",1994
RUDERT-5,M. J. S. Rudwick,Essay Review: The Principle of Uniformity: Natural Law and Divine Miracle,1962
MILOET-4,T. R. Miles,On Excluding the Supernatural: T. R. Miles,1966
HOFCOM,Joshua Hoffman,Comments on ?Miracles and the Laws of Nature?,1985
CRIBOA,Oliver D. Crisp,Born of a Virgin: Proving the Miracle From the Gospels. By John Redford,2008
BASFMA,David Basinger,"Flew, Miracles and History",1983
REIRM,Andrew Rein,Repeatable Miracles?,1986
OHAPPA,David L. O'Hara,"Peirce, Plato and Miracles: On the Mature Peirce's Re-Discovery of Plato and the Overcoming of Nominalistic Prejudice in History",2008
PURCSL,Richard L. Purtill,C s Lewis's Case for the Christian Faith,1981
BOMA,P. A. B.,On Miracles and Some Other Matters,1925
NICMTS,Terence L. Nichols,"Miracles, the Supernatural, and the Problem of Extrinsicism",1990
KELFBF,J. Kellenberger,"Facts, Brute Facts and Miracles",1968
WEIMYO,Tan Tai Wei,Mr Young on Miracles,1974
PEEIIS,D. W. Peetz,Iii--Falsification in Science,1969
BEANUA,John Beaudoin,Natural Uniformity and Historiography,2006
GARTPO-41,Paul Gardiner,The Place of Miracles in Canonization: With Reference to Mary Mackillop's Cause,1995
MORRTE-2,J. P. Moreland,"Replies to Evan Fales: On Science, Miracles, Agency Theory, and the God-of-the-Gaps",2001
HUNADO,Graeme Hunter,Arnauld's Defence of Miracles and its Context,1996
KIVKTI-2,"Jyrki Kivel\""a",Kierkegaard's Tangential Interest in Miracles,2006
DAVRTE-2,Stephen T. Davis,Replies to Evan Fales: On God's Actions,2001
VANLSD-18,Jean{-}Marie Van Cangh,Les Sources de l'\'{E}vangile : Les Collections Pr\'e-Martiennes de Miracles,1972
MENRAM,Thomas D. Sullivan and Sandra Menssen,Revelation and Miracles,2010
AYECSP,Robert H. Ayers,C. S. Peirce on Miracles,1980
LARMEA,Robert A. Larmer,"Miracles, Evil and Justified Belief: Some Final Comments",1997
EHREUT-4,Esther Ehrman,"Erich Unger's ""the Natural Order of Miracles"": Ii. The World of Nature and Miracles in the Pentateuch",2002
WHIHOM,By John Whipple,Hobbes on Miracles,2008
MAVRAT,George I. Mavrodes,Revelation and the Bible,1989
STEMFA-2,Gordon Park Stevenson,"Miracles, Force, and Leibnizean Laws of Nature",1997
BLUWAW,Paul Richard Blum and Elisabeth Blum,Wonder and Wondering in the Renaissance,2010
GEIRTE-2,R. Douglas Geivett,Replies to Evan Fales: On the Evidence of Miracles and the Historicity of the Resurrection,2001
SCODIM,M. Scott,Divine Intervention: Metaphysical and Epistemological Puzzles * by Evan Fales,2012
DEVOMA,Hent de Vries,Of Miracles and Special Effects,2001
FULTCO-3,Gilbert Fulmer,The Concept of the Supernatural,1977
KELPAM-2,J. Kellenberger,"Philosophy and Miracle - the Contemporary Debate - Basinger,D, Basinger,R",1988
TWEROP,Stanley Tweyman,Remarks on P. S. Wadia's 'Philo Confounded',1980
PEAALT,Kenneth L. Pearce,A Leibnizian Theory of Miracles,manuscript
FEHMAS,Yiftach J. H. Fehige,Miracles and Science: Mora Than a Miraculous Relationship,2012
REISTO-2,George M. Reichle,St. Thomas on Miracles,1933
BUDPRE,Ervin Budiseli\'c,"Pravilno Razumijevanje Evan\d{j}elja Kao Klju\vc Za Zdravu Evangelizaciju, \v{Z}ivot I Slu\v{z}bu Crkve",2013
ALLMOA-3,Diogenes Allen,Miracles Old and New,1974
WEIPLM,Tan Tai Wei,Professor Langford's Meaning of 'Miracle',1972
PURQOM,Richard L. Purtill,Questions of Miracle,1998
MATMET,Vittorio Mathieu,Miracolo e Tempo Storico,1971
SILGRA,Bruce Silver,George Ripley and Miracles: External Evidence Versus Internal Conviction,2004
NICWM,Terence L. Nichols,Why Miracles?,2002
