ID,Author,Title,Year
LEWOTP-3,David K. Lewis,On the Plurality of Worlds,1986
TAHPPA,Tuomas E. Tahko,Possibility Precedes Actuality,2023
SIDNEA-3,Alan Sidelle,"Necessity, Essence, and Individuation: A Defense of Conventionalism",1989
STRPKO,Margot Strohminger,Perceptual Knowledge of Nonactual Possibilities,2015
TAHEMR,Tuomas Tahko,Empirically-Informed Modal Rationalism,2016
TAHTEO,Tuomas Tahko,The Epistemology of Essence,2018
VETAAE,Barbara Vetter,An Agency-Based Epistemology of Modality,2023
FISMJV,Bob Fischer,Modal Justification Via Theories,2016
FISMEA-2,Bob Fischer and Felipe Leon,Modal Epistemology After Rationalism,2016
LEGPN-10,Catherine Legg and James Franklin,Perceiving Necessity,2017
LEOFMS,Felipe Leon,From Modal Skepticism to Modal Empiricism,2016
GREIAP-2,Dominic Gregory,Imagery and Possibility,2019
SJLAID,"Ylwa Sj\""{o}lin Wirling",An Integrative Design? How Liberalised Modal Empiricism Fails the Integration Challenge,2021
AKAQMA,Atilla Akal\i{}n,Quine's Monism and Modal Eliminativism in the Realm of Supervenience,2019
HIRMII-3,"Ilmari Hirvonen and Rami Koskinen and Ilkka P\""{a}ttiniemi",Modal Inferences in Science: A Tale of Two Epistemologies,2021
FISATE,Bob Fischer,A Theory-Based Epistemology of Modality,2016
SJLESE,"Ylwa Sj\""{o}lin Wirling",Extending Similarity-Based Epistemology of Modality with Models,2022
FISMEO,Bob Fischer,"Modal Empiricism: Objection, Reply, Proposal",2016
TAHAPO,Tuomas E. Tahko,A Priori or a Posteriori?,2020
RUYMEI,Quentin Ruyant,Modal Empiricism: Interpreting Science Without Scientific Realism,2021
RASCAA-4,Joshua Rasmussen,Continuity as a Guide to Possibility,2014
MALTEO-29,Antonella Mallozzi and Michael Wallner and Anand Vaidya,The Epistemology of Modality,2021
JENCEA,C. S. Jenkins,"Concepts, Experience and Modal Knowledge1",2010
KRIIMK,Uriah Kriegel,"Imagination, Modal Knowledge, and Modal Understanding",2024
YATASK,David Yates,A Strange Kind of Power: Vetter on the Formal Adequacy of Dispositionalism,2020
RUYTIR,Quentin Ruyant,The Inductive Route Towards Necessity,2020
KROMKE,Thomas Kroedel,"Modal Knowledge, Evolution, and Counterfactuals",2016
DuguidForthcoming-ALFHWS,Dominic Alford{-}Duguid,Hallucination Without Sensible Qualities,forthcoming
PEAPFP,Christopher Peacocke,Principles for Possibilia,2002
HANCAM,Rebecca Roman Hanrahan,Consciousness and Modal Empiricism,2009
FISTMP,Robert William Fischer and Felipe Leon,The Modal-Knowno Problem,2016
FISHOT-3,Bob Fischer,Hale on the Architecture of Modal Knowledge,2016
BARPTA-14,Samuel Baron and Baptiste Le Bihan and James Read,Physical Theory and Physical Possibility,unknown
PETCMS,Peter Hawke,Can Modal Skepticism Defeat Humean Skepticism?,2016
FISTSI,Robert William Fischer,Theory Selection in Modal Epistemology,2015
WIRMEM,"Ylwa Sj\""{o}lin Wirling",Modal Empiricism Made Difficult: An Essay in the Meta-Epistemology of Modality,2019
WIRNAT,"Ylwa Sj\""{o}lin Wirling",Non-Uniformism About the Epistemology of Modality: Strong and Weak,2019
ROSTAW,James F. Ross,Thought and World: The Hidden Necessities,2008
MCLKON,Stephen K. McLeod,Knowledge of Necessity: Logical Positivism and Kripkean Essentialism,2008
MARANA-6,Manolo Mart\'{i}nez,A Naturalistic Account of Content and an Application to Modal Epistemology,2010
FISMKI,Robert William Fischer,"Modal Knowledge, in Theory",2012
LEOCAS,Felipe Leon,Causation and Sufficient Reason (Atheism),2019
GIARTS,Giacomo Giannini and Tom Schoonen,Relational Troubles Structuralist Worries for an Epistemology of Powers-Based Modality,2022
FISCIL-5,Bob Fischer,C. I. Lewis and the Benacerraf Problem,2018
DENOTA-4,Duen{-}Min Deng,On the Alleged Knowledge of Metaphysical Modality,2016
DOHNBK,Daniel Dohrn,Nobody Bodily Knows Possibility,2017
TAHEEM,Tuomas E. Tahko,Empiiriset Elementit Modaaliepistemologiassa,2016
Yanoff2023-GRNMMI,"Till Gr\""{u}ne{-}Yanoff and Ylwa Sj\""{o}lin Wirling",Modal Modeling in Science: Modal Epistemology Meets Philosophy of Science (Topical Collection of \emph{Synthese}),2023
POLDJC,Thomas W. Polger,"Review of David J. Chalmers, Constructing the World",2014
MALNDI-3,Antonella Mallozzi,"New Directions in the Epistemology of Modality, Special Issue of Synthese",2021
LEOAKA-2,Felipe Leon,Armchair Knowledge and Modal Skepticism: A Rapprochement,2009
WINKEU,M. J. Winfield and A. Basden and I. Cresswell,Knowledge Elicitation Using a Multi-Modal Approach,1996
HANEAP,Rebecca Hanrahan,Epistemology and Possibility,2005
DAYPAP,Jane M. Day,Passage and Possibility: A Study of Aristotle's Modal Concepts,1984
HANEFP,Rebecca Roman Hanrahan,Evidence for Possibility,1998
DEETPO-4,John Deely,The Problematic of Metaphysical Knowledge,1967
PEATPA,Christopher Peacocke,The Principle-Based Account of Modality: Elucidations and Resources,2002
YARWTM,Ilexa Yardley,What the Metaverse has to Do with Physics,2021
MCLBRE,Colin McLear,: \emph{From Empiricism to Expressivism: Brandom Reads Sellars},2016
AMBMEA,Gergely Ambrus,Modal Empiricism and Two-Dimensional Semantics,2009
LAUQRM,Richard Lauer,"Quentin Ruyant: Modal Empiricism: Interpreting Science Without Scientific Realism. Springer: Cham, 2021, 230 Pp., ?119,89 (Hardcover), Isbn: 9783030723484",2023
FISLOT-7,Robert William Fischer,Lance Rips's Lines of Thought: Central Concepts in Cognitive Psychology,2014
