ID,Author,Title,Year
DIETMI,Dennis Dieks and Pieter Vermaas,The Modal Interpretation of Quantum Mechanics,1998
LOMMIO,Olimpia Lombardi and Dennis Dieks,Modal Interpretations of Quantum Mechanics,forthcoming
LOMAMI-2,Olimpia Lombardi and Mario Castagnino,A Modal-Hamiltonian Interpretation of Quantum Mechanics,2008
VERAPU,Pieter E. Vermaas,A Philosopher's Understanding of Quantum Mechanics: Possibilities and Impossibilities of a Modal Interpretation,1999
VERTMI,Pieter E. Vermaas and Dennis Dieks,The Modal Interpretation of Quantum Mechanics and its Generalization to Density Operators,1995
HAREQM-2,Jacqueline Harding,Everettian Quantum Mechanics and the Metaphysics of Modality,2021
BUBAUT-2,Jeffrey Bub and Rob Clifton,A Uniqueness Theorem for ?No Collapse? Interpretations of Quantum Mechanics,1996
BENAPV,Gyula Bene and Dennis Dieks,A Perspectival Version of the Modal Interpretation of Quantum Mechanics and the Origin of Macroscopic Behavior,2001
BACDFM,Guido Bacciagaluppi and Michael Dickson,Dynamics for Modal Interpretations,1999
BACMID-3,Guido Bacciagaluppi and Meir Hemmo,"Modal Interpretations, Decoherence and Measurements",1996
DERITM-2,Christian de Ronde and Hector Freytes and Graciela Domenech,Interpreting the Modal Kochen?Specker Theorem: Possibility and Many Worlds in Quantum Mechanics,2014
MYRMIA,Wayne C. Myrvold,Modal Interpretations and Relativity,2002
DIEPIM-2,Dennis Dieks,Probability in Modal Interpretations of Quantum Mechanics,2007
DONCAD,Matthew Donald,Continuity and Discontinuity of De?nite Properties in the Modal Interpretation,manuscript
HALMBS,Hans Halvorson and Rob Clifton,Maximal Beable Subalgebras of Quantum-Mechanical Observables,1999
CLITPO,Rob Clifton,The Properties of Modal Interpretations of Quantum Mechanics,1996
CLIIMT,Rob Clifton,Independently Motivating the Kochen--Dieks Modal Interpretation of Quantum Mechanics,1995
BARASO-24,Jacob Barandes and David Kagan,A Synopsis of the Minimal Modal Interpretation of Quantum Theory,manuscript
LOMCBE,Olimpia Lombardi and Juan Sebasti\'{a}n Ardenghi and Sebastian Fortin and Mario Castagnino,Compatibility Between Environment-Induced Decoherence and the Modal-Hamiltonian Interpretation of Quantum Mechanics,2011
BACDPI,Guido Bacciagaluppi,Delocalized Properties in the Modal Interpretation of a Continuous Model of Decoherence,2000
LANOAS-2,N. P. Landsman,Observation and Superselection in Quantum Mechanics,1995
BELSPW-2,J. S. Bell,Six Possible Worlds of Quantum Mechanics,1992
DERFAA,Christian de Ronde,For and Against Metaphysics in the Modal Interpretation of Quantum Mechancis,2010
JOHRIA,John Earman and Laura Ruetsche,Relativistic Invariance and Modal Interpretations,2005
BARMAQ,Jacob A. Barandes and David Kagan,Measurement and Quantum Dynamics in the Minimal Modal Interpretation of Quantum Theory,2020
BARTMM-12,Jacob Barandes and David Kagan,The Minimal Modal Interpretation of Quantum Theory,manuscript
JOSCMI,Joseph Berkovitz and Meir Hemmo,Can Modal Interpretations of Quantum Mechanics Be Reconciled with Relativity?,2005
FRAHVA,Bas C. Fraassen,Hidden Variables and the Modal Interpretation of Quantum Theory,1979
ARNKIO,Frank Arntzenius,Kochen's Interpretation of Quantum Mechanics,1990
RUEVFO,Laura Ruetsche,Van Fraassen on Preparation and Measurement,1996
BUBRPO-2,Jeffrey Bub and Rob Clifton and Sheldon Goldstein,Revised Proof of the Uniqueness Theorem for ?No Collapse? Interpretations of Quantum Mechanics,2000
MYRCC,Wayne C. Myrvold,Chasing Chimeras,2009
VANMIO-4,Bas C. van Fraassen,Modal Interpretation of Repeated Measurement: A Rejoinder to Leeds and Healey,1997
DICWTI,Michael Dickson,Wavefunction Tails in the Modal Interpretation,1994
VERTNT-2,Pieter E. Vermaas,Two No-Go Theorems for Modal Interpretations of Quantum Mechanics,1999
DICLIM,with Michael Dickson,Lorentz-Invariance in Modal Interpretations,2004
DICMIO,Michael Dickson,Modal Interpretations of Quantum Mechanics,2008
HEMPWI,Meir Hemmo,Possible Worlds in the Modal Interpretation,1996
LEEANO-2,Stephen Leeds and Richard Healey,A Note on van Fraassen's Modal Interpretation of Quantum Mechanics,1996
SPEAMI,R. W. Spekkens and J. E. Sipe,A Modal Interpretation of Quantum Mechanics Based on a Principle of Entropy Minimization,2001
DICITR,W. Michael Dickson,Is There Really No Projection Postulate in the Modal Interpretation?,1995
RUEMSM,Laura Ruetsche,"Modal Semantics, Modal Dynamics and the Problem of State Preparation",2003
CARVFM,Nancy Cartwright,Van Fraassen's Modal Model of Quantum Mechanics,1974
MONVFA,Bradley Monton,Van Fraassen and Ruetsche on Preparation and Measurement,1999
SPENCP,R. W. Spekkens and J. E. Sipe,Non-Orthogonal Core Projectors for Modal Interpretations of Quantum Mechanics,2001
HALAPU,Hans Halvorson,A Philosopher's Understanding of Quantum Mechanics: Possibilities and Impossibilities of a Modal Interpretation Pieter Vermaas,2001
BIGDQS,Tomasz Bigaj,Do Quantum-Mechanical Systems Always Possess Definite Properties Dictated by Their States?,2006
MASRBR,Ozawa Masanao and Yuichiro Kitajima,Reconstructing Bohr?s Reply to Epr in Algebraic Quantum Theory,2012
VERMII,Pieter E. Vermaas,Modal Interpretations,2003
PUTP-2,E. P.,Unique Transition Probabilities in the Modal Interpretation,1996
DOMTCC,Graciela Domenech and Hector Freytes and Christian de Ronde,The Contextual Character of Modal Interpretations of Quantum Mechanics,2007
DESTMI-3,Bernard D?Espagnat,The Modal Interpretation of Quantum Mechanics,2001
DICTMI-3,M. Dickson,The Modal Interpretations of Quantum Theory,forthcoming
