ID,Author,Title,Year
METTAR-4,Thaddeus Metz and Motsamai Molefe,Traditional African Religion as a Neglected Form of Monotheism,2021
ZARNEA,Mohammad Saleh Zarepour,Necessary Existence and Monotheism: An Avicennian Account of the Islamic Conception of Divine Unity,2022
MCCWTW,Thomas McCall,Which Trinity? Whose Monotheism?: Philosophical and Systematic Theologians on the Metaphysics of Trinitarian Theology,2010
FESFPO,Edward Feser,Five Proofs of the Existence of God,2017
ZTRIMT,"Sevcan \""{O}ZT\""{U}RK",Is Monotheism the Root Cause of the Ecological Crisis? Ecofeminist Conceptions of the God-Universe Relationship,2023
VALCID-2,Estiven Valencia Marin,Coloquio Interinstitucional de Estudiantes de Patrolog\'{i}a En Colombia (1st edition),2024
RUBIDO-5,Daniel Rubio,In Defense of Qua-Christology,forthcoming
MIGTSF,Damiano Migliorini,Ten Strategies for the Trinity: God as Transcendental Multiplicity and Ipsa Relationalitas,2019
SCHLDD-47,Yann Schmitt,L'\^{e}tre de Dieu,2016
CHADSG-2,Marc Champagne,"Day Shift God, Night Shift God",2020
HORMS,Pao{-}Shen Ho,Rethinking Monotheism: Some Comparisons Between the Igala Religion and Christianity,2022
LARWAC-3,Brendan Larvor,Weber and Coyote: Polytheism as a Practical Attitude,2020
ALBFTS-2,William Foxwell Albright,From the Stone Age to Christianity Monotheism and the Historical Process,1962
COFRAA-2,Nathan Cofnas,Religious Authority and the Transmission of Abstract God Concepts,2018
LARWAC,Brendan Larvor,Weber and Coyote: Polytheism as a Practical Attitude,2018
ALBFTS,William Foxwell Albright,From the Stone Age to Christianity,1957
WAIM,William Wainwright,Monotheism,2008
PORTMN,Jos\'e Eduardo Porcher,The Mythic Narratives of Candombl\'e Nag\^o and What They Imply About its Supreme Being,forthcoming
BABTTA,H. E. Baber,The Trinity: A Philosophical Investigation,2019
ZAGCMI,Linda Zagzebski,Christian Monotheism,1989
VITTSA-4,Scott Vitkovic,The Similarities and Differences Between Abrahamic Religions,2018
BRUTTO-2,Hauke Brunkhorst,The Transformation of Solidarity and the Enduring Impact of Monotheism: Five Remarks,2009
ROWCS,Catherine Rowett,Christopher Stead,2013
OPPIGG,Graham Oppy,Is God Good by Definition?,1992
LAMLDD-8,Jean Lambert,Le Dieu Distribu\'e: Une Anthropologie Compar\'{e}e des Monoth\'{e}ismes,1995
PALSNT-4,Gesine Palmer,Saying ?No? to Power: From Diasporic Knowledge to Reclaiming Ethical Monotheism,2024
BIECWM,Dennis Bielfeldt,Can Western Monotheism Avoid Substance Dualism?,2001
CARBTI-3,Anthony Joseph Carroll,"Between the Infinite and the Finite: God, Hegel and Disagreement",2019
HALTMO-30,Alex V. Halapsis,The Measure of All Gods: Religious Paradigms of the Antiquity as Anthropological Invariants,2018
CHANOM-2,Subhasis Chattopadhyay,Notes on Monotheism in the \'{S}vet\={a}'{s}vataropani\d{s}ad,manuscript
BOTTCO-6,Aryeh Botwinick,The Confluence of Western Monotheism and Eastern Buddhism as a Potent Force for World Peace,2023
OXEMUO,Richard Oxenberg,My Understanding of the Biblical God: A Brief 'Transreligious' Reflection,2015
LOMWCM,Joseph L. Lombardi,Why Christian Monotheism Requires a Social Trinity,2022
ASEOTA,Arnaud S\'{e}randour,On the Appearance of a Monotheism in the Religion of Israel (3Rd Century Bc or Later?),2005
KNIDMP,"Katrin K\""{o}nig",Deepened Monotheism. Philosophical Reasoning on the Trinity in Western Early Medieval and Classic Arabic Theology,2020
ASSMXI,Jan Assmann and Patrick Eldridge,Monotheism,2019
DESGMA,William Desmond,God(s) Many and One: On Polytheism and Monotheism,2008
HIRLMD,Jean Hirsch,Les Monothe?Ismes Dans Leur Simplicite?,2013
PATTCO-3,Patrick Madigan,"The 'Curse' of Monotheism; or the Search for a Logical Justification to Support It, Given the Heavy Social and Psychological Price We Pay for Retaining It",2009
NANAAM,Jean{-}Luc Nancy,Atheism and Monotheism,2006
ALBFTS-4,William Foxwell Albright,From the Stone Age to Christianity,1940
MACRTP-2,Nathan Macdonald,"Response to Patrick Madigan, 'the Curse of Monotheism'",2010
HALTMO-38,Garth Hallett,The Maturing of Monotheism: A Dialectical Path to its Truth,2019
NURAMO,Al?bina Zakhar?i?a?evna Nurilova,Avraamicheskii? Monoteizm: Osobennosti Genezisa Idei Boga: Monografii?A?,2022
AIKOTD,David Wyatt Aiken,On the Death of God,2019
CHRTPO-5,M. P. Christanand,The Philosophy of Indian Monotheism,1979
HOLEMA,Arthur F. Holmes,Ethical Monotheism and the Whitehead Ethic,1990
PEEJMA,B. J. Lietaert Peerbolte,Jewish Monotheism and Christian Origins,2008
GALRSO,Barbara Galli,Rosenzweig Speaking of Meetings and Monotheism in Biblical Anthropomorphisms,1993
NANAAM-2,Jean{-}Luc Nancy,Atheism and Monotheism,2006
ALBMHV,William Foxwell Albright,Mi-Tekufat Ha-Even Ve-?ad Ha-Natsrut,1953
DAVMLK-2,Felmon Davis,25. Monotheism,2018
MADTOT,Patrick Madigan,The Only True God: Early Christian Monotheism in its Jewish Context. By James F. Mcgrath,2009
JONFMA,Jack Jones,Freud's Moses and Monotheism Revisited,1980
HARTUO-4,Percy Hartill,The Unity of God: A Study in Christian Monotheism,1952
EBRPMA,Frederick E. Brenk,Plutarch's Monotheism and the New Testament,2022
ALBFSA,William Foxwell Albright,From Stone Age to Christianity,1957
HOLWAE,Arthur F. Holmes,Whitehead and Ethical Monotheism,1984
PETMSA-8,Michael L. Peterson,"Monotheism, Suffering, and Evil",2022
BLAMAT-3,James Blachowicz,Monotheism and the Spirituality of Reason,2002
GINNPO,Ruth Ginsburg and Ilana Pardes,New Perspectives on Freud's Moses and Monotheism,2006
NATJMA,N. M. L. Nathan,Jewish Monotheism and the Christian God,2006
MALSSA-4,Angelika Malinar,Supreme Self and Supreme Lord: Cosmological Monotheism in the Maha?Bha?Rata Epic,2024
YANGAO,Keith Yandell,God and Other Agents in Hindu Monotheism,1999
CASMAE-4,Deborah Casewell,Monotheism and Existentialism,2022
HEIMAF,S. Mark Heim,Monotheism and Forgiveness,2022
URIPBF,Drago \D{J}uric?,Postojanje Boga: Filozofski Problemi Klasic?Nog Monoteizma,2011
POLPIV,Ali Vi?a?cheslav Polosin,Preodolenie I?a?Zychestva: Vvedenie V Filosofii?U? Monoteizma,2001
GOOMAP,Lenn Evan Goodman,Monotheism: A Philosophic Inquiry Into the Foundations of Theology and Ethics,1981
NIERMA,Helmut Richard Niebuhr,Radical Monotheism and Western Civilization,1960
SCHMAT-46,J. L. Schellenberg,Monotheism and the Rise of Science,2020
HELDBG,Klaus Held,Der Biblische Glaube: Pha?Nomenologie Seiner Herkunft Und Zukunft,2018
Funk2013-MULPMA-2,Wolfgang Mu?ller{-}Funk and Inge Scholz{-}Strasser and Herman Westerink and Daniela Finzi,"Psychoanalysis, Monotheism and Morality: Symposia of the Sigmund Freud Museum 2009-2011",2013
BRAANM-2,Joseph A. Bracken,A New Methodology for Christian Systematic Theology,2019
NUKITW,Takashi O?nuki,Isshinkyo? to Wa Nani Ka: Ko?Kyo? Tetsugaku Kara No Toi,2006
DICWDS-2,Nathan Eric Dickman,Why Do so Many People Believe Only One Religion Can Be Right?,2017
MCGM-6,James F. McGrath,Monotheism,2015
SCHPMA-3,Peter Schmiedgen,"Polytheism, Monotheism and Public Space: Between Levinas and Arendt",2005
GAFNGN,\A{A}ke Gafvelin,"No God, No God's Eye: A Quasi-Putnamian Argument for Monotheism",2021
DESZRT,Wesley De Sena,Exploring Zoroastrian Responses to the Problem of Evil: Seven Philosophical Perspectives on Dualism and Monotheism,manuscript
Snyder2015-HOWWHM,Daniel Howard{-}Snyder,"William Hasker, Metaphysics and the Tri-Personal God",2015
SUBITT,Sriram Ganapathi Subramanian and Benyamin Ghojogh,Introduction to the Non-Dualism Approach in Hinduism and its Connection to Other Religions and Philosophies,manuscript
ANGAFO-4,David Angell,A Falsifiable Ontological Argument for the Existence of (Any) God(s) and Why the Universe Exists,manuscript
ANVART,Saeed Anvari,A Response to the Problem of Evil in Zoroastrian Theology,2013
CREIBA,Sergio Cremaschi,Invisible Beings. Adam Smith?s Lectures on Natural Religion,2018
BENEMA-6,Ehud Benor,Ethical Monotheism: A Philosophy of Judaism,2017
DARTPB,Luiz Carlos Mariano da Rosa,"The Prayer Between Yahveh and Abba in Judeo-Christian Monotheism: From the Magical-Religious Practices of Polytheism to the Peaceful Relationship of the God of Abraham, Isaac and Jacob",2020
Husseini2018-ALHTDO,Na'il al{-}Husseini,The Doctrine of Monotheism in the Light of the Probability Calculation,2018
HORM-10,Pao{-}Shen Ho,Rethinking Monotheism,2022
BARROT-21,Brian C. Barnett,Review of T.J. Mawson's Monotheism and the Meaning of Life,2020
MCKMIA-2,Andrew McKenna,"Monotheism, Intolerance, and the Path to Pluralistic Politics by Christopher A. Haw",2021
SCHROT-17,Dennis Schulting,Review of the Cambridge Companion to the Trinity,manuscript
CLIROL-2,Forrest Clingerman,"Review of Laurel C. Schneider, Beyond Monotheism: A Theology of Multiplicity: London and New York, Routledge, 2008, Isbn: 978-0-415-94191-4, Pb, 248 Pp",2009
KELCIU,Christopher Kelly,"Credo in Unum Deum P. Athanassiadi, M. Frede (Edd.): Pagan Monotheism in Late Antiquity . Pp. 211, 3 Pls, Maps. Oxford: Clarendon Press, 1999. Cased, \pounds40. Isbn: 0-19-815252-",2002
ERNMMA,Carl W. Ernst,Mystical Monotheism,1995
KLEBT-2,Terrance Klein,"Biblical \& Theological Foundations of the Family: The Domestic Church. By Joseph C.Atkinson. Pp. Xxiv, 354. Washington, Dc, the Catholic University of America Press, 2014, \$39.95",2019
DUKROT,Charles Duke,The Maturing of Monotheism: A Dialectical Path to its Truth,2022
