ID,Author,Title,Year
JOHMII,Mark Johnson,Moral Imagination: Implications of Cognitive Science for Ethics,1993
KINTRH-7,Amy Kind,The Routledge Handbook of the Philosophy of Imagination,2016
LOVRAI,Sabina Lovibond,Realism and Imagination in Ethics,1983
LIAEII,Shen{-}yi Liao and Nina Strohminger and Chandra Sekhar Sripada,Empirically Investigating Imaginative Resistance,2014
LIAIRN,Shen{-}yi Liao,"Imaginative Resistance, Narrative Engagement, Genre",2016
WERMIA,Patricia H. Werhane,Moral Imagination and Systems Thinking,2002
BAIEWV,Olivia Bailey,Empathy with Vicious Perspectives? A Puzzle About the Moral Limits of Empathetic Imagination,2021
RIGPSA,Nick Riggle,Personal Style and Artistic Style,2015
GENIRR,Tamar Szabo Gendler,Imaginative Resistance Revisited,2006
WERMMM-3,Patricia H. Werhane,"Mental Models, Moral Imagination and System Thinking in the Age of Globalization",2008
SEATDO-3,Mark A. Seabright,The Development of Moral Imagination,2000
ZERWFO-2,Linda M. G. Zerilli,We Feel Our Freedom,2005
MIYTCA,Kengo Miyazono and Shen{-}yi Liao,The Cognitive Architecture of Imaginative Resistance,2016
MARCMR-3,Colin Marshall,Compassionate Moral Realism,2018
NUSFAA-2,Martha Craven Nussbaum,"""Finely Aware and Richly Responsible"": Literature and the Moral Imagination",1990
WERMIA-2,Patricia H. Werhane,Moral Imagination and the Search for Ethical Decision-Making in Management,1998
MCCDIA-3,Kael McCormack,"Desire, Imagination, and the Perceptual Analogy",2023
MACMID,Catriona Mackenzie and Jackie Leach Scully,"Moral Imagination, Disability and Embodiment",2007
COMEOM-5,Rob Compaijen,Existentialists or Mystics. Kierkegaard and Murdoch on Imagination and Fantasy in Ethical Life,2021
BOMIMD,Nicolas Bommarito,Imaginative Moral Development,2017
COEIAP,Mark Coeckelbergh,Imagination and Principles: An Essay on the Role of Imagination in Moral Reasoning,2007
STEIAF-4,Nils{-}Hennes Stear,Imaginative and Fictionality Failure: A Normative Approach,2015
MOBAEI-2,Dennis Moberg and David F. Caldwell,An Exploratory Investigation of the Effect of Ethical Culture in Activating Moral Imagination,2006
WOLRAI-4,Susan Wolf and Sabina Lovibond,Realism and Imagination in Ethics,1985
Ferencei2018-GOSTLO-2,Jennifer Anna Gosetti{-}Ferencei,The Life of Imagination: Revealing and Making the World,2018
SMIPIA-2,Matthew Noah Smith,Practical Imagination and its Limits,2010
HANPWT,Patricia Hannam,Philosophy with Teenagers: Nurturing a Moral Imagination for the 21St Century,2009
SCOIIP,P. A. Scott,Imagination in Practice,1997
KEKMIF,John Kekes,"Moral Imagination, Freedom, and the Humanities",1991
KEKTEO-2,John Kekes,The Enlargement of Life: Moral Imagination at Work,2006
Cohen1997-VIDMII,Deborah Vidaver{-}Cohen,Moral Imagination in Organizational Problem-Solving,1997
NANEAI,Nancy Sherman,Empathy and Imagination,1998
GORIPR,Michael Gorman,"Intellectual Property Rights, Moral Imagination, and Access to Life-Enhancing Drugs",2005
BIRAAH,Peg Birmingham,"Arendt and Hobbes: Glory, Sacrificial Violence, and the Political Imagination",2011
SHIEAI-2,Joy Shim and Shen{-}yi Liao,Ethics and Imagination,2023
JACMIO,Jonathan Jacobs,"Moral Imagination, Objectivity, and Practical Wisdom",1991
JACSAA,Kevin T. Jackson,Spirituality as a Foundation for Freedom and Creative Imagination in International Business Ethics,1999
WERAPF-4,Patricia H. Werhane,A Place for Philosophers in Applied Ethics and the Role of Moral Reasoning in Moral Imagination: A Response to Richard Rorty,2006
CIUIFW,Joanne B. Ciulla,"Imagination, Fantasy, Wishful Thinking and Truth",1998
BERMFE,James Bernauer and Michael Mahon,Michel Foucault's Ethical Imagination,1994
SEAIIA,Mark A. Seabright and Marshall Schminke,Immoral Imagination and Revenge in Organizations,2002
GORMIT-2,Michael E. Gorman and Patricia H. Werhane and Nathan Swami,"Moral Imagination, Trading Zones, and the Role of the Ethicist in Nanotechnology",2009
VANECM,Janna van Grunsven and Lavinia Marin and Andrea Gammon and Trijsje Franssen,"4E Cognition, Moral Imagination, and Engineering Ethics Education: Shaping Affordances for Diverse Embodied Perspectives",forthcoming
ASMIIT,Stephen Asma and Paul Giamatti,Imagination is the Sixth Sense (Phantasia),2021
CAMEII-4,Dylan Campbell and William Kidder and Jason D?Cruz and Brendan Gaesser,Emotion in Imaginative Resistance,2021
CHRROE,Wayne Christensen and John Sutton,"Reflections on Emotions, Imagination, and Moral Reasoning Toward an Integrated, Multidisciplinary Approach to Moral Cognition",2012
SAREAE,Saras D. Sarasvathy,Entrepreneurship as Economics with Imagination,2002
JACMPA-9,Nate Jackson,Moral Particularism and the Role of Imaginary Cases: A Pragmatist Approach,2016
UMBIVS,Steven Umbrello,Imaginative Value Sensitive Design: How Moral Imagination Exceeds Moral Law Theories in Informing Responsible Innovation,2018
SIMHPA-4,Pavel Simashenkov,Historical Progress and Involution of Ideals / \CYRI\cyrs\cyrt\cyro\cyrr\cyri\cyrch\cyre\cyrs\cyrk\cyri\cyrishrt \CYRP\cyrr\cyro\cyrg\cyrr\cyre\cyrs\cyrs \CYRI \CYRI\cyrn\cyrv\cyro\cyrl\cyryu\cyrc\cyri\cyrya \CYRI\cyrd\cyre\cyra\cyrl\cyro\cyrv,2017
ELLVEA,Jay R. Elliott,Virtue Ethics and Literary Imagination,2018
HALTMA-3,Joshua M. Hall,Twixt Mages and Monsters: Arendt on the Dark Art of Forgiveness,2016
JOHIIM,Mark Johnson,Imagination in Moral Judgment,1985
FESMAA,Steven Fesmire,"Morality as Art: Dewey, Metaphor, and Moral Imagination",1999
WIRIOB,Ylwa Wirling,Imagining Oneself Being Someone Else: The Role of the Self in the Shoes of Another,2014
KINNIA,R. King,"Narrative, Imagination, and the Search for Intelligibility in Environmental Ethics",1999
GRIIM,Charles L. Griswold Jr,"Imagination : Morals, Science, Arts",1996
LAFCMI-2,Paul G. La Forge,Cultivating Moral Imagination Through Meditation,2004
FESDRA,Steven A. Fesmire,Dramatic Rehearsal and the Moral Artist: A Deweyan Theory of Moral Understanding,1995
HAGFCR,Garry Hagberg,"Fictional Characters, Real Problems: The Search for Ethical Content in Literature",2016
STOPWA,Karen Stohr,Practical Wisdom and Moral Imagination in Sense and Sensibility,2006
ELLFTP,C. Elliott and B. Elliott,From the Patient's Point of View: Medical Ethics and the Moral Imagination,1991
BSMAIM,B. Smith,Analogy in Moral Deliberation: The Role of Imagination and Theory in Ethics,2002
COEIDR,Mark Coeckelbergh and Ger Wackers,"Imagination, Distributed Responsibility and Vulnerable Technological Systems: The Case of Snorre A",2007
COEWHA-2,Mark Coeckelbergh and Jessica Mesman,With Hope and Imagination: Imaginative Moral Decision-Making in Neonatal Intensive Care Units,2007
MICMIT,E. Gorman Michael and H. Werhane Patricia and Nathan Swami,"Moral Imagination, Trading Zones, and the Role of the Ethicist in Nanotechnology",2009
JOHMII-2,Jonathan E. Adler,Review of Mark Johnson: \emph{Moral Imagination: Implications of Cognitive Science for Ethics},1995
STOMTG,Karen Stohr,Minding the Gap: Moral Ideals and Moral Improvement,2019
MCBPAW,Lee A. Mcbride Iii,Poetry and Well-Patterned Language (in Philosophy),2024
HANPAE,R. J. Hankinson,Perception and Evaluation: Aristotle on the Moral Imagination,1990
EBAIDR,Susan E. Babbitt,"Impossible Dreams: Rationality, Integrity, and Moral Imagination",1996
BAIESA-2,Olivia Bailey,"Empathy, Sensibility, and the Novelist's Imagination",2022
FRETEI-2,William Frey,Training Engineers in Moral Imagination for Global Contexts,2015
