ID,Author,Title,Year
SMITMP,Michael Smith,The Moral Problem,1994
KORSAI,Christine M. Korsgaard,"Self-Constitution: Agency, Identity, and Integrity",2009
ARPUVA,Nomy Arpaly,Unprincipled Virtue: An Inquiry Into Moral Agency,2003
WPOCCW-2,Douglas W. Portmore,Commonsense Consequentialism: Wherein Morality Meets Rationality,2011
FOONG,Philippa Foot,Natural Goodness,2001
VELTPO-5,J. David Velleman,The Possibility of Practical Reason,1996
SMITCR-2,Barry Smith,Rationality in Action: A Symposium,2001
KATAAT-2,Paul Katsafanas,Agency and the Foundations of Ethics: Nietzschean Constitutivism,2013
NEBSQB,Jacob Nebel,"Status Quo Bias, Rationality, and Conservatism About Value",2015
ERIEIM,Eric Schwitzgebel and Fiery Cushman,Expertise in Moral Reasoning? Order Effects on Moral Judgment in Professional Philosophers and Non-Philosophers,2012
VELHWG-2,James David Velleman,How We Get Along,2009
MANDBR-2,Susanne Mantel,Determined by Reasons: A Competence Account of Acting for a Normative Reason,2018
CHAHC-8,Ruth Chang,Hard Choices,2017
TARMRA-2,Christian Tarsney,Metanormative Regress: An Escape Plan,2024
ARVMTS,Marcus Arvan,"Mental Time-Travel, Semantic Flexibility, and A.I. Ethics",2023
HURAA,Rosalind Hursthouse,Arational Actions,1991
CHADWH,Ruth Chang,Do We Have Normative Powers?,2020
HILDAP-6,Thomas E. Hill,Dignity and Practical Reason in Kant's Moral Theory,1992
VOGRV,Candace A. Vogler,Reasonably Vicious,2002
CAMMRO,Richmond Campbell and Victor Kumar,Moral Reasoning on the Ground,2012
PORAMR-2,Douglas Portmore,Are Moral Reasons Morally Overriding?,2008
KORTAO,Christine M. Korsgaard,The Activity of Reason,2009
SCHCAR-21,Karl Schafer,Constitutivism About Reasons: Autonomy and Understanding,2018
BARMAR-4,J. Baron,Morality and Rational Choice,1993
SAUMJA,Hanno Sauer,Moral Judgments as Educated Intuitions,2017
LORTCA-2,Errol Lord,The Coherent and the Rational,2014
BRAIEU,Richard Bradley,Impartial Evaluation Under Ambiguity,2022
MUOKOO,Daniel Mu\~{n}oz and Jack Spencer,Knowledge of Objective 'Oughts': Monotonicity and the New Miners Puzzle,2020
SAUEIA,Hanno Sauer,Educated Intuitions. Automaticity and Rationality in Moral Judgement,2012
HEACAA-2,Joseph Heath,Communicative Action and Rational Choice,2001
VANEAI-2,Mark van Roojen,Expressivism and Irrationality,1996
BARND-3,Jonathan Baron,Nonconsequentialist Decisions,1994
COPTRO-10,David Copp,The Ring of Gyges: Overridingness and the Unity of Reason,1997
ANDUNW,Kristin Andrews,Understanding Norms Without a Theory of Mind,2009
GORTAT-7,Moti Gorin,Towards a Theory of Interpersonal Manipulation,2014
WORMRE,Alex Worsnip,"Moral Reasons, Epistemic Reasons, and Rationality",2016
CECMIS,Dario Cecchini,"Moral Intuition, Strength, and Metacognition",2023
RALTAF-2,Thomas Raleigh,The Argument From Small Improvement is a Red Herring,2023
TOUAEO,Stephen Toulmin,An Examination of the Place of Reason in Ethics,1950
MOETSO-2,Michael Moehler,The Scope of Instrumental Morality,2014
TENTIO,Sergio Tenenbaum,The Idea of Freedom and Moral Cognition in Groundwork Iii,2012
HORMRA-5,Terry Horgan and Mark Timmons,Morphological Rationalism and the Psychology of Moral Judgment,2007
HOLRR,Richard Holton,Rational Resolve,2004
PORMAP-3,Douglas W. Portmore,Morality and Practical Reasons,2021
SAUMTF,Hanno Sauer,"Moral Thinking, Fast and Slow",2018
ARCMRW,Alfred Archer,Moral Rationalism Without Overridingness,2013
DICRAL,Donna Dickenson,Risk and Luck in Medical Ethics,2003
ROZNFR,Grant J. Rozeboom,Nudging for Rationality and Self-Governance,2020
DARMAP,Stephen Darwall,Morality and Practical Reason: A Kantian Approach,2006
VELDHT,J. David Velleman,Deciding How to Decide,1997
ROABBA,Rebecca Roache and Steve Clarke,"Bioconservatism, Bioliberalism, and Repugnance",2009
REIUTR,Andrew Reisner,Unifying the Requirements of Rationality,2009
SCHRRA-32,John Schwenkler and Marshall Bierson,"Rules, Rights, and Hedges",forthcoming
PITTMO-6,John Pittard,The Many ?Oughts? of Deliberation,2023
DREWES,James Dreier,Why Ethical Satisficing Makes Sense and Rational Satisficing Doesn't,2004
BARHAE-5,Christopher Bartel,Hypocrisy as Either Deception or Akrasia,2019
BEDETM-2,Matthew Bedke,Ends to Means,2017
LIBFBO,Alida Liberman,For Better or for Worse: When Are Uncertain Wedding Vows Permissible?,2021
Armstrong2011-SINID,Walter Sinnott{-}Armstrong and Ken Levy,Insanity Defenses,2011
WARTUO-8,Owen Ware,The Unity of Reason and the Highest Good,forthcoming
ARVNPA,Marcus Arvan,Neurofunctional Prudence and Morality: A Philosophical Theory,2020
PORCAM,Douglas W. Portmore,Consequentialism and Moral Rationalism,2011
ZURPGD,Tomasz \.{Z}uradzki,Preimplantation Genetic Diagnosis and Rational Choice Under Risk or Uncertainty,2014
NGUAUA-2,C. Thi Nguyen,"Autonomy, Understanding, and Moral Disagreement",2010
SEITUO,Jeffrey Seidman,The Unity of Caring and the Rationality of Emotion,2016
TARMRA,Christian Tarsney,Metanormative Regress: An Escape Plan,manuscript
STANUA,Julia Staffel,Normative Uncertainty and Probabilistic Moral Knowledge,2019
RUSMSA-6,Paul Russell,Moral Sense and the Foundations of Responsibility,2011
FUMRAM,Richard A. Fumerton,Reason and Morality: A Defense of the Egocentric Perspective,1990
MAKSDA-3,Nicholas Makins,Suppositional Desires and Rational Choice Under Moral Uncertainty,forthcoming
DLDAME,Donna Dickenson,Are Medical Ethicists Out of Touch? Practitioner Attitudes in the Us and Uk Towards Decisions at the End of Life,2000
RUTACI,Ruth Chang,Against Constitutive Incommensurability or Buying and Selling Friends,2001
COATER,Allen Coates,The Enkratic Requirement,2011
FRIUTM,Julian Friedland and Kyle Emich and Benjamin M. Cole,Uncovering the Moral Heuristics of Altruism: A Philosophical Scale,2020
HUBPR,D. Clayton Hubin,Prudential Reasons,1980
HENEAE-4,Sebastian Hengst,Expressivism and Explaining Irrationality: Reply to Baker,2022
COPQMA,David Copp and David Sobel,"Desires, Motives, and Reasons: Scanlon?s Rationalistic Moral Psychology",2002
ANDBT-4,Chrisoula Andreou,Better Than,2019
MAYPOR,Joshua May,Pr\'{e}cis of Regard for Reason in the Moral Mind,2019
SEICAI,Jeffrey Seidman,Caring and Incapacity,2010
CASGCC,Scott Casleton,Grotius Contra Carneades: Natural Law and the Problem of Self-Interest (1st edition),forthcoming
HOOPAS-3,Brad Hooker and Bart Steumer,Procedural and Substantive Practical Rationality,2004
HARMR,Gilbert Harman and Kelby Mason and Walter Sinnott{-}Armstrong,Moral Reasoning,2010
ROZHTE,Grant J. Rozeboom,How to Evaluate Managerial Nudges,2021
CORFGA-2,Daniel Coren,"Freedom, Gratitude, and Resentment: Olivi and Strawson",2019
Mazouz2000-GOTDTE,Niels Gottschalk{-}Mazouz,"Diskursethik: Theorien, Entwicklungen, Perspektiven",2000
PIPHD,Adrian M. S. Piper,Higher-Order Discrimination,1990
MARMRI-4,Patricia Marino,Moral Reasoning in a Pluralistic World,2015
ARKVOR,Steven Arkonovich,Varieties of Reasons/Motives Internalism,2013
LEIMDA-3,Uri D. Leibowitz,Moral Deliberation and Ad Hominem Fallacies,2016
LEFTCO-5,Olof Leffler,The Constitution of Constitutivism,2019
OWERAO-18,David Owens,Rationalism About Obligation,2008
HIRNAN-3,William Hirstein,Neuroscience and Normativity: How Knowledge of the Brain Offers a Deeper Understanding of Moral and Legal Responsibility,2022
RUSTRV,Paul Russell,"Deep Responsibility and ""Morality""",forthcoming
ALEADC,Robert Alexy,A Discourse-Theoretical Conception of Practical Reason,1992
GUNMMS-3,Logi Gunnarsson,Making Moral Sense: Beyond Habermas and Gauthier,2000
DAVRCC,David Enoch,"Rationality, Coherence, Convergence: A Critical Comment on Michael Smith's Ethics and the a Priori",2007
ANOPIA-4,Jonny Anomaly,Personal Identity and Practical Reason: The Failure of Kantian Replies to Parfit,2008
SETGRA,Sascha Settegast,Good Reasons and Natural Ends: Rosalind Hursthouse's Hermeneutical Naturalism,2020
SUMROW-2,Jesse S. Summers,Rationalizing Our Way Into Moral Progress,forthcoming
SCHPUR-11,Karl Schafer,"Practical Understanding, Rationality, and Social Critique",forthcoming
ROITMT,Markku Roinila,"Three Moral Themes of Leibniz's Spiritual Machine Between ""New System"" and ""New Essays""",2023
KNEAIA,Zlatana Knezevic,"Amoral, Im/Moral and Dis/Loyal: Children?s Moral Status in Child Welfare",2017
VARTTA,Helga Varden,"The Terrorist Attacks in Norway, July 22Nd 2011-- Some Kantian Reflections",2014
KHAPRS,Max Khan Hayward,"Practical Reason, Sympathy and Reactive Attitudes",2017
TANTCF-3,Attila Tanyi,The Case for Authority,2012
IWARAC,Noriaki Iwasa,Reason Alone Cannot Identify Moral Laws,2013
HANVTB,Hyemin Han,"Validating the Behavioral Defining Issues Test Across Different Genders, Political, and Religious Affiliations",2023
SUPTMS,Anita M. Superson,The Moral Skeptic,2009
HINRRA-2,Edward S. Hinchman,Rational Requirements and 'Rational' Akrasia,2013
KORRMJ,Philipp Koralus and Mark Alfano,Reasons-Based Moral Judgment and the Erotetic Theory,2017
Woo2018-MINSAD-4,Kian Mintz{-}Woo,"Security and Distribution, or Should You Care About Merely Possible Losses?",2018
ARVDOM,Marcus Arvan,Derivation of Morality From Prudence,2020
BRISDO,David O. Brink,Sidgwick's Dualism of Practical Reason,1988
TILRRR,John Tilley,"Reasons, Rational Requirements, and the Putative Pseudo-Question ?Why Be Moral??",2008
SUPTSB,Anita M. Superson,The Self-Interest Based Contractarian Response to the Why-Be-Moral Skeptic,1990
LOTAPA,Micah Lott,"Agency, Patiency, and the Good Life: The Passivities Objection to Eudaimonism",2016
ROILOH,Markku Roinila,Leibniz on Hope,2012
JACEMP-2,Jackson,Economic Methodology: Paradox of Ceteris Paribus (Cp) Law in the Context of Sierra Leone,2016
BIRRIE,Noell Birondo,Rationalism in Ethics,2021
SMITMC-3,Holly M. Smith,The Moral Clout of Reasonable Beliefs,2010
SAATST-2,Bradford Saad,The Sooner the Better: An Argument for Bias Toward the Earlier,2024
NIEDTV,Katharina Nieswandt and Ulf Hlobil,Do the Virtues Make You Happy?,2019
KAHTGO,Samuel Kahn,The Guise of the Objectively Good,2013
PORWAR,Douglas W. Portmore,What?s a Rational Self-Torturer to Do?,manuscript
MARMRA-3,Patricia Marino,Moral Rationalism and the Normative Status of Desiderative Coherence,2010
TAYLAM-2,Craig Taylor,Literature and Moral Thought,2014
SELOKT,Wilfrid Sellars,On Knowing the Better and Doing the Worse,1970
