ID,Author,Title,Year
Landau2003-SHAMRA,Russ Shafer{-}Landau,Moral Realism: A Defence,2003
BLAEIQ,Simon Blackburn,Essays in Quasi-Realism,1993
CUNTMF,Terence Cuneo and Russ Shafer{-}Landau,The Moral Fixed Points: New Directions for Moral Nonnaturalism,2014
HORFST,Terence E. Horgan,From Supervenience to Superdupervenience: Meeting the Demands of a Material World,1993
FOGTMO,Daniel Fogal and Olle Risberg,The Metaphysics of Moral Explanations,2020
SUIMAT,Jussi Suikkanen,Metaethics and the Nature of Properties,2024
SINMAT-5,Neil Sinclair,Metaethics and the Nature of Properties,2024
MCPENA,Tristram McPherson,Ethical Non-Naturalism and the Metaphysics of Supervenience,2012
LEANAN-2,Stephanie Leary,Non-Naturalism and Normative Necessities,2017
HATMS,Anandi Hattiangadi,Moral Supervenience,2018
HORTOM,Terence Horgan and Mark Timmons,Troubles on Moral Twin Earth: Moral Queerness Revived,1992
VYRTSO,"Pekka V\""{a}yrynen",The Supervenience Challenge to Non-Naturalism,2018
Brehier2022-STANMN-2,Alexios Stamatiadis{-}Br\'{e}hier,Nomic Moral Naturalness,2022
BLAMR,Simon Blackburn,Moral Realism,1971
ROBWBI-5,Debbie Roberts,Why Believe in Normative Supervenience?,2018
BLASR,Simon W. Blackburn,Supervenience Revisited,1985
DREITA-3,Jamie Dreier,Is There a Supervenience Problem for Robust Moral Realism?,2019
BEDANN,Matthew S. Bedke,Against Normative Naturalism,2012
CONMVA,Cristian Constantinescu,Moral Vagueness: A Dilemma for Non-Naturalism,2014
GORRTH-4,Noah Gordon,Resurrecting the Hume's Dictum Argument Against Metaethical Non-Naturalism,2023
SKAHTB,Knut Olav Skarsune,How to Be a Moral Platonist,2015
STRATI,Bart Streumer,Are There Irreducibly Normative Properties?,2008
DRETSA-2,James Dreier,The Supervenience Argument Against Moral Realism,1992
SCHSAU,Johannes Schmitt and Mark Schroeder,Supervenience Arguments Under Relaxed Assumptions,2011
RIDAAS,Michael Ridge,Anti-Reductionism and Supervenience,2007
DORIVA,Dale Dorsey,Intrinsic Value and the Supervenience Principle,2012
STUDAT-2,Nicholas L. Sturgeon,Doubts About the Supervenience of the Evaluative,2010
SUINTJ,Jussi Suikkanen,Non-Naturalism: The Jackson Challenge,2010
STRSUF-3,Bart Streumer,Standing Up for Supervenience,2024
LASRRR,N. G. Laskowski,Resisting Reductive Realism,2020
CHAMP,Timothy Chappell,Moral Perception,2008
HARS-20,R. M. Hare,Supervenience,1984
LEAWIN,Stephanie Leary,What is Non-Naturalism?,2021
STRWTR,Bart Streumer,Why There Really Are No Irreducibly Normative Properties,2013
NICMS,Nick Zangwill,Moral Supervenience,1995
VYRNAT,"Pekka V\""{a}yrynen",Normative Appeals to the Natural,2009
WOLTNA-2,Michael Padraic Wolf and Jeremy Randel Koons,The Normative and the Natural,2016
