ID,Author,Title,Year
BLOSRA,Ned Block,"Sexism, Racism, Ageism and the Nature of Consciousness",2000
MADIAS,Alex Madva,Individual and Structural Interventions,2020
CABICI-3,C\'{e}sar Cabezas,Is Conceptual Inflation a Problem for a Theory of Institutional Racism?,2023
SILRAS-5,Grant Joseph Silva,Racism as Self-Love,2019
FAURAJ,Luc Faucher and Edouard Machery,Racism: Against Jorge Garcia's Moral and Psychological Monism,2009
CABIAA-2,C\'{e}sar Cabezas,Is Affirmative Action Racist? Reflections Toward a Theory of Institutional Racism,2023
URQRRA,Alberto G. Urquidez,(Re-)Defining Racism: A Philosophical Analysis,2020
HOCDWN,Adam Hochman,Do We Need a Device to Acquire Ethnic Concepts?,2013
FISRAC-13,Jeremy Fischer,Racism as Civic Vice,2021
BERIBA-2,Nora Berenstain,Implicit Bias and the Idealized Rational Self,2018
MADIB,Alex Madva,Implicit Bias,2020
GARRPA-2,J. L. A. Garcia,"Racism, Psychology, and Morality: Dialogue with Faucher and Machery",2010
BLURV,Lawrence Blum,Racial Virtues,2007
BACLRJ,Jussi Backman,"Lopullisen Ratkaisun J\""{a}lkeen",2023
MERROE-2,Michael Merry,Review of Elizabeth Anderson's Imperative of Integration,2013
