ID,Author,Title,Year
HOESMA,Christoph Hoerl,Seeing Motion and Apparent Motion,2015
WILTMI-7,Nick Wiltsher and Aaron Meskin,The Moving Image,2019
KANTIO,Andrew Kania,The Illusion of Realism in Film,2002
ALLPIF,Richard Allen,Projecting Illusion: Film Spectatorship and the Impression of Reality,1995
PONERA,Trevor Ponech,External Realism About Cinematic Motion,2006
NOLTPH,"No\""{e}l Carroll and Laura T. Di Summa and Shawn Loht",The Palgrave Handbook of the Philosophy of Film and Motion Pictures,2019
DANMP-3,Arthur C. Danto,Moving Pictures,1979
DECDTD-2,Rafael De Clercq,Does the Debate About Cinematic Motion Rest on a Mistake?,2017
KANRBM,Andrew Kania,Realism,2008
REMMPT,J. Remes,Motion(Less) Pictures: The Cinema of Stasis,2012
BOAFOE,Frank Boardman,"Film Ontology: Extension, Criteria and Candidates",2019
WILTPO-165,M. Blake Wilson and Christopher Turner,The Philosophy of Werner Herzog,2020
DELTT-4,Gilles Deleuze,The Time-Image,1989
BARTIO-23,Karen Bardsley,"The 'I' of the Beholder: On Richard Allen, Projecting Illusion: Film Spectatorship and the Impression of Reality",1998
BROSFF-2,William Brown,Supercinema: Film-Philosophy for the Digital Age,2013
DEGDAV,Marcello De Gregorio,Dall'immagine Alla Vita: Introduzione Alla Cinefilosofia di Gilles Deleuze,2012
VERLLS-2,Fabio Vergine,L'immagine-Inazione. Lo Spazio e Il Tempo Nel Passaggio Dall'image-Mouvement All'image-Temps in Gilles Deleuze,2019
DAVFFA-3,Byron Davies,Found Footage at the Receding of the World,2022
ROSASO-20,Milad Roshani Payan,A Study of the Essence of the Cinematic Frame According to the Metaphors of the Window and Framework,2019
VERLLS-3,Fabio Vergine,L'immagine-Inazione. Lo Spazio e Il Tempo Nel Passaggio Dall'image-Mouvement All'image-Temps in Gilles Deleuze,2019
DALIRD-5,Anna Caterina Dalmasso,"Il Rilievo Della Visione Movimento, Profondit\`a, Cinema Ne le Monde Sensible Et le Monde de L?Expression",2010
TORNCQ,Clotilde Torregrossa,"No\""{e}l Carroll, ""Philosophy and the Moving Image.""",2022
