ID,Author,Title,Year
LAIITC-2,Karyn Lai,An Introduction to Chinese Philosophy (2Nd Ed.),2018
KIMAIM,Bradford Jean{-}Hyuk Kim,Austerity in Mohist Ethics,2023
ROBMC-2,Dan Robins,Mohist Care,2012
DAVUVL,David B. Wong,Universalism Versus Love with Distinctions: An Ancient Debate Revived,1989
MDITEA,Yi{-}Pao Mei,The Ethical and Political Works of Motse,1929
FRAM,Chris Fraser,Mohism,2008
HANBWO-2,Burton Watson,"Basic Writings of Mo Tzu, Hsu?N Tzu, and Han Fei Tzu",1967
DENIMT,Dennis M. Ahern,Is Mo Tzu a Utilitarian?,1976
HARMN-2,Eirik Lang Harris,Mohist Naturalism,2020
LOYJAD,Hui{-}Chieh Loy,Justification and Debate: Thoughts on Moist Moral Epistemology,2008
DAVMTA,David E. Soles,Mo Tzu and the Foundations of Morality,1999
MOMBW,Burton Watson,Mozi: Basic Writings,2003
DUDRMT,Kristopher Duda,Reconsidering Mo Tzu on the Foundations of Morality,2001
SARSAE-7,Hagop Sarkissian,Skill and Expertise in Three Schools of Classical Chinese Thought,2020
DIRALA,Dirck Vorenkamp,Another Look at Utilitarianism in Mo-Tzu's Thought,1992
KIMBTT,Bradford Jean{-}Hyuk Kim,?Benefit to the World? and ?Heaven?s Intent?: The Prospective and Retrospective Aspects of the Mohist Criterion for Rightness,2024
LUUMF-2,Xiufen Lu,Understanding Mozi's Foundations of Morality: A Comparative Perspective,2006
PERTMC,Franklin Perkins,The Moist Criticism of the Confucian Use of Fate,2008
RADMMI,Thomas Radice,Manufacturing Mohism in the Mencius,2011
LOYTWA,Hui{-}Chieh Loy,The Word and the Way in Mozi,2011
TAYRAU,Rodney L. Taylor,Religion and Utilitarianism: Mo Tzu on Spirits and Funerals,1979
LAITPG,Whalen Lai,The Public Good That Does the Public Good: A New Reading of Mohism,1993
FRAMAS-2,Chris Fraser,Moism and Self-Interest,2008
CHAMLU,Chad Hansen,Mo-Tzu: Language Utilitarianism,1989
ROBTMA,Dan Robins,The Moists and the Gentlemen of the World,2008
XIUUMF,Xiufen Lu 1,Understanding Mozi's Foundations of Morality: A Comparative Perspective,2006
CHIJAA,Wai Wai Chiu,Jian Ai and the Mohist Attack of Early Confucianism,2013
SHUMCO-2,Kwong{-}loi Shun,"Mencius' Criticism of Mohism: An Analysis of ""Meng Tzu"" 3A: 5",1991
FLAMCA-3,Owen Flanagan,Moral Contagion and Logical Persuasion in the Mozi (),2008
HEMTTB,Michael Hemmingsen,The Tension Between Divine Command Theory and Utilitarianism in Mozi and George Berkeley: A Comparison,2020
BRIHAA-3,Erica Brindley,Human Agency and the Ideal of Shang Tong (Upward Conformity) in Early Mohist Writings,2007
VANHTE-3,Paul van Els,How to End Wars with Words: Three Argumentative Strategies by Mozi and His Followers,2013
JOCEAO,Christian Jochim,Ethical Analysis of an Ancient Debate: Moists Versus Confucians,1980
ALISUI,Alice Lum,Social Utilitarianism in the Philosophy of Mo Tzu,1977
VANAOW,Paul van Els,Against Offensive Warfare,2007
WONWAG,Benjamin Wong and Hui{-}Chieh Loy,War and Ghosts in Mozi's Political Philosophy,2004
VANART-3,Bryan van Norden,"A Response to the Mohist Arguments in ""Impartial Caring""",2003
TANIIT-2,Koji Tanaka,Inference in the Mengzi 1A: 7,2011
ZHAHDI,Qianfan Zhang,Human Dignity in Classical Chinese Philosophy: Reinterpreting Mohism,2007
HAOIMA,Changchi Hao,Is Mozi a Utilitarian Philosopher?,2006
HARAAL-4,Eirik Lang Harris,Afterthought--Contextualizing and Looking Forward,2020
WENHRI,Haiming Wen and William Keli?I. Akina,Human Rights Ideology as Endemic in Chinese Philosophy: Classical Confucian and Mohist Perspectives,2012
XUEMDR,Yuan Xue,Mozi de Ren Sheng Zhe Xue,1976
WANMJS-2,Huanbiao Wang,Mozi Jiao Shi,1984
FRATMS,Chris Fraser,The Mohist School,2009
MOMJJX,Di Mo,Mozi Jin Ji Jin Yi,1974
ZHOMDZ,Youlian Zhong,Mozi di Zhi Hui: Jian Ai Fei Gong--Xian Neng di Jiu Shi Jing Shen,1985
