ID,Author,Title,Year
KIMMIA,Jaegwon Kim,Mind in a Physical World: An Essay on the Mind?Body Problem and Mental Causation,1998
POLTMR,Thomas W. Polger and Lawrence A. Shapiro,The Multiple Realization Book,2016
MELAPM-2,Andrew Melnyk,A Physicalist Manifesto: Thoroughly Modern Materialism,2003
SHATMI,Lawrence A. Shapiro,The Mind Incarnate,2004
ETAWDY,Tuomas E. Tahko,Where Do You Get Your Protein? Or: Biochemical Realization,2020
KIMMRA,Jaegwon Kim,Multiple Realization and the Metaphysics of Reduction,1992
Bahmani2010-DIZWAO-2,Foad Dizadji{-}Bahmani and Roman Frigg and Stephan Hartmann,Who?s Afraid of Nagelian Reduction?,2010
TAHUOS,Tuomas E. Tahko,Unity of Science,2021
POLNM-3,Thomas W. Polger,Natural Minds,2004
KATGDL,Joel Katzav,Grace de Laguna?s Analytic and Speculative Philosophy,2022
SHAMR,Lawrence A. Shapiro,Multiple Realizations,2000
BECJME,William Bechtel,Multiple Realizability Revisited: Linking Cognitive and Neural States,1999
SOBTMR,Elliott Sober,The Multiple Realizability Argument Against Reductionism,1999
MICFAM-3,Matthias Michel,Fish and Microchips: On Fish Pain and Multiple Realization,2018
LISMIA,Christian List and Kai Spiekermann,Methodological Individualism and Holism in Political Science: A Reconciliation,2013
BLOASB,Ned Block,Anti-Reductionism Slaps Back,1997
FODSSS,Jerry Fodor,Special Sciences: Still Autonomous After All These Years,1997
KIMMRA-5,Jaegwon Kim,Multiple Realization and the Metaphysics of Reduction,2003
GILTMO-2,Carl Gillett,"The Metaphysics of Realization, Multiple Realizability, and the Special Sciences",2003
AIZTMR,Kenneth Aizawa and Carl Gillett,The (Multiple) Realization of Psychological and Other Properties in the Sciences,2009
BATMRA,Robert W. Batterman,Multiple Realizability and Universality,2000
HEMFP-3,Meir Hemmo and Orly Shenker,Flat Physicalism,2021
BOYKCA-3,Richard Boyd,"Kinds, Complexity and Multiple Realization",1999
BOYKCA,Robert Boyd,"Kinds, Complexity, and Multiple Realization",1999
CLADPM,Leonard J. Clapp,Disjunctive Properties: Multiple Realizations,2001
BAYRRI-2,Umut Baysan,Realization Relations in Metaphysics,2015
CLAPMA,Austen Clark,Psychological Models and Neural Mechanisms: An Examination of Reductionism in Psychology,1980
WILTVO,Robert A. Wilson,Two Views of Realization,2001
THUMFA,L. L. Thurstone,Multiple Factor Analysis,1931
BICMR,John Bickle,Multiple Realizability,2008
GARHKA-2,Millikan Ruth Garrett,Historical Kinds and the ?Special Sciences?,1999
FIGNAT,Carrie Figdor,Neuroscience and the Multiple Realization of Cognitive Functions,2010
SHAHTT,Lawrence A. Shapiro,How to Test for Multiple Realization,2008
MAIDNS-2,Amber Maimon and Meir Hemmo,Does Neuroplasticity Support the Hypothesis of Multiple Realizability?,2022
POLETE-4,Thomas W. Polger,Evaluating the Evidence for Multiple Realization,2009
WEITFU-3,Daniel A. Weiskopf,The Functional Unity of Special Science Kinds,2011
HEIMR,John Heil,Multiple Realizability,1999
SHEFPS-3,Orly Shenker,Flat Physicalism: Some Implications,2017
GILUTN,Carl Gillett,Understanding the New Reductionism: The Metaphysics of Science and Compositional Reduction,2007
SMIANA-2,Annette Karmiloff Smith,A New Abstract Code or the New Possibility of Multiple Codes?,1983
LOEWTI,Barry Loewer,Why is There Anything Except Physics?,2008
SINER-2,Neil Sinhababu,Ethical Reductionism,2018
AIZLIV,Kenneth Aizawa and Carl Gillett,"Levels, Individual Variation and Massive Multiple Realization in Neurobiology",2009
ROSMRF,Lauren N. Ross,Multiple Realizability From a Causal Perspective,2020
KHACPT,Muhammad Ali Khalidi,Crosscutting Psycho-Neural Taxonomies: The Case of Episodic Memory,2017
