ID,Author,Title,Year
Schils2005-REYTRS-2,Gretchen J. Reydams{-}Schils,"The Roman Stoics: Self, Responsibility, and Affection",2005
LAUSEL-4,Val\'{e}ry Laurand,Stoi?Cisme Et Lien Social: Enque?Te Autour de Musonius Rufus,2014
STEBVA,William Stephens,Epictetus on Beastly Vices and Animal Virtues,2014
ARNRS,Edward Vernon Arnold,Roman Stoicism,1911
SELSPP-2,John Sellars,Stoic Practical Philosophy in the Imperial Period,2007
BRATYP-2,Rodrigo Sebasti\'{a}n Braicovich,Teor\'{i}a y Pr\'{a}ctica En Musonio Rufo: Un An\'{a}lisis Cr\'{i}tico de Las \emph{Disertaciones} 5 y 6,2013
LAUMMD,Renato Laurenti,"Musonio, Maestro di Epitteto",1987
PADTAA-3,Sharon Padilla,The Awake and Sober Way of Life: A Key Motif in the Stoic Conversion,2022
HARMRC-4,Benjamin Harriman,"Musonius Rufus, Cleanthes, and the Stoic Community at Rome",2020
VANMRA-5,Anton Cornelis van Geytenbeek,Musonius Rufus and Greek Diatribe,1962
BELRPA-4,Raymond Angelo Belliotti,Roman Philosophy and the Good Life,2009
RINARO-2,P. Jesse Rine,A Rview of ?Musonius Rufus and Education in the Good Life: A Model of Teaching and Living Virtue?,2007
DILMRA,J. T. Dillon,Musonius Rufus and Education in the Good Life: A Model of Teaching and Living Virtue,2004
MAYMAS,John E. B. Mayor,Musonius and Simplicius,1903
GUIGRM,Sante Guidotti,Gaio Rufo Musonio e Lo Stoicismo Romano,1976
KILAFO-2,G. D. Kilpatrick,A Fragment of Musonius,1949
DINFMD,Aldo Dinucci,Fragmentos Menores de Caio Mus\^{o}nio Rufo Gaius Musonius Rufus - Fragmenta Minora,2012
KROAMR-3,A. J. Kronenberg,Ad Musonium Rufum,1906
ENGTGE,David M. Engel,The Gender Egalitarianism of Musonius Rufus,2000
CATAHO-7,John R. Catan,A History of Ancient Philosophy Iv: The Schools of the Imperial Age,1989
HOUTPO-5,Joseph Samuel Houser,The Philosophy of Musonius Rufus: A Study of Applied Ethics in the Late Stoa,1997
HENCMR,O. Hense,C. Musonii Rufi Reliquiae,1905
DEHROB,Vanessa de Harven,"Review of Brad Inwood, Later Stoicism 155 Bc to Ad 200: An Introduction and Collection of Sources in Translation. Cambridge: Cambridge University Press, 2022. Pp. 583. \$170 (Hardback). Isbn: 9781107029798",forthcoming
AJVDSA,Irfan Ajvazi,Diogenes's Sayings and Anecdotes: With Other Popular Moralists: An Introduction to Cynicism and Cynic Philosophy,manuscript
HOPATE-2,Keith Hopkins,A Textual Emendation in a Fragment of Musonius Rufus: A Note on Contraception,1965
STETRS-3,William O. Stephens,"\emph{The Roman Stoics: Self, Responsibility and Affection}. By Gretchen Reydams-Schils",2006
ERITRS,Eric Brown,"The Roman Stoics: Self, Responsibility, and Affection (Review)",2007
GAUETM,H. Gauss,"Epiktet, Teles, Musonius. Wege Zum Gl\""{u}cklichen Leben. Eingeleitet Und \""{U}bertragen von Wilhelm Capelle",1950
OMEMRE,Dominic J. O'Meara,"Musonius Rufus, Entretiens Et Fragments",1985
BRIROG,Charles Brittain,"Review of Gretchen Reydams-Schils, \emph{the Roman Stoics: Self, Responsibility, and Affection}",2006
