ID,Author,Title,Year
FINNLA-6,John Finnis,Natural Law and Natural Rights,1979
TUCNRT,Richard Tuck,Natural Rights Theories: Their Origin and Development,1979
HAATSO-2,Knud Haakonssen,The Science of a Legislator: The Natural Jurisprudence of David Hume and Adam Smith,1981
HAANLA-5,Knud Haakonssen,Natural Law and Moral Philosophy: From Grotius to the Scottish Enlightenment,1996
ALEATO-4,Robert Alexy,A Theory of Constitutional Rights,2002
MURNLA-9,Mark C. Murphy,Natural Law and Practical Rationality,2001
CHILAG,Samuele Chilovi and George Pavlakos,Law-Determination as Grounding: A Common Grounding Framework for Jurisprudence,2019
ANNVAL,Julia Annas,Virtue and Law in Plato and Beyond,2017
MURAMT-3,Colleen Murphy,A Moral Theory of Political Reconciliation,2010
MENLAV,Christoph Menke,Law and Violence: Chirstoph Menke in Dialogue,2018
BUCNLA,Stephen Buckle,Natural Law and the Theory of Property: Grotius to Hume,1991
ATITAN,Emad H. Atiq,There Are No Easy Counterexamples to Legal Anti-Positivism,2020
HALOLA-2,Joshua M. Hall,On Law as Poetry: Shelley and Tocqueville,forthcoming
LOCEOT,John Locke,Essays on the Law of Nature,1954
PUFOTD-2,Samuel Pufendorf,On the Duty of Man and Citizen According to Natural Law,1991
ALETDN,Robert Alexy,The Dual Nature of Law,2010
ALEOTC,Robert Alexy,On the Concept and the Nature of Law,2008
HOBADB,Thomas Hobbes,A Dialogue Between a Philosopher and a Student of the Common Laws of England,1960
CHITED-8,Samuele Chilovi and George Pavlakos,The Explanatory Demands of Grounding in Law,2022
FARLNL-2,James Farr,"Locke, Natural Law, and New World Slavery",2008
ALECRB,Robert Alexy,"Constitutional Rights, Balancing, and Rationality",2003
MURLFA,Colleen Murphy,Lon Fuller and the Moral Value of the Rule of Law,2004
CREASS-2,Sergio Volodia Marcello Cremaschi,"Adam Smith. Skeptical Newtonianism, Disenchanted Republicanism, and the Birth of Social Science",1987
CHINMA-3,Samuele Chilovi,Normative Monism and Radical Deflationism,2024
WODTDO,David Plunkett and Daniel Wodak,The Disunity of Legal Reality,2022
CRONLA-2,Jonathan Crowe,Natural Law and the Nature of Law,2019
MURWML,Liam Murphy,What Makes Law: An Introduction to the Philosophy of Law,2014
CROTCP-3,Michael Bertram Crowe,The Changing Profile of the Natural Law,1977
CHIIAL-2,Samuele Chilovi,Metaf\'{i}sica Para Juristas,2022
MURNLI-3,Mark C. Murphy,Natural Law in Jurisprudence and Politics,2006
CHETNL,Daniel Chernilo,The Natural Law Foundations of Modern Social Theory: A Quest for Universalism,2013
FINRIA-2,John Finnis,Reason in Action,2011
ALELMA-3,Robert Alexy,"Law, Morality, and the Existence of Human Rights",2012
FINNL,John Finnis,Natural Law,1991
ALESRO,Robert Alexy,Some Reflections on the Ideal Dimension of Law and on the Legal Philosophy of John Finnis,2013
ALEOTT,Robert Alexy,On the Thesis of a Necessary Connection Between Law and Morality: Bulygin's Critique,2000
COQFB,Daniel R. Coquillette,Francis Bacon,1992
ALETNO,Robert Alexy,The Nature of Legal Philosophy,2004
ATILPA,Emad H. Atiq,Legal Positivism and the Moral Origins of Legal Systems,2023
SAMTSC,Jack Samuel,The Second-Class Citizen in Legal Theory,2023
OAKNLL,Francis Oakley,"Natural Law, Laws of Nature, Natural Rights: Continuity and Discontinuity in the History of Ideas",2005
BERTGO-2,Roger Stuart Berkowitz,The Gift of Science: Leibniz and the Modern Legal Tradition,2005
ROVLMA,Corrado Roversi,Legal Metaphoric Artifacts,manuscript
CAMSRI-3,Andre Santos Campos,Spinoza's Revolutions in Natural Law,2012
DYZHOT,David Dyzenhaus,Hobbes on the Authority of Law,2012
PIEPCO-3,Marek Piechowiak,Plato?s Conception of Justice and the Question of Human Dignity,2019
ALETSC,Robert Alexy,The Special Case Thesis,1999
TIELAL,Brian Tierney,"Liberty and Law: The Idea of Permissive Natural Law, 1100-1800",2014
FINRAP,John Finnis,Religion and Public Reasons,2011
STONLA,Michael Stolleis and Lorraine Daston,"Natural Law and Laws of Nature in Early Modern Europe: Jurisprudence, Theology, Moral and Natural Philosophy",2008
SALNLA,Emanuele Salerno,Natural Law at the University of Pisa : From the Ius Civile Teachings to the Establishment of the First Chair of Ius Publicum in 1726,2024
BISJPC,Lucia Bissoli,Justicia Para Ciudadanos y Extranjeros (10th edition),2023
SURDL,Francisco Sua?rez,De Legibus,2004
STRNRA-5,Leo Strauss,Natural Right and History,1953
HOCNLT,T. J. Hochstrasser,Natural Law Theories in the Early Enlightenment,2000
Rudinsky2022-DECSAG-2,Thana C. de Campos{-}Rudinsky,Solidarity and Global Allocation of Covid-19 Vaccines : A Question of Equality?,2022
Rudinsky2022-DECSAG-3,Thana C. de Campos{-}Rudinsky,Solidarity and Global Allocation of Covid-19 Vaccines : A Question of Equality?,2022
GRETMI-2,Mark Greenberg,"The Moral Impact Theory, the Dependence View, and Natural Law",2017
CRONLT-2,Jonathan Crowe,Natural Law Theories,2016
SIMTTO-2,Yves Rene? Marie Simon,The Tradition of Natural Law: A Philosopher's Reflections,1965
STOAAO-2,S. J. Stoljar,An Analysis of Rights,1984
CROFVA,Jonathan Crowe,"Functions, Validity and the Strong Natural Law Thesis",2019
BAMPRS-2,Nicholas Bamforth and David A. J. Richards,"Patriarchal Religion, Sexuality, and Gender: A Critique of New Natural Law",2007
BURNLA,J. H. Burns and A. P. D'Entreves,Natural Law: An Introduction to Legal Philosophy,1952
BARLAJ,Garrett Barden,Law and Justice in Community,2010
MOOHRA,J. G. Moore,"Hart, Radbruch and the Necessary Connection Between Law and Morals",2020
POOHOL,Thomas Poole,Hobbes on Law and Prerogative,2012
GEONLT,Robert P. George,Natural Law Theory: Contemporary Essays,1992
GOLLDD,Victor Goldschmidt,La Doctrine d'E?Picure Et le Droit,1977
WELNUM,Hans Welzel,Naturrecht Und Materiale Gerechtigkeit,1955
