ID,Author,Title,Year
LEWNWF,David K. Lewis,New Work for a Theory of Universals,1983
DORN,Cian Dorr and John Hawthorne,Naturalness,2013
EHRTPO-2,Douglas Ehring,"Tropes: Properties, Objects, and Mental Causation",2011
TAHNKM,Tuomas E. Tahko,"Natural Kinds, Mind-Independence, and Unification Principles",2022
SUIMAT,Jussi Suikkanen,Metaethics and the Nature of Properties,2024
JONTCO-17,Jonathan Schaffer,Two Conceptions of Sparse Properties,2004
WITIWN,D. Gene Witmer and William Butchard and Kelly Trogdon,Intrinsicality Without Naturalness,2005
ORIP,Francesco Orilia and Michele Paolini Paoletti,Properties,2020
SAUPAL-4,Raul Saucedo,Parthood and Location,2011
WILEAI,J. Robert G. Williams,Eligibility and Inscrutability,2007
BACLC-3,Andrew Bacon,Logical Combinatorialism,2020
KOVAEI,David Mark Kovacs,An Explanatory Idealist Theory of Grounding,2022
DORNP,Cian Dorr,Natural Properties,2019
HIRDR,Eli Hirsch,Dividing Reality,1993
KEIQTA,"Markku Kein\""{a}nen and Antti Keskinen and Jani Hakkarainen",Quantity Tropes and Internal Relations,2019
SIDDD,Theodore Sider,Dasgupta's Detonation,2022
EDDFPO,M. Eddon,Fundamental Properties of Fundamental Properties,2013
EDDNWF,M. Eddon and Christopher J. G. Meacham,No Work for a Theory of Universals,2015
INGPQP,"R\""{o}gnvaldur Ingthorsson","Properties: Qualities, Powers, or Both?",2013
LOELAN,Barry Loewer,Laws and Natural Properties,2007
TSOBEP,Jonathan Y. Tsou,"Biological Essentialism, Projectable Human Kinds, and Psychiatric Classification",2022
SKIEIA,Alexander Skiles,Essence in Abundance,2015
ODEEAP-12,David S. Oderberg,Essence and Properties,2011
KHANKC,Muhammad Ali Khalidi,Natural Kinds (Cambridge Elements in Philosophy of Science),2023
ANDRAT-13,Samuel John Andrews,Realism and the Value of Explanation,2023
DORNR-2,Cian Dorr,Non-Symmetric Relations,2004
HILLON,Tyler Hildebrand,Laws of Nature,2023
MARTMO-38,Anna Marmodoro and David Yates,The Metaphysics of Relations,2016
BLUTCO-3,Ben Blumson,Two Conceptions of Similarity,2018
ASAAEC,Jamin Asay,Against Truth,2014
SIDSIA,Theodore Sider,"Sparseness, Immanence, and Naturalness",1995
EDDAOQ-2,Maya Eddon,Armstrong on Quantities and Resemblance,2007
SIDNIA,Theodore R. Sider,"Naturalness, Intrinsicality, and Duplication",1993
CONPQO,Gabriele Contessa,Powerful Qualities or Pure Powers?,2019
FINTEO-21,Peter Finocchiaro,The Explosion of Being: Ideological Kinds in Theory Choice,2019
TAYONP,Barry Taylor,On Natural Properties in Metaphysics,1993
TAHLON,Tuomas E. Tahko,Laws of Nature,2024
MCDBS,Kris McDaniel,Brutal Simples,2007
VYRNNO,"Pekka V\""{a}yrynen",Normative Naturalism on its Own Terms,2021
AUDHTR,Paul Audi,How to Rule Out Disjunctive Properties,2013
GUIOSN,Ghislain Guigon,"Overall Similarity, Natural Properties, and Paraphrases",2014
BLUDAD,Ben Blumson,Distance and Dissimilarity,2018
WYAIDO,Jeremy Wyatt,In Defence of the Villain: Edwards on Deflationism and Pluralism,2023
FISDLD-3,A. R. J. Fisher,"David Lewis, Donald C. Williams, and the History of Metaphysics in the Twentieth Century",2015
HAZLSA,Allan Hazlett,Understanding and Structure,2017
MARAOI-2,Dan Marshall,Analyses of Intrinsicality in Terms of Naturalness,2012
FINTIO-19,Peter Finocchiaro,The Intelligibility of Metaphysical Structure,2019
EFFMN,Nikk Effingham,Mereological Nominalism,2018
NAOINN,Naomi Thompson,Is Naturalness Natural?,2015
SIDNAA,Theodore Sider,Naturalness and Arbitrariness,1996
HAWCAM,John Hawthorne,Craziness and Metasemantics,2007
TAYSCI,Elanor Taylor,Social Categories in Context,2020
PLALSP,Jan Plate,Logically Simple Properties and Relations,2016
KEIKOT-2,"Markku Kein\""{a}nen and Jani Hakkarainen and Antti Keskinen",Kinds of Tropes Without Kinds,2018
KOSNKA,Kathrin Koslicki,Natural Kinds and Natural Kind Terms,2008
VYRNAT,"Pekka V\""{a}yrynen",Normative Appeals to the Natural,2009
HILSPA-3,Tyler Hildebrand,Scientific Practice and the Epistemology of Governing Laws,2019
SWOTOP,Chris Swoyer,Theories of Properties: From Plenitude to Paucity,1996
EDDPAN,M. Eddon,Parthood and Naturalness,2017
TORQM,Alessandro Torza,Quantum Metametaphysics,2021
CARCEE-6,Alejandro P\'{e}rez Carballo,Conceptual Evaluation: Epistemic,2019
KEITAN,"Markku Kein\""{a}nen",There Are No Module or Modifier Tropes,manuscript
Lauret2019-JANLGD-2,Frederique Janssen{-}Lauret and Fraser MacBride,Lewis?s Global Descriptivism and Reference Magnetism,2019
GRAGML,Martin Grajner,"Grounding, Metaphysical Laws, and Structure",2021
TORSI-2,Alessandro Torza,Structural Indeterminacy,2020
BLUSS-3,Ben Blumson,Naturalness and Convex Class Nominalism,2019
SLAILF,Matthew H. Slater and Andrea Borghini,Introduction: Lessons From the Scientific Butchery,2011
SIMFNP,Byron Simmons,Fundamental Non-Qualitative Properties,2021
CARIIA-4,Chad Carmichael,Immanence in Abundance,2022
TEEEGN,Toppinen Teemu,Essentially Grounded Non-Naturalism and Normative Supervenience,2018
TAYNIC,Elanor Taylor,Naturalness in Context,2016
HILNCO-3,Tyler Hildebrand,Naturalness Constraints on Best Systems Accounts of Laws,2019
TORIIA,Alessandro Torza,Ideology in a Desert Landscape,2017
WEATAM,Brian Weatherson,The Asymmetric Magnets Problem,2006
WILIAE-10,Isaac Wilhelm,Intrinsicality and Entanglement,2022
SASNVA,Reuben Sass,"Naturalness, Veritism, and Epistemic Significance.",2024
CAMVAN,Ross P. Cameron,Vagueness and Naturalness,2010
HAWIPA,John Hawthorne,Intrinsic Properties and Natural Relations,2001
CAMCNA-2,Joseph Keim Campbell and Michael O'Rourke and Matthew H. Slater,Carving Nature at its Joints: Natural Kinds in Metaphysics and Science,2011
DANLAL-3,Dan Marshall and Josh Parsons,Marshall and Parsons on ?Intrinsic?,2001
DORRWT,Cian Dorr,Reading 'Writing the Book of the World',2013
QUIIAC,Anthony Quinton,Iii.--Properties and Classes,1958
BRACRP,David Braun,Causally Relevant Properties,1995
TORLON,Alessandro Torza,Laws of Nature and Theory Choice,2022
CROGHS,Troy Cross,"Goodbye, Humean Supervenience",2012
POMUAD,Gil C. Santos,Upward and Downward Causation From a Relational-Horizontal Ontological Perspective,2014
KESCUA,"Antti Keskinen and Jani Hakkarainen and Markku Kein\""{a}nen",Concrete Universals and Spatial Relations,2015
PAOACP,Michele Paolini Paoletti,Against Conjunctive Properties,2020
NANWIR,Bence Nanay,What If Reality has No Architecture?,2011
MCNMCO,Michael Bennett McNulty,Margaret Cavendish on the Order and Infinitude of Nature,2018
BASEAM,Andrew Dennis Bassford,Essence and Modality: Continued Debate,2024
