ID,Author,Title,Year
BLOPCO-2,Ned Block,Perceptual Consciousness Overflows Cognitive Access,2011
METNCO,Thomas Metzinger,Neural Correlates of Consciousness: Empirical and Conceptual Questions,2000
GUNEON,York H. Gunther,Essays on Nonconceptual Content,2003
MORTNC-7,Jorge Morales and Hakwan Lau,The Neural Correlates of Consciousness,2020
BROTEN,Hakwan Lau and Richard Brown,The Emperor's New Phenomenology? The Empirical Case for Conscious Experience Without First-Order Representations,2018
REENCO,Geraint Rees and G. Kreiman and Christof Koch,Neural Correlates of Consciousness in Humans,2002
MICMRC,Matthias Michel and Jorge Morales,Minority Reports: Consciousness and the Prefrontal Cortex,2019
CRIAWA,Francis Crick and Christof Koch,Are We Aware of Neural Activity in Primary Visual Cortex,1995
WUADC,Wayne Wu,"Against Division: Consciousness, Information and the Visual Streams",2014
MICCSU,Matthias Michel,Consciousness Science Underdetermined: A Short History of Endless Debates,2019
LAUTMB,Hakwan Lau and Matthias Michel and Joseph LeDoux and Stephen Fleming,The Mnemonic Basis of Subjective Experience,2022
WUVSC,Wayne Wu,Visual Spatial Constancy and Modularity: Does Intention Penetrate Vision?,2013
WEIBAC-3,Lawrence Weiskrantz,Blindsight: A Case Study Spanning 35 Years and New Developments,2009
SHETRO,D. L. Sheinberg and Nikos K. Logothetis,The Role of Temporal Cortical Areas in Perceptual Organization,1997
Leone2001-PASFBF,Alvaro Pascual{-}Leone and Vincent Walsh,Fast Backprojections From the Motion to the Primary Visual Area Necessary for Visual Awareness,2001
ZEKTAT,Semir Zeki and Andreas Bartels,Toward a Theory of Visual Consciousness,1999
PRIANT-2,Jesse Prinz,A Neurofunctional Theory of Visual Consciousness,2000
KASMOV,Sabine Kastner and Leslie G. Ungerleider,Mechanisms of Visual Attention in the Human Cortex,2000
TONPVC,Frank Tong,Primary Visual Cortex and Visual Awareness,2003
CHAOSA-2,Jean{-}Pierre Changeux and Stanislas Dehaene,Ongoing Spontaneous Activity Controls Access to Consciousness: A Neuronal Model for Inattentional Blindness,2005
LUCNMO,Stephen Luck and Leonardo Chelazzi and Steven Hillyard and Robert Desimone,"Neural Mechanisms of Spatial Selective Attention in Areas V1, V2, and V4 of Macaque Visual Cortex",1997
OVEVEA,Morten Overgaard,Visual Experience and Blindsight: A Methodological Review,2011
LOGSUA,Nikos K. Logothetis,Single Units and Conscious Vision,1998
SRIISO,Ramesh Srinivasan and D. P. Russell and Gerald M. Edelman and Giulio Srinivasan Tononi,Increased Synchronization of Neuromagnetic Responses During Conscious Perception,1999
BROIOR-4,Zohar Z. Bronfman and Hilla Jacobson and Marius Usher,Impoverished or Rich Consciousness Outside Attentional Focus: Recent Data Tip the Balance for \emph{Overflow},2019
LUMCOA,Erik Lumer and Geraint Rees,Covariation of Activity in Visual and Prefrontal Cortex Associated with Subjective Visual Perception,1999
PINTNC,Delphine Pins and D. H. Ffytche,The Neural Correlates of Conscious Vision,2003
BROTBA-4,Richard Brown,The Brain and its States,2012
JANRBA,Ali Jannati and Vincent Di Lollo,Relative Blindsight Arises From a Criterion Confound in Metacontrast Masking: Implications for Theories of Consciousness,2012
KRESCO,G. Kreiman and I. Fried and Christof Koch,Single-Neuron Correlates of Subjective Vision in the Human Medial Temporal Lobe,2002
NOYIGU,N. Noy and S. Bickel and E. Zion{-}Golumbic and M. Harel and T. Golan and I. Davidesco and C. A. Schevon and G. M. McKhann and R. R. Goodman and C. E. Schroeder and A. D. Mehta and R. Malach,Ignition?s Glow: Ultra-Fast Spread of Global Cortical Activity Accompanying Local ?Ignitions? in Visual Cortex During Conscious Visual Perception,2015
GRACCU-4,Uriah Kriegel,Consciousness: Creeping Up on the Hard Problem,2005
SILSCV,Juha Silvanto and Alan Cowey and Nilli Lavie and Vincent Walsh,Striate Cortex (V1) Activity Gates Awareness of Motion,2005
PREFSI,Fred H. Previc,Functional Specialization in the Lower and Upper Visual Fields in Humans: Its Ecological Origins and Neurophysiological Implications,1990
FARTCN,Martha J. Farah,The Cognitive Neuroscience of Vision,2000
SILDDO,Juha Silvanto and Nilli Lavie and Vincent Walsh,Double Dissociation of V1 and V5/Mt Activity in Visual Awareness,2005
ZEKLAG,Semir Zeki,Localization and Globalization in Conscious Vision,2001
ROFCT,Tony Ro and Bruno Breitmeyer and Philip Burton and Neel S. Singhal and David Lane,Feedback Contributions to Visual Awareness in Human Occipital Cortex,2003
BULFCA,Jean Bullier,Feedback Connections and Conscious Vision,2001
BROCEI-2,Berit Brogaard,Color Experience in Blindsight?,2011
