ID,Author,Title,Year
TREAFI,Anne Treisman,A Feature Integration Theory of Attention,1980
CRITAN,Francis Crick and Christof Koch,Toward a Neurobiological Theory of Consciousness,1990
DAMTMR,Antonio R. Damasio,Time-Locked Multiregional Retroactivation: A Systems-Level Proposal for the Neural Substrates of Recognition and Recall,1989
ENGTBA-2,Andreas K. Engel and Wolf Singer,Temporal Binding and the Neural Correlates of Sensory Awareness,2001
SHAFSA,Lokendra Shastri and Venkat Ajjanagadde,"From Simple Associations to Systematic Reasoning: A Connectionist Representation of Rules, Variables, and Dynamic Binding Using Temporal Synchrony",1993
SINVFI,Wolf Singer and Charles M. Gray,Visual Feature Integration and the Temporal Correlation Hypothesis,1995
TRETBP,Anne Treisman,The Binding Problem,1996
GRAORI,Charles M. Gray and P. Kreiter Konig and Andreas K. Engel and Wolf Singer,Oscillatory Responses in Cat Visual Cortex Exhibit Inter-Columnar Synchronization Which Reflects Global Stimulus Properties,1992
LUTGTS,Antoine Lutz and Jacques Martinerie and Jean{-}Philippe Lachaux and Francisco J. Varela,Guiding the Study of Brain Dynamics by Using First- Person Data: Synchrony Patterns Correlate with Ongoing Conscious States During a Simple Visual Task,2002
COTMOB,Rodney M. J. Cotterill,Models of Brain Function,1989
TONCAC-2,Giulio Tononi and Gerald M. Edelman and Olaf Sporns,Complexity and Coherency: Integrating Information in the Brain,1998
DAMSAI,Antonio R. Damasio,Synchronous Activation in Multiple Cortical Regions: A Mechanism for Recall,1990
ENGTBB,"Andreas K. Engel and Pascal Fries and Peter K\""{o}nig and Michael Brecht and Wolf Singer","Temporal Binding, Binocular Rivalry, and Consciousness",1999
FINCAA-3,Andrew A. Fingelkurts and Alexander A. Fingelkurts and Carlos F. H. Neves,Consciousness as a Phenomenon in the Operational Architectonics of Brain Organization: Criticality and Self-Organization Considerations,2013
SINSOC,Wolf Singer,Synchronization of Cortical Activity and its Putative Role in Information Processing and Learning,1993
SNGIAI,"Johanna S\""{a}nger and Viktor M\""{u}ller and Ulman Lindenberger",Intra- and Interbrain Synchronization and Network Properties When Playing Guitar in Duets,2012
REVBAT,Antti Revonsuo,Binding and the Phenomenal Unity of Consciousness,1999
DAMTBB,Antonio R. Damasio,The Brain Binds Entities and Events by Multiregional Activation From Convergence Zones,1989
FRISOO,Pascal Fries and Pieter R. Roelfsema and Andreas K. Engel and Wolf Singer,Synchronization of Oscillatory Responses in Visual Cortex Correlates with Perception in Interocular Rivalry,1997
NEAPAP-2,Stephen Neale,Pragmatism and Binding,2004
ROSTBP-3,Adina L. Roskies,The Binding Problem,1999
PRIPOF,W. Amiri Prinzmetal,Principles of Feature Integration in Visual Perception,1981
WOLPOF,J. M. Wolfe and S. C. Bennett,Preattentive Object Files: Shapeless Bundles of Basic Features,1997
ROBBSA-2,Lynn C. Robertson,"Binding, Spatial Attention and Perceptual Awareness",2003
STETOI,Mircea Steriade and D. A. McCormick and Terrence J. Sejnowski,Thalamocortical Oscillations in the Sleeping and Aroused Brain,1993
SINCAT,Wolf Singer,Consciousness and the Binding Problem,2001
PKEPDB,"Peter E. Keller and G\""{u}nther Knoblich and Bruno H. Repp",Pianists Duet Better When They Play with Themselves: On the Possible Role of Action Simulation in Synchronization,2007
JONETO,Mostyn W. Jones,Electromagnetic-Field Theories of Mind,2013
MCFSFA,J. McFadden,Synchronous Firing and its Influence on the Brain's Electromagnetic Field: Evidence for an Electromagnetic Field Theory of Consciousness,2002
Baudry1999-TALHBA,Catherine Tallon{-}Baudry and Olivier Bertrand,High-Frequency Brain Activity: Perception or Active Memory? Reply,1999
ARBHOB,Michael A. Arbib,Handbook of Brain Theory and Neural Networks,1995
SINNAN,Wolf Singer and Andreas K. Engel and A. Kreiter and M. Munk and P. R. Roelfsema,"Neuronal Assemblies: Necessity, Signature, and Detectability",1997
FINOAO,Andrew A. Fingelkurts and Alexander A. Fingelkurts,Operational Architectonics of the Human Brain Biopotential Field: Toward Solving the Mind-Brain Problem,2001
DILTFP,Vincent Di Lollo,The Feature-Binding Problem is an Ill-Posed Problem,2012
CAPLAB-2,Herman Cappelen and John Hawthorne,Locations and Binding,2007
JOTRP,Han{-}Gue Jo and Marc Wittmann and Thilo Hinterberger and Stefan Schmidt,The Readiness Potential Reflects Intentional Binding,2014
SILFSO,A. M. Sillito and H. E. Jones and G. L. Gerstein and D. C. West,Feature-Linked Synchronization of Thalamic Relay Cell Firing Induced by Feedback From the Visual Cortex,1994
JONMET-2,Mostyn W. Jones,Mounting Evidence That Minds Are Neural Em Fields Interacting with Brains,2017
FINTCR-4,Andrew A. Fingelkurts and Alexander A. Fingelkurts and Sergio Bagnato and Cristina Boccagni and Giuseppe Galardi,The Chief Role of Frontal Operational Module of the Brain Default Mode Network in the Potential Recovery of Consciousness From the Vegetative State: A Preliminary Comparison of Three Case Reports,2016
