ID,Author,Title,Year
CRAETB-2,Carl F. Craver,Explaining the Brain,2007
BERTNI,Selim Berker,The Normative Insignificance of Neuroscience,2009
ZAWPAA-2,Przemys\l{}aw Zawadzki and Agnieszka K. Adamczyk,Personality and Authenticity in Light of the Memory-Modifying Potential of Optogenetics,2021
LEVNAN,Neil Levy,Neuroethics: A New Way of Doing Ethics,2011
LEVRNI,Neil Levy,Rethinking Neuroethics in the Light of the Extended Mind Thesis,2007
MASTRO-16,Hannah Maslen and Thomas Douglas and Roi Cohen Kadosh and Neil Levy and Julian Savulescu,The Regulation of Cognitive Enhancement Devices : Extending the Medical Model,2014
LEWAAT-9,Jonathan Lewis,Autonomy and the Limits of Cognitive Enhancement,2021
SPAEAM,Robert Sparrow,Egalitarianism and Moral Bioenhancement,2014
SCHAAE-6,G. Owen Schaefer and Guy Kahane and Julian Savulescu,Autonomy and Enhancement,2013
KRAMMA,Felicitas Kraemer,"Me, Myself and My Brain Implant: Deep Brain Stimulation Raises Questions of Personal Authenticity and Alienation",2011
FOCMED,Farah Focquaert and Maartje Schermer,Moral Enhancement: Do Means Matter Morally?,2015
ROSNFT,Adina L. Roskies,Neuroethics for the New Millennium,2002
ADATMP-2,Agnieszka K. Adamczyk and Przemys\l{}aw Zawadzki,The Memory-Modifying Potential of Optogenetics and the Need for Neuroethics,2020
LEVIN,Neil Levy,Introducing Neuroethics,2008
LAUTNC,Steven Laureys,The Neural Correlate of (Un)Awareness: Lessons From the Vegetative State,2005
NYHDBS,Sven Nyholm and Elizabeth O?Neill,"Deep Brain Stimulation, Continuity Over Time, and the True Self",2016
KLADMB,Laura Klaming and Pim Haselager,"Did My Brain Implant Make Me Do It? Questions Raised by Dbs Regarding Psychological Continuity, Responsibility for Action and Mental Competence",2010
SHETVS,Nicholas Shea and Tim Bayne,The Vegetative State and the Science of Consciousness,2010
LEWOBA-2,Jonathan Lewis and S\o{}ren Holm,"Organoid Biobanking, Autonomy and the Limits of Consent",2022
