ID,Author,Title,Year
POTSTA,Michael D. Potter,Set Theory and its Philosophy: A Critical Introduction,2004
FEFDMN,Solomon Feferman and Harvey M. Friedman and Penelope Maddy and John R. Steel,Does Mathematics Need New Axioms,1999
ANTUAE-2,Carolin Antos and Neil Barton and Sy{-}David Friedman,Universism and Extensions of V,2021
KOEOTQ,Peter Koellner,On the Question of Absolute Undecidability,2010
ANTMCI,Carolin Antos and Sy{-}David Friedman and Radek Honzik and Claudio Ternullo,Multiverse Conceptions in Set Theory,2015
Doane2012-CLAWIA,Justin Clarke{-}Doane,What is Absolute Undecidability??,2012
INCMPI,Luca Incurvati,Maximality Principles in Set Theory,2017
HAMITD,Joel David Hamkins,Is the Dream Solution of the Continuum Hypothesis Attainable?,2015
BOWHLK,David Elohim,Hyperintensional ?-Logic,2019
ARRTHP,Tatiana Arrigoni and Sy{-}David Friedman,The Hyperuniverse Program,2013
ROBASR-2,Sam Roberts,A Strong Reflection Principle,2017
FRIMAO-4,Sy{-}David Friedman and Neil Barton,Maximality and Ontology: How Axiom Content Varies Across Philosophical Frameworks,2017
WELGRP,P. D. Welch,Global Reflection Principles,2017
LEMFFL,Jens Lemanski and Andrew Schumann,Fichte?s Formal Logic,2023
EASTRO-7,Kenny Easwaran,The Role of Axioms in Mathematics,2008
TAIZCO,W. W. Tait,Zermelo's Conception of Set Theory and Reflection Principles,1998
ROBRAP-9,Sam Roberts,Reflection and Potentialism,2016
BARCAM-5,Neil Barton and Sy{-}David Friedman,Countabilism and Maximality Principles,manuscript
BARRAR-9,Neil Barton,Richness and Reflection,2016
TERTSF,Claudio Ternullo and Sy{-}David Friedman,The Search for New Axioms in the Hyperuniverse Programme,2016
ACZBRI-2,Peter Aczel and Laura Crosilla and Hajime Ishihara and Erik Palmgren and Peter Schuster,Binary Refinement Implies Discrete Exponentiation,2006
BARALC-5,Neil Barton,Are Large Cardinal Axioms Restrictive?,manuscript
TERIDC,Claudio Ternullo,Ipotesi Del Continuo,2017
STYFST,Avril Styrman and Aapo Halko,Finitist Set Theory in Ontological Modeling,2018
LEUNOA,Holger A. Leuz,Note on Absolute Provability and Cantorian Comprehension,manuscript
ROBC-46,Sam Roberts,Classless,2020
HELROR-3,Geoffrey Hellman,Reflections on Reflection in a Multiverse,2018
BARICO-5,Neil Barton,Iterative Conceptions of Set,manuscript
FEFPTT,Solomon Feferman,"Presentation to the Panel, ?Does Mathematics Need New Axioms?? Asl 2000 Meeting, Urbana Il, June 5, 2000",manuscript
RINRTS-2,Assaf Rinot,"The Search for Diamonds: Review of S. Shelah, Middle Diamond; S. Shelah, Diamonds; and M. Zeman, Diamond, Gch and Weak Square.",2010
