ID,Author,Title,Year
HEIJPA-3,James W. Heisig and Thomas P. Kasulis and John C. Maraldo,Japanese Philosophy: A Sourcebook,2011
BOULFJ-2,Raquel Bouso and James Heisig and Thomas P. Kasulis and John Maraldo,La Filosof\'{i}a Japonesa En Sus Textos,2016
METTDB,Daniel A. Metraux,The Dispute Between the S\={o}ka Gakkai and the Nichiren Sh\={o}sh\=u Priesthood: A Lay Revolution Against a Conservative Clergy,1992
ENDNSV,Asai Endo,Nichiren Shonin's View of Humanity: The Final Dharma Age and the Three Thousand Realms in One Thought-Moment,1999
OZAWAN,Makoto Ozaki,Whitehead and Nichiren on Process: The Actuality of the Past,1986
STOPNI,Jacqueline Stone,"Placing Nichiren in the ""Big Picture"": Some Ongoing Issues in Scholarship",1999
ALLTNA,Cheryl M. Allam,The Nichiren and Catholic Confrontation with Japanese Nationalism,1990
HIRNVO,Sat\=o Hiroo,Nichiren's View of Nation and Religion,1999
ESTCO-2,Lepekhova E. S.,The Concept of Virtue in Compositions of Prince Shotoku,2008
PARNSA-4,Yoko Yamamoto Parks,Nichiren Shoshu Academy in America: Changes During the 1970S,1980
HABRNE,Ruben Lf Habito and Jacqueline I. Stone,Revisiting Nichiren: Editors' Introduction,1999
ICHNVO,Mori Ichiu,Nichiren?s View of Women,2003
FUMNPW,Sueki Fumihiko,Nichiren's Problematic Works,1999
RODNAS,Laurel Rasplica Rodd,Nichiren and Setsuwa,1978
DEANRA,William Deal,Nichiren's Rissho Ankoku Ron and Canon Formation,1999
OTANVO,Gyoko Otani,Nichiren's View of Ethics,1991
JAFRFT,Paul D. Jaffe,Rising From the Lotus: Two Bodhisattvas From the Lotus Sutra as a Psychodynamic Paradigm for Nichiren,1986
HABBRO,Ruben Habito,Bodily Reading of the Lotus Sutra: Understanding Nichiren's Buddhism,1999
SHIRAP,Koichi Shinohara,Religion and Political Order in Nichiren's Buddhism,1981
AIKSET,Bill Aiken,Seeking Emancipation Through Engagement: One Nichiren Buddhistis Approach to Practice,2003
NAYNIA,Christina Naylor,"Nichiren, Imperialism, and the Peace Movement",1991
DOLCAA-2,Lucia Dolce,Criticism and Appropriation: Nichiren's Attitude Toward Esoteric Buddhism,1999
OZATHS,Makoto Ozaki,The Historical Structure of the Eternal: Nichiren's Eschatology,1979
KARNHV,"H\""{u}samettin Karata\cs","Nichiren?in Hayat\i Ve Temel \""{O}u{g}retileri",2014
HABRAT-3,Ruben Habito,Review Article: The Uses of Nichiren in Modern Japanese History,1999
SOLSOT,Ted J. Solomon,Soka-Gakkai on the Alleged Compatibility Between Nichiren Buddhism and Modern Science,1980
KICRAP,Shinohara K\={o}ichi,Religion and Political Order in Nichiren?s Buddhism,1981
NICNSA,Nichiren,Nichiren's Senji-Sh\=o: An Essay on the Selection of the Proper Time,1982
MASTAO-5,\={O}kubo Masayuki,The Acceptance of Nichiren Sh\={o}sh\=u S\={o}ka Gakkai in Mexico,1991
STORAB-2,Jacqueline Stone,Review Article: Biographical Studies of Nichiren,1999
OKUNKN,Okuwa Hitoshi,??????????,1989
UMANSN,Gyokei Umata,Nichiren Shonin No Shukyo Oyobi Tetsugaku,1944
AIZAAA,Yoichi Aizawa,Almsgiving and Alms Refusal in the Fuju-Fuse Sect of Nichiren Buddhism with a Consideration of These Practices in Early Indian Buddhism,1984
NICNNR,Sabur\a{a}o Nichiren and Yoshikawa,?????: ?? ????????? : ????????? ??,1985
HEIROS-4,Steven Heine,Sourcebook for Modern Japanese Philosophy: Selected Documents (Review),2001
HABRND,Ruben Lf Habito,"Reviews: Nichiren, der Aus\""{u}bende des Lotos-S\={u}tra",2005
HABROY,Ruben Habito,"Review Of: Yukio Matsudo, Nichiren, der Aus\""{u}bende des Lotos-S\={u}tra",2005
STOROD-2,Jacqueline Stone,"Review Of: David A. Snow, Shakubuku: A Study of the Nichiren Shoshu Buddhist Movement in America, 1960?1975; Jane Hurst, Nichiren Shoshu Buddhism and the Soka Gakkai in America: The Ethos of a New Religious Movement",1993
