ID,Author,Title,Year
KUHTSO-2,Thomas S. Kuhn,The Structure of Scientific Revolutions,1962
DASO-2,Lorraine Daston and Peter Galison,Objectivity,2007
KUHOVJ,Thomas S. Kuhn,"Objectivity, Value Judgment, and Theory Choice",1981
DOUIRA,Heather Douglas,Inductive Risk and Values in Science,2000
LEBDAO,Baptiste Le Bihan and James Read,Duality and Ontology,2018
ELLNVA,Kevin C. Elliott and Daniel J. McKaughan,Nonepistemic Values and the Multiple Goals of Science,2014
KEASTT-2,Michael N. Keas,Systematizing the Theoretical Virtues,2017
BROVIS,Matthew J. Brown,Values in Science Beyond Underdetermination and Inductive Risk,2013
HICAND,Daniel J. Hicks,A New Direction for Science and Values,2014
ELLEIR,Kevin Christopher Elliott and Ted Richards,Exploring Inductive Risk: Case Studies of Values in Science,2017
MCMVIS-2,Ernan McMullin,Values in Science,2012
NOLQP,Daniel Nolan,Quantitative Parsimony,1997
INTDBL,Kristen Intemann,Distinguishing Between Legitimate and Illegitimate Values in Climate Modeling,2015
DOUTVO-2,Heather Douglas,The Value of Cognitive Values,2013
BRIDBD-3,Liam Kofi Bright,Du Bois? Democratic Defence of the Value Free Ideal,2018
INTUTP,Kristen Intemann,"Understanding the Problem of ?Hype?: Exaggeration, Values, and Trust in Science",2022
CABSTN,Frank Cabrera,"String Theory, Non-Empirical Theory Assessment, and the Context of Pursuit",2021
LONGPA,Helen E. Longino,"Gender, Politics, and the Theoretical Virtues",1995
LAUDU,Larry Laudan,Demystifying Underdetermination,1956
CHETSO-31,Eddy Keming Chen,The Simplicity of Physical Laws,manuscript
BRESAA-5,Andrew Brenner,Simplicity as a Criterion of Theory Choice in Metaphysics,2017
IVAAVI,Milena Ivanova,Aesthetic Values in Science,2017
HITPVA,Christopher Hitchcock and Elliott Sober,Prediction Versus Accommodation and the Risk of Overfitting,2004
JOHIRA-2,Stephen John,Inductive Risk and the Contexts of Communication,2015
STAUOS,Kyle Stanford,Underdetermination of Scientific Theory,2014
BRAPSP,Darren Bradley,Philosophers Should Prefer Simpler Theories,2018
JANQPP-3,Lina Jansson and Jonathan Tallant,Quantitative Parsimony: Probably for the Better,2017
SWISAE-2,Richard Swinburne,Simplicity as Evidence of Truth,1997
Martin2016-DEMTRO-22,Inmaculada de Melo{-}Mart\'{i}n and Kristen Intemann,The Risk of Using Inductive Risk to Challenge the Value-Free Ideal,2016
FREMUW,Steven French,Metaphysical Underdetermination: Why Worry?,2011
DOUVIS,Heather E. Douglas,Values in Science,2014
STETCA-7,Jacob Stegenga,Theory Choice and Social Choice: Okasha Versus Sen,2015
ELLDOV,Kevin C. Elliott,Douglas on Values: From Indirect Roles to Multiple Goals,2013
DOUFTT,Heather Douglas,From Tapestry to Loom: Broadening the Perspective on Values in Science,2018
LEVMTS,Isaac Levi,Must the Scientist Make Value Judgments?,1960
IVATAO-2,Milena Ivanova and Steven French,"The Aesthetics of Science: Beauty, Imagination and Understanding",2020
STECCI,Kevin Christopher Elliott and Daniel Steel,Current Controversies in Values and Science,2016
NORMEU,John D. Norton,Must Evidence Underdetermine Theory,2003
PATVAV-2,Cedric Paternotte and Milena Ivanova,Virtues and Vices in Scientific Practice,2017
IVAPAO,Milena Ivanova,Poincar\'e?s Aesthetics of Science,2017
KRIFUA,Kristen Intemann,"Feminism, Underdetermination, and Values in Science",2005
FISNAT-5,Enno Fischer,Naturalness and the Forward-Looking Justification of Scientific Principles,2023
DIMITV,Marina DiMarco and Kareem Khalifa,"Inquiry Tickets: Values, Pursuit, and Underdetermination",2019
DAWDTU,Richard Dawid,Delimiting the Unconceived,2018
RESVAT-5,David B. Resnik and Kevin C. Elliott,Value-Entanglement and the Integrity of Scientific Research,2019
BELOAB,Gordon Belot,Objectivity and Bias,2017
MCKCAA-3,Daniel J. McKaughan and Kevin C. Elliott,Introduction: Cognitive Attitudes and Values in Science,2015
WATTSO-17,Jamie Carlin Watson,The Shoulders of Giants: A Case for Non-Veritism About Expert Authority,2018
WYLOTU,Caitlin Donahue Wylie,Overcoming the Underdetermination of Specimens,2019
ROWTES,Darrell Patrick Rowbottom,The Empirical Stance Vs. The Critical Attitude,2005
FRATTO-7,Allan Franklin,The Theory-Ladenness of Experiment,2015
MILCTW,Boaz Miller,Catching the Wave: The Weight-Adjusting Account of Values and Evidence,2014
REUWDN,Alexander Reutlinger,When Do Non-Epistemic Values Play an Epistemically Illegitimate Role in Science? How to Solve One Half of the New Demarcation Problem,2022
