ID,Author,Title,Year
PARNO,Terence Parsons,Nonexistent Objects,1980
SALN,Nathan Salmon,Nonexistence,1998
BEREAA-2,Francesco Berto,Existence as a Real Property: The Ontology of Meinongianism,2012
BERMMA,Francesco Berto,Modal Meinongianism and Fiction: The Best of Three Worlds,2011
REINO,Maria Reicher,Nonexistent Objects,2019
SALE,Nathan Salmon,Existence,1987
MOLITV,Friederike Moltmann,Chapter 5: Intensional Transitive Verbs and Their 'Objects',2012
MUOGN,Daniel Mu\~{n}oz,Grounding Nonexistence,2020
MONNO,Fabrizio Mondadori,Nonexistent Objects,1985
MOLVOA,Friederike Moltmann,Variable Objects and Truthmaking,2020
MOLTSO,Friederike Moltmann,The Semantics of Existence,2013
CONSMA-8,Gabriele Contessa,Scientific Models and Fictional Objects,2010
CRAWIT-5,Tim Crane,What is the Problem of Non-Existence?,2012
BERMMF,Francesco Berto,Modal Meinongianism for Fictional Objects,2008
JACMLT,Dale Jacquette,Meinongian Logic: The Semantics of Existence and Nonexistence,1996
MARARR-2,Andrea Marchesi,A Radical Relationist Solution to the Problem of Intentional Inexistence,2021
BERMMA-6,Francesco Berto and Graham Priest,Modal Meinongianism and Characterization,2014
VONFRA,Tatjana von Solodkoff,Fictional Realism and Negative Existentials,2014
MOLNOA-3,Friederike Moltmann,Nonexistent Objects and Their Semantic and Ontological Dependence on Referential Acts,forthcoming
SAIIWE,R. M. Sainsbury,Intentionality Without Exotica,2010
PARATN,Terence Parsons,Are There Nonexistent Objects?,1982
MARHTO-3,Andrea Marchesi,Husserl?s Early Theory of Intentionality as a Relational Theory,2018
VOLPTC,Alberto Voltolini,"Probably the Charterhouse of Parma Does Not Exist, Possibly Not Even That Parma",2013
CHETCV,Eddy Keming Chen,The Cosmic Void,2021
HOFQAN,Thomas Hofweber,Quantification and Non-Existent Objects,2000
INWMOE,Inwagen Peter van,Mcginn on Existence,2008
THOEMR-3,Andrew D. Thomas,Extended Modal Realism -- a New Solution to the Problem of Intentional Inexistence,2020
NELE,Michael Nelson,Existence,2012
MOLMOB-2,Friederike Moltmann,"Modes of Being and Non-Being: Existence, Occurrence, and Validity",forthcoming
ZALAAT,Alan McMichael and Ed Zalta,An Alternative Theory of Nonexistent Objects,1980
SMIMTI-2,Barry Smith,More Things in Heaven and Earth,1995
PARAMA-5,Terence Parsons,A Meinongian Analysis of Fictional Objects,1975
ARAGMA-2,Istva?n Aranyosi,"God, Mind, and Logical Space: A Revisionary Approach to Divinity",2013
LIHTIF,Franck Lihoreau,Truth in Fiction,2010
FINMTO-2,John Niemeyer Findlay,Meinong's Theory of Objects,1933
DARDII,George Darby and Martin Pickup and Jon Robson,Deep Indeterminacy in Physics and Fiction,2017
