ID,Author,Title,Year
FRIFAA-2,Stacie Friend,Fiction as a Genre,2012
NIGGID-2,Andrea Wilson Nightingale,Genres in Dialogue: Plato and the Construct of Philosophy,1995
ROWPAT,Christopher Rowe,Plato and the Art of Philosophical Writing,2007
MAIEFT-3,Emar Maier and Merel Semeijn,Extracting Fictional Truth From Unreliable Sources,2021
HERENW,David Herman and Richard J. Gerrig,Experiencing Narrative Worlds: On the Psychological Activities of Reading,1997
SKIRAR,Quentin Skinner,Reason and Rhetoric in the Philosophy of Hobbes,1996
FRIIUA-2,Stacie Friend,Fictive Utterance and Imagining Ii,2011
RYALTA-3,Michael Ryan and Terry Eagleton,Literary Theory: An Introduction,1984
MARFTD-13,Neri Marsili,Fictions That Don?T Tell the Truth,2024
VIETPA,Emanuel Viebahn,The Poet Affirmeth,manuscript
FRIFIF,Stacie Friend,Falsehoods in Film: Documentary Vs Fiction,2021
HERLTA-3,David Herman and Terry Eagleton,Literary Theory: An Introduction,1998
BARNAN-2,Rachel Barney,Names and Nature in Plato's Cratylus,2001
KIVTPO-5,Peter Kivy,The Performance of Reading: An Essay in the Philosophy of Literature,2006
WILSAT-29,Adam M. Willows,Stories and the Development of Virtue,2017
CARTRC-4,"No\""{e}l Carroll and John Gibson",The Routledge Companion to Philosophy of Literature,2015
GILFAA,Christopher Gill and Mary Margaret McCabe,Form and Argument in Late Plato,1996
ELDLAH-2,Richard Thomas Eldridge,"Leading a Human Life: Wittgenstein, Intentionality, and Romanticism",1997
TOGTSO-2,Neal A. Tognazzini,The Strains of Involvement,2015
HERLTA-4,David Herman and Jonathan Culler,Literary Theory: A Very Short Introduction,1999
HARTVO-25,James Harold,The Value of Fidelity in Adaptation,2018
PERWLP-2,Marjorie Perloff,Wittgenstein?s Ladder: Poetic Language and the Strangeness of the Ordinary,1996
SARWIL-9,Jean Paul Sartre,"""What is Literature?"" and Other Essays",1988
MERTTT,Thomas Cl\'{e}ment Mercier and Jacques Derrida and \'{E}velyne Grossman,"The Truth That Hurts, or the Corps \`A Corps of Tongues: An Interview with Jacques Derrida",2019
AGUVST,Jes\'{u}s Miguel Delgado Del Aguila,Violencia Social: Tem\'{a}tica Regularizada y Necesaria Para la Recepci\'{o}n de la Novela Policial Peruana (1990-2013),2023
VRATAD,Andreas Vrahimis,"The ""Analytic""/""Continental"" Divide and the Question of Philosophy's Relation to Literature",2019
Sharrock2016-MOYI-3,Dani\`{e}le Moyal{-}Sharrock,Introduction,2016
LANTAO-3,Berel Lang,The Anatomy of Philosophical Style: Literary Philosophy and the Philosophy of Literature,1990
AGUEAC-3,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Cristhian Brice\~{n}o \'{A}ngeles Sobre Los Escritores y Las Editoriales,2023
KENBEC-2,Stuart Kendall and Leslie Hill,Blanchot: Extreme Contemporary,2000
JARBEC,Steven Jaron and Leslie Hill,Blanchot: Extreme Contemporary,1999
ADAAHA-3,Don Adams,Aristophanes's Hiccups and Erotic Impotence,2021
HMLSLS,"Nora H\""{a}m\""{a}l\""{a}inen",Sara Lidman's Secular Reading of Original Sin,2021
CAVTWL,Terence Cave,Thinking with Literature: Towards a Cognitive Criticism,2016
PRIPDI,Michael Prince,"Philosophical Dialogue in the British Enlightenment: Theology, Aesthetics and the Novel",1996
CHABAR,Marc Champagne and Mimi Reisel Gladstein,"Beauvoir and Rand: Asphyxiating People, Having Sex, and Pursuing a Career",2015
JOVKOP,Iris Vidmar Jovanovi\'c,Kant on Poetry and Cognition,2020
LYOBIE,John D. Lyons,Before Imagination: Embodied Thought From Montaigne to Rousseau,2005
SMIDAA,Robert Smith,Derrida and Autobiography,1995
HARMDM-9,Ann Hartle,Michel de Montaigne: Accidental Philosopher,2003
HAGOPA,Garry Hagberg,"On Philosophy as Therapy: Wittgenstein, Cavell, and Autobiographical Writing",2003
KAPAFT,Alice Y. Kaplan and Susan Rubin Suleiman,Authoritarian Fictions: The Ideological Novel as a Literary Genre,1985
LYODAM,John D. Lyons,Descartes and Modern Imagination,1999
GERRFA,Richard J. Gerrig,Reexperiencing Fiction and Non-Fiction,1989
HINVWA,Jaakko Hintikka,Virginia Woolf and Our Knowledge of the External World,1979
GONEHD,R. Gonz\'{a}lez,El Humanismo de Humberto S\'{a}bato: ?Visionario Del \'{U}ltimo Engranaje?,2012
MAGNCP-3,Bernd Magnus and Stanley Stewart and Jean{-}Pierre Mileur,Nietzsche's Case: Philosophy as/and Literature,1992
LANDFT,Joshua Landy,"Don't Feed the Liars! On Fraudulent Memoirs, and Why They're Bad",2022
AGUCTD-2,Jes\'{u}s Miguel Delgado Del Aguila,Construcci\'{o}n Te\'{o}rica Del Campo Figurativo Para El An\'{a}lisis L\'{i}rico (1st edition),2021
SOUEDW,Eraldo Souza dos Santos,Everything Disappears,manuscript
AGUEVE,Jes\'{u}s Miguel Delgado Del Aguila,Estratificaci\'{o}n Violenta En Los Personajes de la Ciudad y Los Perros,2021
OLEKAI,Ole Martin Skille\a{a}s,Knowledge and Imagination in Fiction and Autobiography,2006
VARNLB,Dimitris Vardoulakis,"Not Life, but Bad Literature",2013
AGUCVC,Jes\'{u}s Miguel Delgado Del Aguila,Construcci\'{o}n Viril Con la Experiencia Femenina En la Ciudad y Los Perros,2022
GARVLP,Manon Garcia,Vivre la Philosophie : Les M\'{e}moires Comme \O{E}uvre Philosophique,2018
AGUECS-3,Jes\'{u}s Miguel Delgado Del Aguila,Estudios Cr\'{i}ticos Sobre la Instrucci\'{o}n Militar En la Ciudad y Los Perros,2021
AGUEDL-3,Jes\'{u}s Miguel Delgado Del Aguila,Ense\~{n}anza de la Literatura Espa\~{n}ola En Contextos Universitarios Peruanos. Entrevista a Mar\'{i}a Luisa Roel Mendizabal,2022
RETMDW,John Rethorst,Moral Density: Why Teaching Art is Teaching Ethics,2019
FOLNNI,Christian Folde,Non-Fictional Narrators in Fictional Narratives,2017
JAMA-3,Henry James and Frederick W. Dupee,Autobiography,1957
DEBDTR,Paul Deb,?Did This Really Happen??: Amit Chaudhuri?s Acknowledgement of the Autobiographical,2022
AGUCHE-2,Jes\'{u}s Miguel Delgado Del Aguila,Correspondencia Humanista En El Discurso Ensay\'{i}stico Vargasllosiano Con la Ciudad y Los Perros,2021
AGUEAJ-2,Jes\'{u}s Miguel Delgado Del Aguila,"Entrevista a Jos\'e Manuel S\'{a}nchez Ron, Vicedirector de la Real Academia Espa\~{n}ola. B\'{u}squeda de M\'{e}todos de Investigaci\'{o}n de la Literatura En Conjunci\'{o}n Con la F\'{i}sica",2022
AGUDDL-2,Jes\'{u}s Miguel Delgado Del Aguila,Desarrollo de la Literatura Boliviana Contempor\'{a}nea: Entrevista a Blithz Lozada Pereira En Julio de 2021,2021
LANTAO-16,Joshua Landy,The Abyss of Freedom: Love and Legitimacy in Constant?s \emph{Adolphe},2009
MACDEN-2,Fernando Da Silva Machado,Diurno e Noturno No Pensamento de Gaston Bachelard,2016
HAGACT-2,Garry Hagberg and Walter Jost,A Companion to the Philosophy of Literature,2007
BELCAP-3,Michael Bell,Creativity and Pedagogy in Leavis,2016
STAAPA-3,Paul Standish,Absolute Pitch and Exquisite Rightness of Tone,2016
GIBSOS,John Gibson,Selves on Selves: The Philosophical Significance of Autobiography,2012
DIBNAE,E. Di Bona,Narrative and Essayistic Temporalities,2015
CASILS-2,Marco Castagna,Il Lettore Sedotto o Della Circolarit\`a Ermeneutica di Retorica Ed Estetica,2003
MCDWAC-2,Richard McDonough,Wittgenstein's Augustinian Cosmogony in Zettel 608,2015
ZARTCV,Aleks Zarnitsyn,The Cognitive Value of Fiction in Thought Experiments in Personal Identity,2015
BLAOPS,Brand Blanshard,On Philosophical Style,1969
MASPRT-3,Jeff Mason,Philosophical Rhetoric: The Function of Indirection in Philosophical Writing,1989
RIBMOW,Brian Ribeiro,Montaigne on Witches and the Authority of Religion in the Public Sphere,2009
CALMAT-5,Alison Calhoun,Montaigne and the Comic: Exposing Private Life,2011
PALSAP-5,Anthony Palmer and T. S. Champlin,Self-Deception: A Problem About Autobiography,1979
LAMFAR,Peter Lamarque,Fiction and Reality,1983
POSNAN,Richard A. Posner,Narrative and Narratology in Classroom and Courtroom,1997
SCHFPM-2,Stephen Adam Schwartz,Faux Pas: Maurice Blanchot on the Ontology of Literature,1998
FENFRO,Gene Fendt,Five Readings of Euthyphro,2014
MONTFL,Ray Monk,"This Fictitious Life: Virginia Woolf on Biography, Reality, and Character",2007
EDEMMO,Christopher Edelman,Montaigne's Moral Objectivism,2011
BYUPAI,Steinar B\o{}yum,Philosophical Allegories in Rousseau,2007
GOOIHA,Eugene Goodheart,Is History a Science?,2005
JOHTPO-75,Eileen John and Dominic McIver Lopes,The Philosophy of Literature: Contemporary and Classic Readings - an Anthology,2004
LIGTSI,C. R. Ligota,'This Story is Not True.' Fact and Fiction in Antiquity,1982
NANAPO-5,Ted Nannicelli,A Philosophy of the Screenplay,2012
COWIIA,Christopher Cowley,Ivan Ilych and Autobiographical Despair,2021
