ID,Author,Title,Year
MARSCA-18,"Neri Marsili and Guido L\""{o}hr","Saying, Commitment, and the Lying ? Misleading Distinction",2022
NERTAU,Neri Marsili,Towards a Unified Theory of Illocutionary Normativity,2023
WHIOKO,Dennis Whitcomb,One Kind of Asking,2017
GASIIA-2,Grzegorz Gaszczyk,"Interrogatives, Inquiries, and Exam Questions",forthcoming
GASNOC-4,Grzegorz Gaszczyk,Norms of Constatives,2023
LIBTMS-2,Alida Liberman,The Mental States First Theory of Promising,forthcoming
GASNOS-2,Grzegorz Gaszczyk,Norms of Speech Acts,2022
GRAKIN-4,Peter J. Graham and Nikolaj J. L. L. Pedersen,Knowledge is Not Our Norm of Assertion (1st edition),2024
NEUOS,Eleonore Neufeld and Elise Woodard,On Subtweeting,forthcoming
GASTIN,Grzegorz Gaszczyk,The Informativeness Norm of Assertion,forthcoming
CAPCEB,Laura Caponetto and Neri Marsili,Counterevidentials,forthcoming
DEIS,Michael Deigan,Stupefying,2022
PASPBN,Luca Passi,Promising by Normative Assurance,2023
MARHSE-2,Teresa Marques,"How Slurs Enact Norms, and How to Retract Them",2024
COUTAA-4,Chris Cousens,Tweet Acts and Quote-Tweetable Acts,2023
GASHOT,Grzegorz Gaszczyk,Helping Others to Understand: A Normative Account of the Speech Act of Explanation,2023
JABGWP,Ahmad Jabbar and Veda Kanamarlapudi,Grounding with Particles,forthcoming
SCHDTL-8,Henry Ian Schiller,Directing Thought,forthcoming
MARAEV-5,Neri Marsili,Affermazioni e Verit\`a: Fra Regole e Scopi,forthcoming
HARKS-8,Dirk Hartmann,Konstruktive Sprechakttheorie,1993
