ID,Author,Title,Year
DWOTTA-2,Gerald Dworkin,The Theory and Practice of Autonomy,1988
LEWTNU,Jed Lewinsohn,The ?Natural Unintelligibility? of Normative Powers,2024
GROPRA-2,Daniel Groll,"Paternalism, Respect and the Will",2012
DWOP,Gerald Dworkin,Paternalism,1972
HERUSP,Ori J. Herstein,Understanding Standing: Permission to Deflect Reasons,2017
QUIMAA-5,Warren Quinn,Morality and Action,1993
Landau2010-SHATFO-4,Russ Shafer{-}Landau,The Fundamentals of Ethics,2010
HARMLH,Sam Harris,Moral Landscape: How Science Can Determine Human Values,2011
GOOBFT,Robert E. Goodin and Christian Barry,Benefiting From the Wrongdoing of Others,2014
MITFIT-3,Brent Mittelstadt,From Individual to Group Privacy in Big Data Analytics,2017
BRADAW,Ben Bradley,Doing Away with Harm,2012
Smith2015-LAWWW,Holly Lawford{-}Smith,What 'We'?,2015
FIXGOG,Jeremy David Fix,Grounds of Goodness,2023
ROAHBF,Cristina Roadevin,"Hypocritical Blame, Fairness, and Standing",2018
CHAQHC,Ruth Chang,Are Hard Choices Cases of Incomparability?,2012
GRIVJI,James Griffin,Value Judgement: Improving Our Ethical Beliefs,1996
DEWE-2,John Dewey,Ethics,1910
SCHJDA-4,Anne Schwenkenbecher,Joint Duties and Global Moral Obligations,2013
SMISR,Holly M. Smith,Subjective Rightness,2010
HERJST,Ori J. Herstein,"Justifying Standing to Give Reasons: Hypocrisy, Minding Your Own Business, and Knowing One's Place",2020
TIMMOA,Travis Timmerman and Yishai Cohen,"Moral Obligations: Actualist, Possibilist, or Hybridist?",2016
SMIMMW,Holly M. Smith,Making Morality Work,2018
GOLDTB,Holly S. Goldman,Doing the Best One Can,1978
COPTOH,David Copp,The Oxford Handbook of Ethical Theory,2006
HERNTL,Gil Hersch,No Theory-Free Lunches in Well-Being Policy,2020
COLIB,Stephanie Collins and Niels de Haan,Interconnected Blameworthiness,2021
MILQDR,Sarah Clark Miller,"""Reconsidering Dignity Relationally""",2017
ODEACE,Idowu Odeyemi,African Communitarian Ethics: An Externalist Justification for Altruism,2024
TIMDDT,Travis Timmerman,Dissolving Death?s Time-of-Harm Problem,2022
FRUPV,Christopher Frug\'e,Permanent Value,2022
GUNWII,Jasmine Gunkel,What is Intimacy?,forthcoming
Smith2009-LAWDIT,Holly Lawford{-}Smith,Debate: Ideal Theory--a Reply to Valentini,2009
OTSHIM,Michael Otsuka,How It Makes a Moral Difference That One is Worse Off Than One Could Have Been,2018
TIMYPN,Travis Timmerman,You're Probably Not Really a Speciesist,2018
LANOO-2,Benjamin Lange,Other-Sacrificing Options,2019
Smith2014-LAWBFF,Holly Lawford{-}Smith,Benefiting From Failures to Address Climate Change,2014
WESHHM,Kenneth R. Westphal,?Hegel? (Hegel's Moral Philosophy),2010
SKETEP,Anthony Skelton,The Ethical Principles of Effective Altruism,2016
VYRNCI,"Pekka V\""{a}yrynen",Normative Commitments in Metanormative Theory,2018
PHISE,David Phillips,Sidgwickian Ethics,2011
LANPAM-7,Benjamin Lange,Partiality and Meaning,forthcoming
SKECAP,Anthony Skelton,Children and Well-Being,2018
BRERT-3,Johnny Brennan,Recognition Trust,2021
CBIOTI,Matej C\'{i}bik,On the Immorality of Tattoos,2020
BULANN,Emma C. Bullock,A Normatively Neutral Definition of Paternalism,2015
DEBDAH,Remy Debes,Dignity: A History,2017
LANTER-2,Benjamin Lange and Joshua Brandt,The Enmity Relationship as Justified Negative Partiality (1st edition),forthcoming
GILBMP,Bennett Gilbert,Bending Moral Philosophy and Philosophy of History Toward Each Other,manuscript
BAUTTA-3,Peter Baumann,"Trolleys, Transplants and Inequality: An Egalitarian Proposal",2022
ARCAOT-2,Alfred Archer and Benjamin Matheson,Admiration Over Time,2020
SEEVBD,Martin Seel,"Versuch \""{U}ber Die Form des Gl\""{u}cks: Studien Zur Ethik",1995
DANRP-2,Jonathan Dancy,Reading Parfit,1997
STETCT-2,James P. Sterba,"Three Challenges to Ethics: Environmentalism, Feminism, and Multiculturalism",2001
SUIETA,Jussi Suikkanen,Ethical Theories as Methods of Ethics,2021
RADTEO-20,Linda Radzik and Christopher Bennett and Glen Pettigrove and George Sher,The Ethics of Social Punishment: The Enforcement of Morality in Everyday Life,2020
MCCMAN,Henry John McCloskey,Meta-Ethics and Normative Ethics,1969
TSAVII,George Tsai,Vulnerability in Intimate Relationships,2016
GROPDA-3,Daniel Groll,"Paternalism, Disagreements, and the Moral Difference",2019
MILFVT-4,Sarah Clark Miller,From Vulnerability to Precariousness: Examining the Moral Foundations of Care Ethics,2020
