ID,Author,Title,Year
WEDTVO-3,Ralph Wedgwood,The Value of Rationality,2017
YTSPOP,Jonathan Y. Tsou,Philosophy of Psychiatry,2021
Rowland2012-ROWMET,Rach Cosker{-}Rowland,Moral Error Theory and the Argument From Epistemic Reasons,2012
STRRTC,Sharon Street,"Reply to Copp: Naturalism, Normativity, and the Varieties of Realism Worth Worrying About",2008
DECPAE,Mario De Caro and Maria Silvia Vaccarezza and Ariele Niccoli,Phronesis as Ethical Expertise: Naturalism of Second Nature and the Unity of Virtue,2018
LAUPOR-2,Larry Laudan,Progress or Rationality? The Prospects for Normative Naturalism,1987
FRUAN,Christopher Frug\'e,Artifactual Normativity,2022
KELTPO-46,Daniel Kelly and Stephen Setman,The Psychology of Normative Cognition,2020
DECNAN-2,Mario De Caro and David Macarthur,Naturalism and Normativity,2010
FITRER-3,William FitzPatrick,"Robust Ethical Realism, Non-Naturalism, and Normativity",2008
BARNAN-3,Xabier Barandiaran and Matthew Egbert,Norm-Establishing and Norm-Following in Autonomous Agency,2013
RUSSWO,Paul Russell,Strawson's Way of Naturalizing Responsibility,1992
FIXTSO,Jeremy David Fix,Two Sorts of Constitutivism,2019
AMOWIT,M. Cristina Amoretti and Elisabetta Lalumera,Wherein is the Concept of Disease Normative? From Weak Normativity to Value-Conscious Naturalism,2021
BURPAA,Tyler Burge,Primitive Agency and Natural Norms,2009
LOTHES,Micah Lott,"Have Elephant Seals Refuted Aristotle? Nature, Function, and Moral Goodness",2012
WILIE-4,Cynthia Willett,Interspecies Ethics,2014
KELINA,Daniel Kelly,Internalized Norms and Intrinsic Motivations: Are Normative Motivations Psychologically Primitive?,2020
GRESDT,Preston Greene,Success-First Decision Theories,2018
RITUN-3,Jack Ritchie,Understanding Naturalism,2008
AKHOTP,Farbod Akhlaghi,On the Possibility of Wholesale Moral Error,2021
WINIPT-2,Jason Winning,Internal Perspectivalism: The Solution to Generality Problems About Proper Function and Natural Norms,2020
CHAMLG,Marc Champagne,My Life Gives the Moral Landscape its Relief,2023
Woo2018-MINOPO,Kian Mintz{-}Woo,On Parfit?s Ontology,2018
FRATNO-13,Maarten Franssen,The Normativity of Artefacts,2006
BEANWA,Brandon Beasley,Naturalism Without a Subject: Huw Price's Pragmatism,2023
LAUAE,Larry Laudan,Aim-Less Epistemology?,1990
