ID,Author,Title,Year
FINDN,Stephen Finlay,Defining Normativity,2019
SLERAP,Matt Sleat,Realism and Political Normativity,2021
INDRRA,Reiland Indrek,Regulative Rules: A Distinctive Normative Kind,2024
WELITA-4,Christopher Wellman and John Simmons,Is There a Duty to Obey the Law?,2005
ENORAT,David Enoch,Reason-Giving and the Law,2011
ALCHOR,Carlos E. Alchourr\'{o}n and David Makinson,Hierarchies of Regulations and Their Logic,1981
EHRTFO,Kenneth M. Ehrenberg,The Functions of Law,2016
FINQAS,Stephen Finlay and David Plunkett,Quasi-Expressivism About Statements of Law: A Hartian Theory,2018
ADAIDO-6,Nathan Adams,In Defense of Content-Independence,2017
KAHLOA,Samuel Kahn,Legal Obligation and Ability,forthcoming
SOULAC-2,Nicholas Southwood,Laws as Conventional Norms,2019
ANOSNT-2,Jonny Anomaly and Geoffrey Brennan,"Social Norms, the Invisible Hand, and the Law",2014
BOWBYC,Joseph Bowen,?But You Could Have Hurt Me!?: Risk and Harm,2022
ALEONR,Robert Alexy,On Necessary Relations Between Law and Morality,1989
SAMCSA,Vincent Samar,Conceptual Schemes/Frameworks and Their Relation to Law: A New Argument for Separation of Church and State,2024
MURWML,Liam Murphy,What Makes Law: An Introduction to the Philosophy of Law,2014
ZAIPWA,Leo Zaibert,Punishment with and Without the State: Comments on Linda Radzik?s the Ethics of Social Punishment: The Enforcement of Morality in Everyday Life,2023
BIXKHA,Brian Bix,"Kelsen, Hart, and Legal Normativity",2018
LEIPAA-3,Bruno Leipold,Political Anarchism and Raz?s Theory of Authority,2015
CANTOO-8,Damiano Canale,The Opacity of Law: On the Hidden Impact of Experts? Opinion on Legal Decision-Making,2021
SAMTSC,Jack Samuel,The Second-Class Citizen in Legal Theory,2023
LAWSNA,John Lawless,Social Norms and Social Practices,2023
HIRNAN-3,William Hirstein,Neuroscience and Normativity: How Knowledge of the Brain Offers a Deeper Understanding of Moral and Legal Responsibility,2022
KRACSA-2,Larry Krasnoff,"Consensus, Stability, and Normativity in Rawls?s Political Liberalism",1998
LONTIO-11,Roderick T. Long,The Irrelevance of Responsibility: Roderick T. Long,1999
GOWTRO-6,Paul Gowder,The Rule of Law in the Real World,2016
KLAMTL,Matthias Klatt,Making the Law Explicit: The Normativity of Legal Argumentation,2008
