ID,Author,Title,Year
WILKAI,Timothy Williamson,Knowledge and its Limits,2000
LITJAT-2,Clayton Littlejohn,Justification and the Truth-Connection,2012
HAWKAL,John Hawthorne,Knowledge and Lotteries,2004
MANAIW,Matthew Mandelkern and Kevin Dorst,Assertion is Weak,2022
DORAKF,Kevin Dorst,Abominable Kk Failures,2019
GEROFE,Mikkel Gerken,On Folk Epistemology. How We Think and Talk About Knowledge,2017
GOLATP-2,Sanford Goldberg,Assertion: On the Philosophical Significance of Assertoric Speech,2015
LACNOA,Jennifer Lackey,Norms of Assertion,2007
DERAKA,Keith DeRose,"Assertion, Knowledge, and Context",2002
GOOTAB-5,Jeremy Goodman and Ben Holgu\'{i}n,Thinking and Being Sure,2022
KAUENA,Antti Kauppinen,Epistemic Norms and Epistemic Accountability,2018
TURKAT-4,John Turri,Knowledge and the Norm of Assertion: An Essay in Philosophical Science,2016
HAWBIW,John Hawthorne and Daniel Rothschild and Levi Spectre,Belief is Weak,2016
MARTDO-95,Neri Marsili,The Definition of Assertion: Commitment and Truth,2024
WILKAA,Timothy Williamson,Knowing and Asserting,1996
MARTAA-35,Neri Marsili,Truth and Assertion: Rules Vs Aims,2018
BEDNWF,Bob Beddor,New Work for Certainty,2020
ICHYOT,Jonathan Jenkins Ichikawa,You Ought to Have Known: Positive Epistemic Norms in a Knowledge-First Framework,2022
TURTEK,John Turri,The Express Knowledge Account of Assertion,2011
WEIMWK,Matthew Weiner,Must We Know What We Say?,2005
BENHA,Matthew A. Benton and Peter Van Elswyk,Hedged Assertion,2018
VANRK,Peter van Elswyk,Representing Knowledge,2021
CARDOA-5,Sam Carter,Degrees of Assertability,2022
VANARS-3,Peter van Elswyk and Matthew A. Benton,Assertion Remains Strong,2023
DOUAKA,Igor Douven,"Assertion, Knowledge, and Rational Credibility",2006
SMITNR,Declan Smithies,The Normative Role of Knowledge,2011
BROANP-2,Jessica Brown and Herman Cappelen,Assertion: New Philosophical Essays,2011
DANSCN,Haixin Dang and Liam Kofi Bright,"Scientific Conclusions Need Not Be Accurate, Justified, or Believed by Their Authors",2021
DERAKA-2,Keith DeRose,"??Assertion, Knowledge, and Context\&Quot",2002
FLEEAA-4,Will Fleisher,Endorsement and Assertion,2019
MARLKO,Neri Marsili,Lying: Knowledge or Belief?,2021
MACWIA-2,John MacFarlane,What is Assertion,2011
Carpintero2021-GARHTU-2,Manuel Garc\'{i}a{-}Carpintero,How to Understand Rule-Constituted Kinds,2021
Carpintero2020-GAROTN-2,Manuel Garc\'{i}a{-}Carpintero,On the Nature of Presupposition: A Normative Speech Act Account,2020
KVAAKA,Jonathan L. Kvanvig,"Assertion, Knowledge, and Lotteries",2009
WHIOKO,Dennis Whitcomb,One Kind of Asking,2017
TURTTO-3,John Turri,The Test of Truth: An Experimental Investigation of the Norm of Assertion,2013
TUREIA,John Turri,Epistemic Invariantism and Speech Act Contextualism,2010
BENTMF,Matthew Benton,Two More for the Knowledge Account of Assertion,2011
COHTAT-8,Stewart Cohen,Theorizing About the Epistemic,2016
