ID,Author,Title,Year
ALEAPF-2,Anna Alexandrova,A Philosophy for the Science of Well-Being,2017
MILITV-3,Boaz Miller,Is Technology Value-Neutral?,2021
ALECTS-2,Anna Alexandrova,Can the Science of Well-Being Be Objective?,2018
MAYBIS,Joshua May,Bias in Science: Natural and Social,2021
BENPOC-7,Ruth Benedict,Patterns of Culture,1934
YEEMID,Adrian K. Yee,Information Deprivation and Democratic Engagement,2023
ANDHTS-2,Kristin Andrews,How to Study Animal Minds,2020
GASIAA-2,Katherine Gasdaglis and Alex Madva,Intersectionality as a Regulative Ideal,2019
TOOOIF,Briana Toole,Objectivity in Feminist Epistemology,2022
LUDTOO-2,David Ludwig,The Objectivity of Local Knowledge. Lessons From Ethnobiology,2017
ALFTCP,Mark Alfano,Twenty-First Century Perspectivism: The Role of Emotions in Scientific Inquiry,2017
AHNHNV,Soohyun Ahn,How Non-Epistemic Values Can Be Epistemically Beneficial in Scientific Classification,2020
REIFEI,Julian Reiss,Fact-Value Entanglement in Positive Economics,2017
PRIPPI-3,Michael Prinzing,Positive Psychology is Value-Laden--It's Time to Embrace It,2020
KAMNAM,Frances Kamm,Neuroscience and Moral Reasoning: A Note on Recent Research,2009
GUNSAE,Torbj\o{}rn Gundersen,Scientists as Experts: A Distinct Role?,2018
SCHVCI-3,S. Andrew Schroeder,Value Choices in Summary Measures of Population Health,2017
VUORTG,Quan{-}Hoang Vuong,"Retractions: The Good, the Bad, and the Ugly",2020
MACSVA,Peter K. Machamer and Gereon Wolters,"Science, Values, and Objectivity",2004
EIGDMS,Jaana Eigi,"Different Motivations, Similar Proposals: Objectivity in Scientific Community and Democratic Science Policy",2017
AHNHNV-2,Soohyun Ahn,How Non-Epistemic Values Can Be Epistemically Beneficial in Scientific Classification,2022
KENLTM-3,Jasper O. Kenter and Christopher M. Raymond and Carena J. van Riper and Elaine Azzopardi and Michelle R. Brear and Fulvia Calcagni and Ian Christie and Michael Christie and Anne Fordham and Rachelle K. Gould and Christopher D. Ives and Adam P. Hejnowicz and Richard Gunton and Andra Ioana Horcea{-}Milcu and Dave Kendal and Jakub Kronenberg and Julian R. Massenberg and Seb O?Connor and Neil Ravenscroft and Andrea Rawluk and Ivan J. Raymond and Jorge Rodr\'{i}guez{-}Morales and Samarthia Thankappan,Loving the Mess: Navigating Diversity and Conflict in Social Values for Sustainability,2019
LEWEDE,Jonathan Lewis,"Experimental Design: Ethics, Integrity and the Scientific Method",2020
LEESBA,Carole J. Lee and Christian D. Schunn,Social Biases and Solution for Procedural Objectivity,2011
BEDCSA,Baptiste Bedessem and St\'{e}phanie Ruphy,Citizen Science and Scientific Objectivity: Mapping Out Epistemic Risks and Benefits,2020
PETOPC,Uwe Peters,"Objectivity, Perceptual Constancy, and Teleology in Young Children",2021
KHOEPT,Donal Khosrowi and Julian Reiss,Evidence-Based Policy: The Tension Between the Epistemic and the Normative,2019
FUMTOW,Roberto Fumagalli,Theories of Well-Being and Well-Being Policy: A View From Methodology,2021
TURMWA,Stephen P. Turner,"Max Weber and the Dispute Over Reason and Value: A Study in Philosophy, Ethics, and Politics",1984
KOSPAO-2,Inkeri Koskinen,Participation and Objectivity,forthcoming
GUNAGT,Richard M. Gunton and Marinus D. Stafleu and Michael J. Reiss,A General Theory of Objectivity: Contributions From the Reformational Philosophy Tradition,2022
WRIROA-3,Jack Wright,Rescuing Objectivity: A Contextualist Proposal,2018
ABEWTS,Gabriel Abend,What the Science of Morality Doesn?T Say About Morality,2013
FRAMUE,David M. Frank,Making Uncertainties Explicit: The Jeffreyan Value-Free Ideal and its Limits,2017
PKKHIA,"Juho P\""{a}""{a}kk\""{o}nen and Petri Ylikoski",Humanistic Interpretation and Machine Learning,2021
HERCRP,Melville Jean Herskovits,Cultural Relativism; Perspectives in Cultural Pluralism,1972
LLOEPA,Elisabeth A. Lloyd and Marcus Feldman,Evolutionary Psychology: A View From Evolutionary Biology,2002
WIJVIP,Lisa D. Wijsen and Denny Borsboom and Anna Alexandrova,Values in Psychometrics,forthcoming
RODTRO-20,Sebastian Rodriguez Duque and Eran Tal and Skye Pamela Barbic,The Role of Ethical and Social Values in Psychosocial Measurement,2024
BERIBA-2,Nora Berenstain,Implicit Bias and the Idealized Rational Self,2018
BAYCME,Eric Bayruns Garc\'{i}a,Charles Mills? Epistemology and its Importance for Social Science and Social Theory,2024
GUNVYP,Torbj\o{}rn Gundersen,Value-Free yet Policy-Relevant? The Normative Views of Climate Scientists and Their Bearing on Philosophy,2020
DAORLN-2,Marc{-}Kevin Daoust,"Repenser la Neutralit\'e Axiologique. Objectivit\'e, Autonomie Et D\'{e}lib\'{e}ration Publique",2015
Flores2022-MIRTEF,Luis Mireles{-}Flores,The Evidence for Free Trade and its Background Assumptions: How Well-Established Causal Generalisations Can Be Useless for Policy,2022
OSTDEW,Aleksander Ostapiuk,Droga Ekonomii Wolnej Od Warto\'{s}ciowania Do Epistemologicznej Pychy. U\.{z}ycie I Nadu\.{z}ycie Matematyki Przez Ekonomist\'{o}w,2019
GERPEO-3,Mikkel Gerken,Pragmatic Encroachment on Scientific Knowledge?,2018
JAGJMA,Alison M. Jaggar,Just Methods: An Interdisciplinary Feminist Reader,2008
SOBGOA,Alan Soble,"Gender, Objectivity, and Realism",1994
ROLSOP,Roland Jackson and Fiona Barbagallo and Helen Haste,Strengths of Public Dialogue on Science-Related Issues,2005
HODAPV,Christopher Hodgkinson,Administrative Philosophy,1996
KOSCSP-2,Inkeri Koskinen,Critical Subjects: Participatory Research Needs to Make Room for Debate,2014
REUOAI-2,Alexander Reutlinger,Objectivity as Independence,2021
YARKSE,Alper Bilgehan Yard\i{}mc\i,"Kuram Se\c{c}imi, Eksik Belirlenim Ve Thomas Kuhn",2021
RUBRIT,David{-}Hillel Ruben,Realism in the Social Sciences,1989
KINIDE,L. King and B. Morgan{-}Olsen and J. Wong,"Identifying Difference, Engaging Dissent: What is at Stake in Democratizing Knowledge?",2016
PETVIS,Uwe Peters,Values in Science: Assessing the Case for Mixed Claims,forthcoming
KOURTI,Janet A. Kourany,Replacing the Ideal of Value-Free Science,2008
RAYSFE,Dominique Raynaud,Sociologie Fondamentale. Etude D'\'{E}pist\'{e}mologie,2021
BARE-3,Matthew J. Barker,Essentialism,2013
WTHTPO,"Nicolas W\""{u}thrich and Katie Steele",The Problem of Evaluating Automated Large-Scale Evidence Aggregators,2019
HENNNP,David Henderson,"Norms, Normative Principles, and Explanation: On Not Getting is From Ought",2002
DAOSNP,Marc{-}Kevin Daoust,"Sciences Normatives, Proc\'{e}dures Neutres",2018
KASHIA,Juozas Kasputis,Hierarchical Inconsistencies: A Critical Assessment of Justification,2019
AXTTDO,Guy Axtell,The Dialectics of Objectivity,2012
LEMADO,John Lemos,A Defense of Darwinian Accounts of Morality,2001
AXTOPP,Guy Axtell,"Objectivity. Polity Press, 2015. Introduction and T. Of Contents",2015
RISTPO,Mark Risjord,The Politics of Explanation and the Origins of Ethnography,2000
SANSTF,Sandra Harding,Starting Thought From Women's Lives: Eight Resources for Maximizing Objectivity,1990
AXTORC,Guy Axtell,Objectivity Rehabilitated [Chapter 5 of Objectivity],2015
DRAICA-3,Matt L. Drabek,Interactive Classification and Practice in the Social Sciences,2010
AXTOIT-2,Guy Axtell,Objectivity in the Human and Behavioral Sciences [Chapter 4 of Objectivity],2015
VISFON,Alex Viskovatoff,Foundations of Niklas Luhmann?s Theory of Social Systems,1999
GRAEIA-2,Peter R. Grahame,"Ethnography, Institutions, and the Problematic of the Everyday World",1998
DAONS,Marc{-}Kevin Daoust,Neutralit\'e Scientifique,2018
SCHTOO-29,Gregor Schiemann,The Objectivity of Nihilism,2016
Padron2012-GONACO,Tracy L. Gonzalez{-}Padron and O. C. Ferrell and Linda Ferrell and Ian A. Smith,A Critique of Giving Voice to Values Approach to Business Ethics Education,2012
MAXIDO,Nicholas Maxwell,In Defense of Seeking Wisdom,2004
MILWWT,Lantz Fleming Miller,What We Think We Are: Maximizing the Subjects in the Human Sciences,2022
MAXDPL-2,Nicholas Maxwell,Do Philosophers Love Wisdom?,2003
PRIHTS-2,Michael Prinzing,How to Study Well-Being: A Proposal for the Integration of Philosophy with Science,2021
KLEQCR-2,Stan Klein,"Quantification, Conceptual Reduction and Theoretical Under-Determination in Psychological Science",2021
FACTLO,Regis A. Factor and Stephen Turner,The Limits of Reason and Some Limitations of Weber's Morality,1979
HAMSSS,Martyn Hammersley,Should Social Science Be Critical?,2005
LONIVE,Helen E. Longino,Interpretation Versus Explanation in the Critique of Science,1997
VUOUTI,Quan{-}Hoang Vuong and Viet{-}Phuong La and Hong{-}Kong T. Nguyen,"Understanding the Interplay of Lies, Violence, and Religious Values in Folktales",manuscript
LEBTAE,Richard Ned Lebow and Mark Irving Lichbach,Theory and Evidence in Comparative Politics and International Relations,2007
BARSAV-2,Matthew J. Barker,Science and Values,2015
LAZRT,ChristianAlain LazzeriCaill\'e,"Recognition Today - the Theoretical, Ethical and Political Stakes of the Concept",2006
LITEEA-3,Ian Malcolm David Little,"Ethics: Economics, \& Politics: Principles of Public Policy",2002
HPRIPA,H. P. Rickman,Is Philosophical Anthropology Possible,1985
BOUFTO,Marcel Boumans and Anne Beaulieu,Foreword to 'Objects of Objectivity',2004
RISSCA,Mark Risjord,Scientific Change as Political Action: Franz Boas and the Anthropology of Race,2007
HOGPOI,Brendan Hogan,Practices of Interpretation: Social Inquiry as Problem Solving and Self-Definition,2019
TSITIO,Leonidas Tsilipakos,The Idea of an Ethically Committed Social Science,2022
MAIOID,Samuel Maia,O Ideal da Aus\^{e}ncia de Valores Na Mensura\c{c}~{a}o da Pobreza,2024
BROSAD,Matthew J. Brown,"Science, Values, and Democracy in the Global Climate Change Debate",2013
NAGCPA-2,Michiru Nagatsu and Attilia Ruzzene,Contemporary Philosophy and Social Science: An Interdisciplinary Dialogue,2019
AGAWCE,Joseph Agassi,"What Collapse, Exactly?",2007
EROI,Eleonora Montuschi,Rethinking Objectivity in Social Science,2004
CISSA,Jiwei Ci,Social Science and the Diversity of its Roles for Democracy,2011
KEOCPI,Kieran Keohane,Central Problems in the Philosophy of the Social Sciences After Postmodernism: Reconciling Consensus and Hegemonic Theories of Epistemology and Political Ethics,1993
CHAAME-2,H. Chang,"Alan Megill, Ed., Rethinking Objectivity",1996
GIOTLO-3,Raffaela Giovagnoli,The Logic of Social Practices,2020
BLUARS,Fred H. Blum,Action Research--a Scientific Approach?,1955
DUQPAA-2,David A. Duquette,"Philosophy, Anthropology, and Universal Human Rights",1995
HOGQAP,Brendan Hogan,Criticism and Pragmatic Philosophy of Social Science,2014
CUNIDO,Frank Cunningham,In Defence of Objectivity,1980
LOBIAO,Nikolaus Lobkowicz,Interest and Objectivity,1972
RESITW,Sal Restivo,In the Wake of the Winnower: Donald R. Campbell and the Sociology of Objectivity,1997
WISTPO-6,Jeremy Wisnewski,The Politics of Agency: Toward a Pragmatic Philosophical Anthropology,2008
FRECCA-3,R. G. Frey,Contributory Causation and the Objectivity of the Social Sciences,1978
JONAAR,Todd Jones,Arbitrary Arbitrariness: Reply to Segal,1999
SEILIM,"Markus Seidel and Christoph Tr\""{u}per",Lessons in Multiculturalism and Objectivity? Puzzling Out Susan Haack's Philosophy of Education,2016
YARKVD,Alper Bilgehan Yard\i{}mc\i,"K\""{u}lt\""{u}r Ve De\u{g}erlerin Bilimdeki Rol\""u: Popper Ve Kuhn?Un Bilimsel Nesnellik Anlay\i\c{s}i",2021
EAMSGF,Morris Eames,Scientific Grounds for Valuational Norms,1979
