ID,Author,Title,Year
ANDHTS-2,Kristin Andrews,How to Study Animal Minds,2020
SOBT-2,Elliott Sober,Testability,1999
LEOIMS-2,S. Leonelli,Introduction: Making Sense of Data-Driven Research in the Biological and Biomedical Sciences,2012
LEODII,Sabina Leonelli,Data Interpretation in the Digital Age,2014
VANFVC,Bas C. van Fraassen,"From Vicious Circle to Infinite Regress, and Back Again",1992
ALLET,Douglas Allchin,Error Types,2001
JARMSS,Boris Jardine,"Mass-Observation, Surrealist Sociology, and the Bathos of Paperwork",2018
WILITA-3,Jon Williamson,Imaging Technology and the Philosophy of Causality,2011
VOTPAO,Ioannis Votsis,Perception and Observation Unladened,2015
WESSAP-3,Richard Westfall,Science and Patronage: Galileo and the Telescope,1985
KORTTO-2,Carl R. Kordig,The Theory-Ladenness of Observation,1971
CARMTV,Annamaria Carusi,Making the Visual Visible in Philosophy of Science,2012
MNEPEA,"Nicola M\""{o}s{s}ner",Photographic Evidence and the Problem of Theory-Ladenness,2013
Shriar2014-SERWIA,Efram Sera{-}Shriar,What is Armchair Anthropology? Observational Practices in 19 Th -Century British Human Sciences,2014
WILKDO-4,Curtis Wilson,Kepler's Derivation of the Elliptical Path,1968
DEKHVH-2,Liesbet De Kock,Hermann von Helmholtz's Empirico-Transcendentalism Reconsidered: Construction and Constitution in Helmholtz's Psychology of the Object,2014
GRIEPO-7,Frederick Grinnell,Everyday Practice of Science: Where Intuition and Passion Meeting Objectivity and Logic,2008
MACWMY,Helen Macdonald,?What Makes You a Scientist is the Way You Look at Things?: Ornithology and the Observer 1930?1955,2002
MIZCEN,Moti Mizrahi,Constructive Empiricism: Normative or Descriptive?,2014
STETCC-3,Jacob Stegenga,The Chemical Characterization of the Gene: Vicissitudes of Evidential Assessment,2011
LTHALA,"C. H. L\""{u}thy","Atomism, Lynceus, and the Fate of Seventeenth-Century Microscopy",1996
MALKAT-2,Antoni Malet,Kepler and the Telescope,2003
DELETE-10,Finnur Dells\'{e}n,Expanding the Empirical Realm: Constructive Empiricism and Augmented Observation,2024
REEAPT,Amanda Rees,A Place That Answers Questions: Primatological Field Sites and the Making of Authentic Observations,2006
DELETE-3,Finnur Dells\'{e}n,Expanding the Empirical Realm: Constructive Empiricism and Augmented Observation,forthcoming
GUTCDE,Dimitri Gutas,"Certainty, Doubt, Error: Comments on the Epistemological Foundations of Medieval Arabic Science",2002
MILSAB,David Marshall Miller,"Seeing and Believing: Galileo, Aristotelians, and the Mountains on the Moon",2013
