ID,Author,Title,Year
KHANCA-5,Muhammad Ali Khalidi,Natural Categories and Human Kinds: Classification in the Natural and Social Sciences,2013
MARTMI-3,C. B. Martin,The Mind in Nature,2007
ARPBOW,Robert Arp and Barry Smith and Andrew D. Spear,Building Ontologies with Basic Formal Ontology,2015
KOSFMS,Kathrin Koslicki,"Form, Matter, Substance",2018
SMIPAM-3,Barry Smith,Parts and Moments. Studies in Logic and Formal Ontology,1982
KHANKA-4,Muhammad Ali Khalidi,Natural Kinds as Nodes in Causal Networks,2018
JAMABT,J. T. M. Miller,A Bundle Theory of Words,2021
STEPCA-2,Helen Steward,"Processes, Continuants, and Individuals",2013
AUGCAF,Luis M. Augusto,Categories and Foundational Ontology: A Medieval Tutorial,2022
HAKFOR,"Jani Hakkarainen and Markku Kein\""{a}nen",Formal Ontology,2023
AUGBMA,Luis M. Augusto,Bridging Mainstream and Formal Ontology: A Causality-Based Upper Ontology in Dietrich of Freiberg,2021
TAHCAM-3,Tuomas E. Tahko,Contemporary Aristotelian Metaphysics,2011
MOLNLS,Friederike Moltmann,Natural Language Ontology,2017
KHAIK,Muhammad Ali Khalidi,Interactive Kinds,2010
MOLEP,Friederike Moltmann,Existence Predicates,2020
BERRSC-2,Sara Bernstein,Resisting Social Categories,2024
DUPLAP-2,John Dupr\'e,Life as Process,2020
STEAAP-3,Helen Steward,Actions as Processes,2012
KHANKA-5,Muhammad Ali Khalidi,Natural Kinds and Crosscutting Categories,1998
HAKTOF-2,"Jani Hakkarainen and Markku Kein\""{a}nen",The Ontological Form of Tropes - Refuting Douglas Ehring?s Main Argument Against Standard Trope Nominalism,2017
ARPFRA,Robert Arp and Barry Smith,"Function, Role and Disposition in Basic Formal Ontology",2008
GREACO-29,John Grey,Anne Conway's Ontology of Creation: A Pluralist Interpretation,2024
SCHTAO-29,Richard H. Scheuermann and Werner Ceusters and Barry Smith,Toward an Ontological Treatment of Disease and Diagnosis,2009
LOWANS,E. J. Lowe,A Neo-Aristotelian Substance Ontology: Neither Relational nor Constituent,2011
FLONEA,Vera Flocke and Katherine Ritchie,No ?Easy? Answers to Ontological Category Questions,2023
MAGJSM,P. D. Magnus,John Stuart Mill on Taxonomy and Natural Kinds,2015
WESOCT,Jan Westerhoff,Ontological Categories: Their Nature and Significance,2005
NOLCAO,Daniel Nolan,Categories and Ontological Dependence,2011
HIMALA,Jack Himelright,"A Lewisian Argument Against Platonism, or Why Theses About Abstract Objects Are Unintelligible",2023
KENOAV,Catherine Kendig,"Ontology and Values Anchor Indigenous and Grey Nomenclatures: A Case Study in Lichen Naming Practices Among the Sam\'i, Sherpa, Scots, and Okanagan",2020
KENAOK,Catherine Kendig,Activities of Kinding in Scientific Practice,2015
KASPPT,Gilles Kassel,"Physical Processes, Their Life and Their History",2020
LEDHMA,Harvey Lederman,Higher-Order Metaphysics and Propositional Attitudes,2024
COHAFT,Caleb Cohoe,Accounting for the Whole: Why Pantheism is on a Metaphysical Par with Complex Theism,2020
LEWSVI,Luc\'{i}a Lewowicz and Olimpia Lombardi,Stuff Versus Individuals,2012
JAMNNT,J. T. M. Miller,Natural Name Theory and Linguistic Kinds,2019
SMIAMM,Barry Smith,"Aristotle, Menger, Mises: An Essay in the Metaphysics of Economics",1990
KOSSIA,Kathrin Koslicki,"Substance, Independence and Unity",2013
GOLPCA-7,Jonah Goldwater,"Paraphrase, Categories, and Ontology",2023
MUNAOA-2,Katherine Munn and Barry Smith,Applied Ontology: An Introduction,2008
AUGEAT-3,Luis M. Augusto,Entities and Their Genera: Slicing Up the World the Medieval Way--And Does It Matter to Formal Ontology?,2022
