ID,Author,Title,Year
AGUADU,Jes\'{u}s Miguel Delgado Del Aguila,"Ausencia de Un Estado Naci\'{o}n En Noticia de Un Secuestro (1996), a Partir de Un Periodo de Macrocriminalidad (Dos \'{U}ltimos Decenios Del Siglo Xx En Colombia)",2022
NIGGID-2,Andrea Wilson Nightingale,Genres in Dialogue: Plato and the Construct of Philosophy,1995
SALFEV-2,Nathan Salmon,Fictitious Existence \emph{Versus} Nonexistence,forthcoming
IRMTRR,Nurbay Irmak,Type Realism Reconsidered,2023
INGTLW,Roman Ingarden,"The Literary Work of Art. Investigations on the Borderlines of Ontology, Logic and the Theory of Literature",1973
Carpintero2019-GARSRI-4,Manuel Garc\'{i}a{-}Carpintero,Singular Reference in Fictional Discourse?,2019
HERENW,David Herman and Richard J. Gerrig,Experiencing Narrative Worlds: On the Psychological Activities of Reading,1997
KERTSO-4,Frank Kermode,The Sense of an Ending,1967
EVNBII,Simon J. Evnine,?But is It Science Fiction??: Science Fiction and a Theory of Genre,2015
JAKTAV,Hicham Jakha,The Aesthetic Value of Literary Works in Roman Ingarden?s Philosophy,2022
TERSFA,Enrico Terrone,Science Fiction as a Genre,2021
LAMTPO-21,Peter Lamarque,The Philosophy of Literature,2008
MCMB-6,Jennifer A. McMahon,Beauty,2020
SMIKAB,Barry Smith,Kafka and Brentano: A Study in Descriptive Psychology,1981
JEFITC,Chike Jeffers and David Miguel Gray,Introduction to Charles Mills's ?the Wretched of Middle-Earth: An Orkish Manifesto?,2022
CURWAT,Gregory Currie,Work and Text,1991
KIVTPO-5,Peter Kivy,The Performance of Reading: An Essay in the Philosophy of Literature,2006
CARTRC-4,"No\""{e}l Carroll and John Gibson",The Routledge Companion to Philosophy of Literature,2015
BLUSS,Ben Blumson,Story Size,2015
ELITOO,Bradley Elicker,The Ontology of Graphically-Fixed Literature,2020
LAMVAO,Peter Lamarque,Work and Object,2002
KLERAS-2,Shieva Kleinschmidt and Jacob Ross,Repeatable Artwork Sentences and Generics,2013
DELLRC-7,Jes\'{u}s Miguel Delgado Del Aguila,"?La Ret\'{o}rica Contempor\'{a}nea (la Ret\'{o}rica de Hoy) Incluye Muchas Disciplinas Que Se Han Desarrollado En Los Siglos Xx y Xxi; Entonces, Es Una Especie de Teor\'{i}a de Las Teor\'{i}as?. Entrevista a Stefano Arduini",2023
MAGAM,Christy Mag Uidhir,"Art, Metaphysics, \& the Paradox of Standards",2013
BRUSTT,Gerald L. Bruns and Geoffrey Hartman,Saving the Text: Literature/Derrida/Philosophy,1981
ENGDOO-4,Chad Engelland,Deferred Ostension of Extinct and Fictive Kinds,2023
DELEAA-14,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Audrey Louyer Sobre la Investigaci\'{o}n y la Canalizaci\'{o}n de la Literatura Peruana Fant\'{a}stica. Un Enfoque Franc\'{e}s (1st edition),2023
