ID,Author,Title,Year
FOWSOP,Gregory Fowler,Simplicity or Priority?,2013
TILPAP-4,Chris Tillman and Gregory Fowler,Propositions and Parthood: The Universe and Anti-Symmetry,2012
ARRWDR-2,Raoni Wohnrath Arroyo and Jonas R. Becker Arenhart,Whence Deep Realism for Everettian Quantum Mechanics?,2022
FOWATP,Gregory Fowler,Against the Primary Sound Account of Echoes,2013
BADOTM,Massimiliano Badino,On the Metaphysics of Implementation,manuscript
ROPVAR,L\'{a}szl\'o Ropolyi,Virtuality and Reality--Toward a Representation Ontology,2015
PAOTGA,Michele Paolini Paoletti,The Good and the Powers,2023
REIWAG,Maria E. Reicher,Wie Aus Gedanken Dinge Werden. Eine Philosophie der Artefakte,2013
CAVWIM-2,Alessandro Cavazzana and Francesco Ragazzi,Where Images Make Their Wonder: An Introduction,2021
ARRMNT,Raoni Wohnrath Arroyo,Making New Tools From the Toolbox of Metaphysics,2023
DRITUA-2,Alfred Driessen,"The Universe as a Computer Game, From Virtual to Actual Reality",2018
CHUBRT-3,Daihyun Chung,Book Review: The World in the Wave Function - the Metaphysics of Quantum Physics by A. Ney (1st edition),2023
CASQFA,Salvador Daniel Escobedo Casillas,Quantum Fields and Aristotle's Materia Prima Make a Good Match,manuscript
MEIWDF,Norman Meisinger,Why Do Firms Exist? Eine Theorieintegrative Konzeption Ihrer Erstursachen,2020
