ID,Author,Title,Year
MERUAP,Trenton Merricks,Objects and Persons,2001
MARTMI-3,C. B. Martin,The Mind in Nature,2007
KOSTCO-6,Kathrin Koslicki,The Coarse-Grainedness of Grounding,2015
KOSVOO,Kathrin Koslicki,Varieties of Ontological Dependence,2012
CASHAO,Roberto Casati and Achille C. Varzi,Holes and Other Superficialities,1994
KOSODA-3,Kathrin Koslicki,Ontological Dependence: An Opinionated Survey,2013
ALLOTC,Valia Allori and Sheldon Goldstein and Roderich Tumulka and Nino Zangh\`i,On the Common Structure of Bohmian Mechanics and the Ghirardi?Rimini?Weber Theory Dedicated to Giancarlo Ghirardi on the Occasion of His 70Th Birthday,2008
BALCPA,Katalin Balog,"Conceivability, Possibility, and the Mind-Body Problem",1999
ASAATO,Jamin Asay,"A Theory of Truthmaking: Metaphysics, Ontology, and Reality",2020
SAEMOS,"No\""{e}l B. Saenz",Measuring Ontological Simplicity,2024
TURON,Jason Turner,Ontological Nihilism,2011
OCOTMO,Timothy O'Connor,The Metaphysics of Emergence,2005
MCDART,Kris Mcdaniel,A Return to the Analogy of Being,2010
ANDPIA-5,Holly Andersen,"Patterns, Information, and Causation",2017
BAIWCM,Andrew M. Bailey and Andrew Brenner,Why Composition Matters,2020
XHIFOI,Michel{-}Antoine Xhignesse,Failures of Intention and Failed-Art,2020
KASOTP-3,Bernardo Kastrup,On the Plausibility of Idealism: Refuting Criticisms,2017
BOHAAA,Einar Duenger Bohn,An Argument Against the Necessity of Unrestricted Composition,2009
RETGAG,Bradley Rettler,Grounds and ?Grounds?,2017
HAWL,John Hawthorne and Theodore Sider,Locations,2002
KASTIO-6,Bernardo Kastrup,The Idea of the World: A Multi-Disciplinary Argument for the Mental Nature of Reality,2019
SAUPAL,Raul Saucedo,Parthood and Location,2009
ARADAT,Amie L. Thomasson,Debates About the Ontology of Art: What Are We Doing Here?,2006
KASMSO,Bernardo Kastrup,Making Sense of the Mental Universe,2017
WARQVA,Jared Warren,Quantifier Variance and the Collapse Argument,2015
MELAOW,Yitzhak Y. Melamed,"Acosmism or Weak Individuals?: Hegel, Spinoza, and the Reality of the Finite",2009
BARMAA-26,Sam Baron and Reginald Mary Chua and Kristie Miller and James Norton,Much Ado About Aboutness,2019
SMITN,Barry Smith and Achille C. Varzi,The Niche,1999
AUSTOO-2,Christopher J. Austin,The Ontology of Organisms: Mechanistic Modules or Patterned Processes?,2016
LINJIA-2,\O{}ystein Linnebo,?Just is?-Statements as Generalized Identities,2014
