ID,Author,Title,Year
PERPFA-2,Govind Persad and Alan Wertheimer and Ezekiel J. Emanuel,Principles for Allocation of Scarce Medical Interventions,2009
JOHEET,L. Syd M. Johnson,Existing Ethical Tensions in Xenotransplantation,2022
RIPIOO,Simon Rippon,Imposing Options on People in Poverty: The Harm of a Live Donor Organ Market,2014
OMEHNT,Adam Omelianchuk,How (Not) to Think of the ?Dead-Donor? Rule,2018
LEEEOL-2,Ji{-}Young Lee,Ethics of Live Uterus Donor Compensation,2023
CRUDPI,Parker Crutchfield and Tyler Gibb and Michael Redinger,Default Positions in Clinical Ethics,2023
ALBATF-3,Andreas Albertsen,Against the Family Veto in Organ Procurement: Why the Wishes of the Dead Should Prevail When the Living and the Deceased Disagree on Organ Donation,2019
SVEOTA,F. Svenaeus,Organ Transplantation and Personal Identity: How Does Loss and Change of Organs Affect the Self?,2012
ALBEAT-5,Andreas Albertsen,Efficiency and the Futures Market in Organs,2023
COHWIH,Lawrence Cohen,Where It Hurts: Indian Material for an Ethics of Organ Transplantation,2003
ROBMAA-2,Robert A. Crouch and Carl Elliott,Moral Agency and the Family: The Case of Living Related Organ Transplantation,1999
HIPIDO,Benjamin E. Hippen,In Defense of a Regulated Market in Kidneys From Living Vendors,2005
SATXML,Debra Satz,The Moral Limits of Markets: The Case of Human Kidneys,2008
JOHTIB-3,L. Syd M. Johnson,?Time is Brain:? Dcdd-Nrp Invalidates the Unified Brain-Based Determination of Death,2024
ALBDCA,Andreas Albertsen,Deemed Consent: Assessing the New Opt-Out Approach to Organ Procurement in Wales,2018
WIGOTE,Osborne P. Wiggins and John H. Barker and Serge Martinez and Marieke Vossen and Claudio Maldonado and Federico V. Grossi and Cedric G. Francois and Michael Cunningham and Gustavo Perez{-}Abadia and Moshe Kon and Joseph C. Banis,On the Ethics of Facial Transplantation Research,2004
MORNAT-10,Nicolae Morar and Daniel Kelly,Nudging and the Ecological and Social Roots of Human Agency,2016
SVETBA,Fredrik Svenaeus,"The Body as Gift, Resource or Commodity? Heidegger and the Ethics of Organ Transplantation",2010
COHTTT-3,I. Glenn Cohen,Transplant Tourism: The Ethics and Regulation of International Markets for Organs,2013
VARIDF,F. Varela,Intimate Distances: Fragments for a Phenomenology of Organ Transplantation,2001
OMETIO-4,Adam Omelianchuk,The Inviolateness of Life and Equal Protection: A Defense of the Dead-Donor Rule,2022
JOHDDA-6,L. Syd M. Johnson,"Dcd Donors Are Dying, but Not Dead",2023
ARITEO-2,Ari R. Joffe,The Ethics of Donation and Transplantation: Are Definitions of Death Being Distorted for Organ Transplantation?,2007
IHKDDA,I. H. Kerridge,"Death, Dying and Donation: Organ Transplantation and the Diagnosis of Death",2002
ZUTMAT,T. L. Zutlevics,Markets and the Needy: Organ Sales or Aid?,2001
LEDONR,Garson Leder,On Normothermic Regional Perfusion,forthcoming
Perez2019-MOLPKA,"Alberto Molina{-}P\'{e}rez and David Rodr\'{i}guez{-}Arias and Janet Delgado{-}Rodr\'{i}guez and Myfanwy Morgan and Mihaela Frunza and Gurch Randhawa and Jeantine Reiger{-}Van de Wijdeven and Eline Schiks and Sabine W\""{o}hlke and Silke Schicktanz",Public Knowledge and Attitudes Towards Consent Policies for Organ Donation in Europe. A Systematic Review,2019
VEAWLS,Robert M. Veatch,Why Liberals Should Accept Financial Incentives for Organ Procurement,2003
EBECCI,Jason T. Eberl,Contemporary Controversies in Catholic Bioethics,2017
CHITFT,James F. Childress,The Failure to Give: Reducing Barriers to Organ Donation,2001
SVEWIA,Fredrik Svenaeus,What is an Organ? Heidegger and the Phenomenology of Organ Transplantation,2010
ALBDIT,Andreas Albertsen,"Drinking in the Last Chance Saloon: Luck Egalitarianism, Alcohol Consumption, and the Organ Transplant Waiting List",2016
SHAAIL,Seema K. Shah and Dale Gardiner and Hitoshi Arima and Kiarash Aramesh,An International Legal Review of the Relationship Between Brain Death and Organ Transplantation,2018
BLAWIB,Isra Black and Lisa Forsberg,Would It Be Ethical to Use Motivational Interviewing to Increase Family Consent to Deceased Solid Organ Donation?,2014
GERTMO-3,Nicole Gerrand,The Misuse of Kant in the Debate About a Market for Human Body Parts,1999
KORMEL-2,Kimbell Kornu,Medical Ersatz Liturgies of Death: Anatomical Dissection and Organ Donation as Biopolitical Practices,2022
Barby2007-SWIFAT,J. S. Swindell Blumenthal{-}Barby,"Facial Allograft Transplantation, Personal Identity, and Subjectivity",2007
SNYERA-2,Jeremy Snyder,Easy Rescues and Organ Transplantation,2009
RIDEWY,Annette Rid and Lucas Bachmann and Vincent Wettstein and Nikola Biller{-}Andorno,Ethics: Would You Sell a Kidney in a Regulated Kidney Market? Results of an Exploratory Study,2009
WALDGR,Walter Glannon and Lainie Friedman Ross,Do Genetic Relationships Create Moral Obligations in Organ Transplantation?,2002
ASAAAP,Atsushi Asai and Yasuhiro Kadooka and Kuniko Aizawa,"Arguments Against Promoting Organ Transplants From Brain-Dead Donors, and Views of Contemporary Japanese on Life and Death",2012
DJOSED,Donald Joralemon,Shifting Ethics: Debating the Incentive Question in Organ Transplantation,2001
BENTTA-11,Ben Bronner,The Total Artificial Heart and the Dilemma of Deactivation,2016
HERMAA-2,David Hershenov,Mandatory Autopsies and Organ Conscription,2009
GERTNO-3,Nicole Gerrand,The Notion of Gift-Giving and Organ Donation,1994
SATLEF,Debra Satz,"Liberalism, Economic Freedom, and the Limits of Markets",2007
CAMHTL,Courtney S. Campbell,Harvesting the Living?: Separating Brain Death and Organ Transplantation,2004
RIPOMA,Simon Rippon,"Organ Markets and Harms: A Reply to Dworkin, Radcliffe Richards and Walsh",2014
lopez2006-EDUOSA,Eduardo Rivera{-}l\'{o}pez,Organ Sales and Moral Distress,2006
RODXAH,Daniel Rodger and Daniel J. Hurst and David K. C. Cooper,Xenotransplantation: A Historical?Ethical Account of Viewpoints,forthcoming
HAUAMM,Daniel M. Hausman,Are Markets Morally Free Zones?,1989
AGIFTE,George J. Agich and Maria Siemionow,Facing the Ethical Questions in Facial Transplantation,2004
SIECTO-2,Gil Siegal and Richard J. Bonnie,Closing the Organ Gap: A Reciprocity-Based Social Contract Approach,2006
BROTIO-41,Alister Browne,The Institute of Medicine on Non-Heart-Beating Organ Transplantation,2008
Arias2013-RODTDD,David Rodr\'{i}guez{-}Arias and Carissa V\'{e}liz,The Death Debates: A Call for Public Deliberation,2013
ARAPWC,A. Ravelingien,Proceeding with Clinical Trials of Animal to Human Organ Transplantation: A Way Out of the Dilemma,2004
TAYACO,James Stacey Taylor,"Autonomy, Constraining Options, and Organ Sales",2002
AASILA,Ghulam{-}Haider Aasi,Islamic Legal and Ethical Views on Organ Transplantation and Donation,2003
CAPAQR,Arthur Caplan and Duncan Purves,A Quiet Revolution in Organ Transplant Ethics,2017
HOLOTO,Stephen Holland,On the Ordinary Concept of Death,2010
MCCDED-2,Anthony McCarthy and Helen Watt,Double Effect Donation or Bodily Respect? A 'Third Way' Response to Camosy and Vukov,forthcoming
NELQMO,Mark T. Nelson,The Morality of a Free Market for Transplant Organs,1991
THODOT,Thomas S. Huddle and Michael A. Schwartz and F. Amos Bailey and Michael A. Bos,"Death, Organ Transplantation and Medical Practice",2008
TRUBDA,Robert D. Truog and John C. Fletcher,Brain Death and the Anencephalic Newborn,1990
CLATLP-3,Margaret A. Clark,This Little Piggy Went to Market: The Xenotransplantation and Xenozoonose Debate,1999
ROBTMA-2,Robert Audi,The Morality and Utility of Organ Transplantation,1996
ASFAOR,Nour Asfour and Kevin C. Zhang and Jessica Lu and Peter P. Reese and Milda Saunders and Monica Peek and Molly White and Govind Persad and William F. Parker,Association of Race and Ethnicity with High Longevity Deceased Donor Kidney Transplantation Under the Us Kidney Allocation System,forthcoming
MCGOPA,Sarah Mcgrath,"Organ Procurement, Altruism, and Autonomy",2006
BERMCI-2,Samuel Berendes,Moral Certitude in Brain Death Diagnoses in Light of Organex and Brainex,2024
