ID,Author,Title,Year
SKIHAT-3,Derek Skillings,Holobionts and the Ecology of Organisms: Multi-Species Communities or Integrated Individuals?,2016
BIRKSG,Jonathan Birch,"Kin Selection, Group Selection, and the Varieties of Population Structure",2020
SUKNIE,Anton Sukhoverkhov and Nathalie Gontier,Non-Genetic Inheritance: Evolution Above the Organismal Level,2021
STEPTP-4,Beckett Sterner,Pathways to Pluralism About Biological Individuality,2015
STEIAT-20,Beckett Sterner,Individuality and the Control of Life Cycles,2017
NANRWR,Bence Nanay,Replication Without Replicators,2011
BOOPAI,Austin Booth,Populations and Individuals in Heterokaryotic Fungi: A Multilevel Perspective,2014
LLOSSO,Elisabeth A. Lloyd and Gould Stephen J.,Species Selection on Variability,1993
HAMSIA,Andrew Hamilton and Nathan Smith and Matthew Haber,Social Insects and the Individuality Thesis: Cohesion and the Colony as a Selectable Individual,2009
LLOTGC,Elisabeth A. Lloyd and Richard C. Lewontin and and Marcus W. Feldman,The Generational Cycle of State Spaces and Adequate Genetical Representation,2008
DANTOK,Antoine Danchin,Three Overlooked Key Functional Classes for Building Up Minimal Synthetic Cells,2021
SWISWE,Bartlomiej Swiatczak,Struggle Within: Evolution and Ecology of Somatic Cell Populations,2021
GONEEA-4,Nathalie Gontier,Evolutionary Epistemology and the Origin and Evolution of Language: Taking Symbiogenesis Seriously,2006
LLOEOE,Elisabeth A. Lloyd,Evaluation of Evidence in Group Selection Debates,1986
RADEOI-3,Arunas Radzvilavicius and Neil Blackstone,Evolution of Individuality Revisited,2018
LLOSPA-3,Elisabeth A. Lloyd,"Science, Politics, and Evolution",2008
SWIEWT,Bartlomiej Swiatczak,Evolution Within the Body: The Rise and Fall of Somatic Darwinism in the Late Nineteenth Century,2023
BERNSA-7,Donato Bergandi,"Natural Selection Among Replicators, Interactors and Transactors",2013
ELIAAU,Eli Hirsch,Ant and Uncles,2017
WILLOS-3,Robert A. Wilson,Levels of Selection,2007
ISTGTP-2,Michael Anthony Istvan,Gould Talking Past Dawkins on the Unit of Selection Issue,2013
BABEEO,Nadiia Babarykina and Olga Venger and Tetiana Sergi\cyrii{}enko and Volodymyr Gotsuliak and Olha Marmilova,European Experience of Decentralization in a Civil Society in the Postmodern Era,2022
TREWCF,Michael Trestman,"Which Comes First in Major Transitions: The Behavioral Chicken, or the Evolutionary Egg?",2013
DULTTO-3,Yevheniia Duliba and Sergij Ovcharuk and Maksym Doichyk and Ihor Hoian and Maya Vergolyas and Iryna Sarancha,The Transformation of the Global Civil Society During the Covid-19 Pandemic,2022
GADOOI,"J\""{u}rgen Gadau and Jennifer Fewell",Organization of Insect Societies: From Genome to Sociocomplexity,2009
STA-139,Michael Richard Starks,"\CYRA\cyrl\cyrsftsn\cyrt\cyrr\cyru\cyri\cyrz\cyrm, \CYRI\cyri\cyrs\cyru\cyrs \CYRI \CYRK\cyro\cyrn\cyre\cyrc \CYRS\cyrv\cyre\cyrt\cyra ? \CYRK\cyra\cyrk \CYRF\cyro\cyrn\cyrd \CYRT\cyre\cyrm\cyrp\cyrl\cyrt\cyro\cyrn\cyra \CYRK\cyru\cyrp\cyri\cyrl \CYRP\cyrr\cyro\cyrf\cyre\cyrs\cyrs\cyro\cyrr\cyrs\cyrk\cyru\cyryu \CYRD\cyro\cyrl\cyrzh\cyrn\cyro\cyrs\cyrt\cyrsftsn \CYRV\cyrg\cyra\cyrr\cyrv\cyra\cyrr\cyrd\cyra \CYRI \CYRN\cyra\cyrp\cyra\cyrl \CYRN\cyra \CYREREV\cyrv\cyro\cyrl\cyryu\cyrc\cyri\cyryu, \CYRR\cyra\cyrc\cyri\cyro\cyrn\cyra\cyrl\cyrsftsn\cyrn\cyro\cyrs\cyrt\cyrsftsn \CYRI \CYRC\cyri\cyrv\cyri\cyrl\cyri\cyrz\cyra\cyrc\cyri\cyryu. \CYRO\cyrb\cyrz\cyro\cyrr ""\CYRS\cyro\cyrc\cyri\cyra\cyrl\cyrsftsn\cyrn\cyro\cyre \CYRZ\cyra\cyrv\cyro\cyre\cyrv\cyra\cyrn\cyri\cyre \CYRZ\cyre\cyrm\cyrl\cyri"" (the Social Conquest of Earth) by E.O. Wilson (2012) \CYRI Nowak and Highfield ""\CYRS\cyru\cyrp\cyre\cyrr \CYRK\cyro\cyro\cyrp\cyre\cyrr\cyra\cyrt\cyro\cyrr\cyrery?(Supercooperators) (2012) (\CYRO\cyrb\cyrz\cyro\cyrr \CYRP\cyre\cyrr\cyre\cyrs\cyrm\cyro\cyrt\cyrr\cyre\cyrn 2019)",2020
GARROM-5,Arran Gare,"Review of Maria Kronfeldner, Darwinian Creativity and Memetics, Acumen, 2011",2012
