ID,Author,Title,Year
COLFPI,Matteo Colombo and Cory Wright,"First Principles in the Life Sciences: The Free-Energy Principle, Organicism, and Mechanism",2021
BICONO,Leonardo Bich and William Bechtel,Organization Needs Organization: Understanding Integrated Control in Living Organisms,2022
PRAWIA-2,Thomas Pradeu,What is an Organism? An Immunological Answer,2010
MAYPOS-3,Ernst Mayr,Principles of Systematic Zoology,1969
NICTRO-9,Daniel J. Nicholson,The Return of the Organism as a Fundamental Explanatory Concept in Biology,2014
SURTSO-4,Javier Su\'{a}rez,The Stability of Traits Conception of the Hologenome: An Evolutionary Account of Holobiont Individuality,2020
SMISD,Barry Smith and Berit Brogaard,Sixteen Days,2003
NICTMC-2,Daniel J. Nicholson,The Machine Conception of the Organism in Development and Evolution: A Critical Analysis,2014
HUELAM,Christoph Hueck,Life and Mind: The Common Tetradic Structure of Organism and Consciousness ? a Phenomenological Approach,2024
SURAPA-2,Javier Su\'{a}rez and Adrian Stencel,A Part-Dependent Account of Biological Individuality: Why Holobionts Are Individuals and Ecosystems Simultaneously,2020
Valdecasas2022-GAROTN-4,Miguel Garcia{-}Valdecasas,"On the Naturalisation of Teleology: Self-Organisation, Autopoiesis and Teleodynamics",2022
DUPHAO,John Dupr\'e,Humans and Other Animals,2002
BAPTAP,Eric Bapteste and John Dupre,Towards a Processual Microbial Ontology,2013
BOOSSA-2,Austin Booth,"Symbiosis, Selection, and Individuality",2014
CHIMAS,Lynn Chiu and G\'{e}rard Eberl,Microorganisms as Scaffolds of Host Individuality: An Eco-Immunity Account of the Holobiont,2016
MOSOCI,Matteo Mossio and Alvaro Moreno,Organisational Closure in Biological Organisms,2010
BOUTMO-8,Maarten Boudry and Massimo Pigliucci,The Mismeasure of Machine: Synthetic Biology and the Trouble with Engineering Metaphors,2013
WOLDOH,Charles T. Wolfe,Do Organisms Have an Ontological Status?,2010
WILBI-2,Robert A. Wilson and Matthew J. Barker,Biological Individuals,2024
DESTOO-17,Hugh Desmond and Philippe Huneman,The Ontology of Organismic Agency: A Kantian Approach,2020
