ID,Author,Title,Year
VUOCVP,Quan{-}Hoang Vuong and Tam{-}Tri Le and Viet{-}Phuong La and Huyen Thanh Thanh Nguyen and Manh{-}Toan Ho and Van Quy Khuc and Minh{-}Hoang Nguyen,Covid-19 Vaccines Production and Societal Immunization Under the Serendipity-Mindsponge-3D Knowledge Management Theory and Conceptual Framework,2022
VUOTVS,Quan{-}Hoang Vuong and Trung Tran,The Vietnamese Social Sciences at a Fork in the Road,2019
VUOLFD,Thu{-}Trang Vuong and Quan{-}Hoang Vuong,L?Indochine Fran\c{c}aise du Xixe-Xxe Si\`{e}cle ? Politique Et Religions,2018
NIPPTN,Sari Ni Putu Wulan Purnama and Minh{-}Phuong Thi Duong and Agustina Chriswinda Bura Mare and Minh{-}Hoang Nguyen and Quan{-}Hoang Vuong,Predicting the Needs of Emotional Support Among Family Caregivers by Analyzing the Demanded Healthcare Information: Insights From Female Cancer Caregiving,manuscript
NIPATH,Sari Ni Putu Wulan Purnama and Adrino Mazenda and Michael Kemboi and Minh{-}Hoang Nguyen and Quan{-}Hoang Vuong,Addressing the Hidden Hunger Among Children Through Micronutrient Supplementation: The Role of National Policies in School Feeding,manuscript
SUYPFB,Komang Agus Edi Suyoga and Sari Ni Putu Wulan Purnama and Chenaimoyo Lufutuko Faith Katiyatiya and Adrino Mazenda and Minh{-}Hoang Nguyen and Quan{-}Hoang Vuong,Promoting Food Biofortification in Agricultural Sectors Through School Meals Program: The Significance of National Policies,manuscript
NIPSBS,Sari Ni Putu Wulan Purnama and Chenaimoyo Lufutuko Faith Katiyatiya and Adrino Mazenda and Chido Chakanya and Minh{-}Hoang Nguyen and Quan{-}Hoang Vuong,Synergy Between School Meal Programs and Food Banks to Combat Food Insecurity Among Children: The Significance of Experts Involvement,manuscript
BARUYG,Catalin Barboianu,Understanding Your Game: A Mathematician's Advice for Rational and Safe Gambling,2022
DUKFCS,Emmanuel Orok Duke,From Christian Spirituality to Eco-Friendliness,2020
Forde2023-INEAPD,Angelina Inesia{-}Forde,\emph{Assessing Political Demoralization: A Framework for Public Policy Analysis and Evaluation},2023
DAWEPA,Angus Dawson and Marcel Verweij,"Ethics, Prevention, and Public Health",2009
VUOIIT,Quan{-}Hoang Vuong and Tam{-}Tri Le and Quang{-}Loc Nguyen and Nguyen Minh{-}Hoang,Investigation Into the Rationale of Migration Intention Due to Air Pollution Integrating the Homo Oeconomicus Traits,manuscript
VUOIFE,Quan{-}Hoang Vuong,Increasing Fx Exposures Unnerved Vietnam Banking Authorities,2011
HUNFPO,Catherine E. Hundleby,Feminist Perspectives on Argumentation,2021
WILENW,Robert A. Wilson,Eugenics Never Went Away,2018
MONFOT,Philippe Mongin,Factoring Out the Impossibility of Logical Aggregation,2008
RUBDPV,Mark Rubin,Do P Values Lose Their Meaning in Exploratory Analyses? It Depends How You Define the Familywise Error Rate,2017
VUOIBS,Quan{-}Hoang Vuong and Viet{-}Phuong La and Minh{-}Hoang Nguyen and Manh{-}Toan Ho and Manh{-}Tung Ho and Peter Mantello,Improving Bayesian Statistics Understanding in the Age of Big Data with the Bayesvl R Package,2020
ORAEIF,Imge Oranl\i,Epistemic Injustice \emph{From Afar}: Rethinking the Denial of Armenian Genocide,2021
DEZFDF,Jos\'e A. D\'{i}ez and C. Ulises Moulines,Fundamentos de Filosof\'{i}a de la Ciencia,2008
MIGTPO-2,Walter D. Mignolo and Walter D. Mignolo Walter D. Mignolo,The Politics of Decolonial Investigations,2021
JACAAL-2,J\'{e}r\^{o}me Jacquin and Thierry Herman and Steve Oswald,"Argumentation and Language -- Linguistic, Cognitive and Discursive Explorations",2018
PACNZC,Edgar Pacheco and Neil Melhuish,New Zealand Children?s Experiences of Online Risks and Their Perceptions of Harm Evidence From Ng\=a Taiohi Matihiko o Aotearoa ? New Zealand Kids Online,2020
FLOTEO-11,Luciano Floridi and Mariarosaria Taddeo,The Ethics of Information Warfare,2014
VUOHCS,Quan{-}Hoang Vuong and Tung{-}Manh Ho and Hong{-}Kong Nguyen and Thu{-}Trang Vuong,Healthcare Consumers? Sensitivity to Costs: A Reflection on Behavioural Economics From an Emerging Market,2018
DUKCMC,Emmanuel Orok Duke,Christian Military Chaplains as Promoters of the Gospel of Non-Violence and Mutual Co-Existence in Contemporary Nigerian Society: An Ethical Study,2018
IBASLA,Edwin D. Iba\~{n}ez and Jupeth Pentang,Socio-Constructivist Learning and Teacher Education Students? Conceptual Understanding and Attitude Toward Fractions,2021
JERNCO,Ravinder Jerath and Molly W. Crawford,Neural Correlates of Visuospatial Consciousness in 3D Default Space: Insights From Contralateral Neglect Syndrome,2014
VUOCEF,Quan{-}Hoang Vuong,Computational Entrepreneurship: From Economic Complexities to Interdisciplinary Research,2019
PELINS,Alik Pelman and Ohad Nachtomy and Yohay Carmel,Individual Nutritional Self-Sufficiency: A Viable Option in the Present Era,2024
WENKMO,Amy E. Wendling,Karl Marx on Technology and Alienation,2009
DUKRPA,Emmanuel Orok Duke,"Religion, Psychology and Globalisation Process: Attitudinal Appraisal",2020
TABCST-2,Ferdinand Tablan,Catholic Social Teachings: Toward a Meaningful Work,2015
