ID,Author,Title,Year
JAMABT,J. T. M. Miller,A Bundle Theory of Words,2021
CAPSDO,David Caplan and Catherine Baker and Francois Dehaut,Syntactic Determinants of Sentence Comprehension in Aphasia,1985
MILTAN-2,James Miller,There Are No Uninstantiated Words,2022
XHIEAW,Michel{-}Antoine Xhignesse,Entitled Art: What Makes Titles Names?,2019
VICLCA,Agustin Vicente and Nat\`{a}lia Barbarroja and Elena Castroviejo,"Linguistic, Concept and Symbolic Composition in Adults with Minimal Receptive Vocabulary",2023
AZZIIN,Jody Azzouni,Inconsistency in Natural Languages,2013
MASMDN,Angelapia Massaro,Morfosintassi Dell?Accordo Nel Genitivo e Sua Correlazione Con Elementi Del Tipo D,2020
CARLAI,Alfonso Caramazza and Isabel Brones,Lexical Access in Bilinguals,1979
KONIPO,Piotr Konderak,Introduction: Perspectives on the Study of Meaning-Making,2019
KARTOB,Onur Karamercan,Topology of Balasaguni's Kutadgu Bilig. Thinking the Between,2021
SHYPOO,Vitalii Shymko,Psycholinguistics of Organizational Phenomena: A Case of the Managerial Culture Study,2022
SHYDOL,Vitalii Shymko,Discourseology of Linguistic Consciousness: Neural Network Modeling of Some Structural and Semantic Relationships,2021
SHYSCL,Vitalii Shymko and Anzhela Babadzhanova,Short Communication: Linguistic Semantics of the Covid-19 Quarantine Concept Perceived by Ukrainians,2020
SHYSOT,Vitalii Shymko and Anzhela Babadzhanova,Study of the Covid-19 Related Quarantine Concept as an Emerging Category of a Linguistic Consciousness,2020
SHYOTQ,Vitalii Shymko,On the Question of the Place and Role of Language in the Process of Personality Socialization: Structural-Ontological Sketch,2019
MIKOTS,Marcin Mi\l{}kowski,On the Social Nature of Linguistic Prescriptions,2013
GORJAP-2,Dinda L. Gorl\'{e}e,Jakobson and Peirce,2008
CAMAL,Lyle Campbell,Areal Linguistics,2005
BERALO,Margie Berns and K. Matsuda,Applied Linguistics: Overview and History,2005
CAROAS-3,Fernando Orph\~{a}o de Carvalho,On a Supposed Dogma of Speech Perception Research: A Response to Appelbaum,2009
TAYSDO-3,O. I. Tayupova,Style Differentiation of Modern Literary Language,2013
HAGSOB-2,Peter Hagoort,Specificity of Broca's Area,2005
COLLLI,Germ\`a Col\'{o}n and Llu\'{i}s Gimeno Bet\'i,"La Ling\""{u}'{i}stica I les Seues Aplicacions En la Societat",2012
WRIREH-2,Cory Wright,"Review Essay: Hubert Cuyckens, Ren\'e Dirven, \& John Taylor?s (2003) 'Cognitive Approaches to Lexical Semantics'",2007
ADOPEF,Guilherme Adorno and Juliana da Silveira,P\'{o}s-Verdade e Fake News: Equ\'{i}vocos Do Pol\'{i}tico Na Materialidade Digital,2018
YASGFT,Emin Yas,Gender From the Linguistic and Sociolinguistic Perspective,2022
KRIDML,Diego Gabriel Krivochen,De Morgan's Laws and Neg-Raising: A Syntactic View,2018
ADOVLE,Guilherme Adorno,"Visualizar, Ler e Compreender o Dicion\'{a}rio Priberam: Divis\~{o}es Pol\'{i}ticas da L\'{i}ngua No Limiar Do Lingu\'{i}stico e Do Visual",2018
KRIILT-2,Diego Gabriel Krivochen,"I Like This Analysis, but I Don?T Think Every Linguist Will: Syntactic Not-Transportation, Vp Ellipsis and Vp Pronominalisation",2021
YASTCO-2,Emin Yas,The Change of Some Grammatical Cagetories in Turkish:Words with Adverbial Functions,2021
YASTDO-3,Emin Yas,The Difficulty of English Adverbial Constructions for the Foreign Learners,2017
PINFDI,Jean{-}Jacques Pinto,"Fantasme, Discours, Id\'{e}ologie",2010
PINLEP-2,Jean{-}Jacques Pinto,Linguistique Et Psychanalyse : Pour Une Approche Logiciste,2004
PINDD,Jean{-}Jacques Pinto,Diagnostic : Diff\'{e}rends ? Ciel !,2014
ADOOQA,Guilherme Adorno,"O ""Eu"", a Autoria e Os Vlogs: Formas Hist\'{o}ricas Do Poder-Dizer",2015
BERTUM,Signe Rix Berthelin,Two Uummarmiutun Modals ? Including a Brief Comparison with Utkuhik\v{s}alingmiutut Cognates,2017
FORTLP,R. A. D. Forrest,The Linguistic Position of Rong,1962
RONLPE,Mitsou Ronat,La Phono-Syntaxe Est-Elle M\'{e}talinguistique ?,1986
AUSIIC,Francisco Jos\'e Diez Aus\'{I}n,"I International Conference on Mathematical Linguistics, Barcelona, Abril 1993",1992
FLOTHO-3,Edwin D. Floyd,The History of Linguistics in the Classical Period,1990
