ID,Author,Title,Year
CHADAR,David J. Chalmers,Does a Rock Implement Every Finite-State Automaton?,1996
DEUTFO-3,David Deutsch,The Fabric of Reality,1997
CUFPPO,Michael E. Cuffaro and Samuel C. Fletcher,"Physical Perspectives on Computation, Computational Perspectives on Physics",2018
MILASC-2,Tyler Millhouse,A Simplicity Criterion for Physical Computation,2019
PICCIP,Gualtiero Piccinini,Computation in Physical Systems,2010
WOLANK,Stephen Wolfram,A New Kind of Science,2002
PICCMV,Gualtiero Piccinini,"Computational Modeling Vs. Computational Explanation: Is Everything a Turing Machine, and Does It Matter to the Philosophy of Mind?",2007
SHETMT-4,Orly Shenker and Meir Hemmo,The Multiple-Computations Theorem and the Physics of Singling Out a Computation,2022
BERCA,Francesco Berto and Jacopo Tagliabue,Cellular Automata,2012
CHRRU,Ronald L. Chrisley,Why Everything Doesn't Realize Every Computation,1994
MLLPTO-2,"Vincent C. M\""{u}ller",Pancomputationalism: Theory or Metaphor?,2014
DODNAA,Gordana Dodig Crnkovic,Nature as a Network of Morphological Infocomputational Processes for Cognitive Agents,2017
Crnkovic2020-DODNMC-3,Gordana Dodig{-}Crnkovic,"Natural Morphological Computation as Foundation of Learning to Learn in Humans, Other Living Organisms, and Intelligent Machines",2020
Crnkovic2017-DODROR,Gordana Dodig{-}Crnkovic and Raffaela Giovagnoli,"Representation of Reality: Humans, Other Living Organism and Intelligent Machines",2017
Crnkovic2017-DODCDO-4,Gordana Dodig{-}Crnkovic,"Computational Dynamics of Natural Information Morphology, Discretely Continuous",2017
Crnkovic2017-DODCAE,Gordana Dodig{-}Crnkovic,Cognition as Embodied Morphological Computation,2017
COPTTG,Jack Copeland and Jonathan Bowen and Robin Wilson and Mark Sprevak,The Turing Guide,2017
Crnkovic2023-DODDOT-2,Gordana Dodig{-}Crnkovic and Marcin Mi\l{}kowski,"Discussion on the Relationship Between Computation, Information, Cognition, and Their Embodiment",2023
SCHCNP-2,Marcin Jan Schroeder and Gordana Dodig{-}Crnkovic,Contemporary Natural Philosophy and Philosophies--Part 2,2020
ZUSRR,Konrad Zuse,Rechnender Raum (Calculating Space),1969
Crnkovic2013-DODATL,Gordana Dodig{-}Crnkovic,Alan Turing's Legacy: Info-Computational Philosophy of Nature,2013
Crnkovic2014-DODICA,G. Dodig{-}Crnkovic,Info-Computational Constructivism and Cognition,2014
Crnkovic2008-DODKGA,Gordana Dodig{-}Crnkovic,Knowledge Generation as Natural Computation,2008
Crnkovic2013-DODCNN,Gordana Dodig{-}Crnkovic and Raffaela Giovagnoli,Computing Nature?a Network of Networks of Concurrent Information Processes,2013
Crnkovic2016-DODICC,Gordana Dodig{-}Crnkovic,"Information, Computation, Cognition. Agency-Based Hierarchies of Levels",2016
FEYSPW,R. P. Feynman,Simulating Physics with Computers,1982
BERTPO-77,Francesco Berto and Jacopo Tagliabue and Gabriele Rossi,There?s Plenty of Boole at the Bottom: A Reversible Ca Against Information Entropy,2016
CAMDTS-2,Douglas Ian Campbell and Yi Yang,Does the Solar System Compute the Laws of Motion?,2019
LLOPTU,Seh Lloyd,Programming the Universe,2007
BISDWP-2,John Mark Bishop,Dancing with Pixies: Strong Artificial Intelligence and Panpsychism,2002
HAURCI-2,Rickard Haugwitz and Gordana Dodig{-}Crnkovic,Reality Construction in Cognitive Agents Through Processes of Info-Computation,2017
Crnkovic2011-DODADC,"Gordana Dodig{-}Crnkovic and Vincent C. M\""{u}ller",A Dialogue Concerning Two World Systems: Info-Computational Vs. Mechanistic,2011
PARTPO-95,SeongSoo Park,The Problem of Pancomputationalism: Focusing on Three Related Arguments,2020
ANDPAT-19,Neal G. Anderson and Gualtiero Piccinini,Pancomputationalism and the Computational Description of Physical Systems,manuscript
FREDM,Edward Fredkin,Digital Mechanics - an Informational Process Based on Reversible Universal Cellular Automata,1990
SEIDTU,Charles Seife,"Decoding the Universe: How the New Science of Information is Explaining Everythingin the Cosmos, Fromou R Brains to Black Holes",2007
Crnkovic2008-DODSOI,Gordana Dodig{-}Crnkovic,Semantics of Information as Interactive Computation,2008
HAGCSA,Amit Hagar and Giuseppe Sergioli,Counting Steps: A Finitist Interpretation of Objective Probability in Physics,2015
GORICC-2,Dodig{-}Crnkovic Gordana,"Information, Computation, Cognition. Agency-Based Hierarchies of Levels",2016
Crnkovic2014-DODARW,G. Dodig{-}Crnkovic,Author's Response: Why We Need Info-Computational Constructivism,2014
Crnkovic2007-DODEAC,Gordana Dodig{-}Crnkovic,Epistemology as Computation (Information Processing),2007
Crnkovic2008-DODEMA-2,Gordana Dodig{-}Crnkovic,Empirical Modeling and Information Semantics,2008
BISDWP,John Mark Bishop,Dancing with Pixies: Strong Artificial Intelligence and Panpsychism,2002
DODRCI,Gordana Dodig Crnkovic and Rickard von Haugwitz,Reality Construction in Cognitive Agents Through Processes of Info-Computation,2017
CHAPDM-2,Gregory Chaitin,Proving Darwin: Making Biology Mathematical,2012
SCHVOL,T. Scheidl and R. Ursin and J. Kofler and S. Ramelow and X. Ma and T. Herbst and L. Ratschbacher and A. Fedrizzi and N. K. Langford and T. Jennewein and A. Zeilinger,Violation of Local Realism with Freedom of Choice,2010
