ID,Author,Title,Year
BEASOT,J. C. Beall,Spandrels of Truth,2009
PRIDTT,Graham Priest,Doubt Truth to Be a Liar,2006
BERNOT-10,Francesco Berto and Greg Restall,Negation on the Australian Plan,2019
BARAHO-17,Eduardo Alejandro Barrio and Federico Pailos and Damian Szmuc,A Hierarchy of Classical and Paraconsistent Logics,2020
COBTCS,Pablo Cobreros and Paul Egr\'e and David Ripley and Robert van Rooij,"Tolerant, Classical, Strict",2012
CARPLC-2,Walter Carnielli and Marcelo Esteban Coniglio,"Paraconsistent Logic: Consistency, Contradiction and Negation",2016
COSOTT,Newton C. A. Costa,On the Theory of Inconsistent Formal Systems,1972
TAHTLO,Tuomas E. Tahko,The Law of Non-Contradiction as a Metaphysical Principle,2009
PRIPLE,Graham Priest and Richard Routley and Jean Norman,Paraconsistent Logic: Essays on the Inconsistent,1989
PRIPL,Graham Priest,Paraconsistent Logic,2008
LOGDRA,Shay Allen Logan,Depth Relevance and Hyperformalism,2022
DACOTT,Newton C. A. da Costa,On the Theory of Inconsistent Formal Systems,1974
LOGSDR-2,Shay Allen Logan,Strong Depth Relevance,2021
RESTLO-4,N. Rescher and R. Brandom,The Logic of Inconsistency,1980
STAVAR,Shawn Standefer,Variable-Sharing as Relevance,forthcoming
BERHTS,Francesco Berto,How to Sell a Contradiction: The Logic and Metaphysics of Inconsistency,2007
SZMWIA,Damian Szmuc and Federico Pailos and Eduardo Barrio,What is a Paraconsistent Logic?,2018
HYDFHA,Dominic Hyde,From Heaps and Gaps to Heaps of Gluts,1997
BARARO-15,Eduardo Alejandro Barrio and Federico Pailos and Damian Szmuc,A Recovery Operator for Nontransitive Approaches,2020
CARFIA-2,Walter A. Carnielli and Jo\~{a}o Marcos and Sandra De Amo,Formal Inconsistency and Evolutionary Databases,2000
CONNAO-2,Marcelo E. Coniglio and Aldo Figallo{-}Orellano and Ana Claudia Golzio,Non-Deterministic Algebraization of Logics by Swap Structures1,2020
STEEAT-16,Florian Steinberger,Explosion and the Normativity of Logic,2016
CIULBO,Roberto Ciuni and Thomas Macaulay Ferguson and Damian Szmuc,Logics Based on Linear Orders of Contaminating Values,2019
SZMDLA,Szmuc Damian Enrique,Defining Lfis and Lfus in Extensions of Infectious Logics,2016
CONTDP-2,Marcelo E. Coniglio and Guilherme V. Toledo,Two Decision Procedures for da Costa?s \$\${C}_N\$\$ C N Logics Based on Restricted Nmatrix Semantics,2022
BERPLT,Francesco Berto and Edwin Mares and Koji Tanaka and Francesco Paoli,Paraconsistency: Logic and Applications,2013
CIURLO,Roberto Ciuni and Damian Szmuc and Thomas Macaulay Ferguson,Relevant Logics Obeying Component Homogeneity,2018
WEBTNI,Zach Weber,Transfinite Numbers in Paraconsistent Set Theory,2010
TANACP-3,Koji Tanaka and Patrick Girard,Against Classical Paraconsistent Metatheory,2023
BATAUL,Diderik Batens,A Universal Logic Approach to Adaptive Logics,2007
BEAMLA,Jc Beall,Multiple-Conclusion Lp and Default Classicality,2011
BARSLP-6,Eduardo Alejandro Barrio and Federico Pailos and Damian Szmuc,"Substructural Logics, Pluralism and Collapse",2018
FERLON,Thomas Macaulay Ferguson,Logics of Nonsense and Parry Systems,2015
WEBWIA-2,Zach Weber and Guillermo Badia and Patrick Girard,What is an Inconsistent Truth Table?,2016
RESWTC,Greg Restall,Ways Things Can't Be,1997
DEMDLA-7,Fabio De Martin Polo,Discussive Logic. A Short History of the First Paraconsistent Logic,2023
WEISFP-4,Yale Weiss,Semantics for Pure Theories of Connexive Implication,2022
BERACD-4,Francesco Berto,"Absolute Contradiction, Dialetheism, and Revenge",2014
BRATNO-11,Ross T. Brady,The Non-Triviality of Dialectical Set Theory,1989
FERACI-4,Thomas Macaulay Ferguson,A Computational Interpretation of Conceptivism,2014
TANLIW-2,Koji Tanaka,Logically Impossible Worlds,2018
PRIMIL,Graham Priest,Minimally Inconsistent Lp,1991
BATIL,Diderik Batens,Inconsistency-Adaptive Logics,1999
CHUTIO-10,Alonzo Church and Haskell B. Curry,The Inconsistency of Certain Formal Logics,1942
GIRPD-2,Patrick Girard and Koji Tanaka,Paraconsistent Dynamics,2016
BATAGC,Diderik Batens,A General Characterization of Adaptive Logics,2001
SHAFRO-3,Michael J. Shaffer,Further Reflections on Quasi-Factivism: A Reply to Baumann,2022
WEBAPM,Z. Weber,A Paraconsistent Model of Vagueness,2010
BATPEP,Diderik Batens,Paraconsistent Extensional Propositional Logics,1980
RAUAFO,Cecylia Rauszer,A Formalization of the Propositional Calculus of H-B Logic,1974
GAAPTT,Tore Fjetland \O{}gaard,Paths to Triviality,2016
OMSIAI,Sergi Oms and Elia Zardini,Inclosure and Intolerance (1st edition),2021
BROCAP,Bryson Brown and Graham Priest,"Chunk and Permeate, a Paraconsistent Inference Strategy. Part I: The Infinitesimal Calculus",2004
PRISOP,Graham Priest and Richard Routley,Systems of Paraconsistent Logic,1989
FERFBC,Thomas Macaulay Ferguson,Faulty Belnap Computers and Subsystems of Fde,2016
ZACAHB,Richard Zach,Epimorphism Between Fine and Ferguson?s Matrices for Angell?s Ac,2023
COBVS,Pablo Cobreros,Vagueness: Subvaluationism,2013
BEAASA,Jc Beall,A Simple Approach Towards Recapturing Consistent Theories in Paraconsistent Settings,2013
ZALACT,Edward N. Zalta,A Classically-Based Theory of Impossible Worlds,1997
JENOPE-2,Raymond Jennings and Bryson Brown and Peter Schotch,On Preserving: Essays on Preservationism and Paraconsistent Logic,2009
CARLOF-5,Walter Carnielli and Marcelo E. Coniglio and David Fuenmayor,Logics of Formal Inconsistency Enriched with Replacement: An Algebraic and Modal Account,2022
AVRACA,Arnon Avron,A Constructive Analysis of Rm,1987
SLAPL,B. H. Slater,Paraconsistent Logics?,1995
ARRAOT,Ayda I. Arruda,Aspects of the Historical Development of Paraconsistent Logic,1989
BATFIP,Diderik Batens and Chris Mortensen and Graham Priest and Jean Paul Van Bendegem,Frontiers in Paraconsistent Logic,2000
CARTMF-6,Walter Carnielli and Marcelo E. Coniglio,Twist-Valued Models for Three-Valued Paraconsistent Set Theory,2021
PRITLO-6,Graham Priest,The Logic of the Catuskoti,2010
BONADF-2,Stefano Bonzio and Andrea Loi and Luisa Peruzzi,A Duality for Involutive Bisemilattices,2019
CONFSS,Marcelo E. Coniglio and Aldo Figallo{-}Orellano and Ana Claudia Golzio,First-Order Swap Structures Semantics for Some Logics of Formal Inconsistency,2020
CONAPB,Rafael R. Testa and Marcelo E. Coniglio and M\'{a}rcio M. Ribeiro,Agm-Like Paraconsistent Belief Change,2017
RIPPL,David Ripley,Paraconsistent Logic,2015
FITAFO,Melvin Fitting,A Family of Strict/Tolerant Logics,2020
ABETPO,Andrew Aberdein and Stephen Read,The Philosophy of Alternative Logics,2009
NOLACR-2,Daniel Nolan,A Consistent Reading of Sylvan's Box,2007
MCHTLO-3,Jakub M\'{a}cha,The Logic of Exemplarity,forthcoming
WEBTG,Zach Weber and David Ripley and Graham Priest and Dominic Hyde and Mark Colyvan,Tolerating Gluts,2014
BEAANO-6,Jc Beall and Thomas Forster and Jeremy Seligman,A Note on Freedom From Detachment in the Logic of Paradox,2013
DoaneForthcoming-CLAWIL-3,Justin Clarke{-}Doane,What is Logical Monism?,forthcoming
ARIIPL,O. Arieli and A. Avron and A. Zamansky,Ideal Paraconsistent Logics,2011
CARLCI-2,Colin R. Caret and Ole T. Hjortland,"Logical Consequence: Its Nature, Structure, and Application",2015
SEDSEL,Igor Sedl\'{a}r,Substructural Epistemic Logics,2015
MICOAM,Michaelis Michael,On a ?Most Telling? Argument for Paraconsistent Logic,2016
BATTTU,Diderik Batens,Towards the Unification of Inconsistency Handling Mechanisms,2000
TANTAT,Koji Tanaka,The Agm Theory and Inconsistent Belief Change,2005
LIBMFA-2,Thierry Libert,Models for a Paraconsistent Set Theory,2005
COBPVA,Pablo Cobreros,Paraconsistent Vagueness: A Positive Argument,2011
CONAAA-7,Marcelo E. Coniglio and Luiz H. Da Cruz Silvestrini,An Alternative Approach for Quasi-Truth,2014
HEWNAF,Simon Thomas Hewitt,Need Anything Follow From a Contradiction?,2022
TANPAC-4,Koji Tanaka,"Priest?s Anti-Exceptionalism, Candrak\={i}rti and Paraconsistency",2019
BRADRO,Ross T. Brady,Depth Relevance of Some Paraconsistent Logics,1984
KNIMI,Kevin Knight,Measuring Inconsistency,2002
BZIPLF,Jean{-}Yves B\'{e}ziau,Paraconsistent Logic From a Modal Viewpoint,2005
BEALTB-2,Jc Beall and Shay A. Logan,Logic: The Basics (2Nd Edition),2017
AMUPOT,Conrad Amus,Paraconsistency on the Rocks of Dialetheism,2012
WALLFP,Walter A. Carnielli and Jo\~{a}o Marcos,Limits for Paraconsistent Calculi,1999
AVRNSF,Arnon Avron,Non-Deterministic Semantics for Logics with a Consistency Operator,manuscript
ROUTAP,Richard Routley,"The American Plan Completed: Alternative Classical-Style Semantics, Without Stars, for Relevant and Paraconsistent Logics",1984
BATARP-2,Diderik Batens and Kristof Clercq,A Rich Paraconsistent Extension of Full Positive Logic,2004
ARNOAI,Arnon Avron,On an Implication Connective of Rm,1986
ODITCO-2,Sergei P. Odintsov,The Class of Extensions of Nelson's Paraconsistent Logic,2005
ARIMAP,Ofer Arieli and Arnon Avron and Anna Zamansky,Maximal and Premaximal Paraconsistency in the Framework of Three-Valued Semantics,2011
TANMSO-4,Koji Tanaka,"Making Sense of Paraconsistent Logic: The Nature of Logic, Classical Logic and Paraconsistent Logic",2013
HYDPVW-2,Dominic Hyde and Mark Colyvan,Paraconsistent Vagueness: Why Not?,2008
RAHTDA,Sahid Rahman and Walter A. Carnielli,The Dialogical Approach to Paraconsistency,2000
LOGSFS,Shay Logan,Semantics for Second Order Relevant Logics,forthcoming
TESPBR,Rafael R. Testa and Marcelo E. Coniglio and M\'{a}rcio M. Ribeiro,Paraconsistent Belief Revision Based on a Formal Consistency Operator,2015
BADBIB,Guillermo Badia,Bi-Simulating in Bi-Intuitionistic Logic,2016
PRIDIN-2,Graham Priest,Dualising Intuitionictic Negation,2009
BEAFTW,Jc Beall,Finding Tolerance Without Gluts,2014
