ID,Author,Title,Year
FEYAM,Paul Feyerabend,Against Method,1988
KITSIA,Philip Kitcher,Science in a Democratic Society,2011
FEYAMO,Paul Feyerabend,Against Method: Outline of an Anarchistic Theory of Knowledge,1974
FEYSIA,Paul Feyerabend,Science in a Free Society,1978
FEYFTR,Paul Feyerabend,Farewell to Reason,1987
FEYPOE,Paul Feyerabend,Problems of Empiricism,1965
FEYERA,Paul K. Feyerabend,"Explanation, Reduction and Empiricism",1962
FEYCFT,Paul Feyerabend,Consolations for the Specialist,1970
FEYRRA,Paul Feyerabend,"Realism, Rationalism, and Scientific Method",1981
OBEFP,Eric Oberheim,Feyerabend's Philosophy,2006
FEYCOA,Paul Feyerabend,Conquest of Abundance: A Tale of Abstraction Versus the Richness of Being,1999
STOPAA,David Charles Stove,Popper and After: Four Modern Irrationalists,1982
FEYMAT,Paul Feyerabend,Materialism and the Mind-Body Problem,1963
NOLTOS-3,Robert Nola and Howard Sankey,Theories of Scientific Method: An Introduction,2006
KUSRIF,Martin Kusch,Relativism in Feyerabend's Later Writings,2016
MAXACO,Nicholas Maxwell,A Critique of Popper's Views on Scientific Method,1972
KIDFSA-2,Ian James Kidd,"Feyerabend, Science, and Scientism",2021
FEYHTD-2,Paul Feyerabend,How to Defend Society Against Science,1975
LLOFMA-2,Elisabeth A. Lloyd,"Feyerabend, Mill, and Pluralism",1997
PREFPS,John Preston,"Feyerabend: Philosophy, Science, and Society",1997
FEYCOA-2,Paul Feyerabend and Bert Terpstra,Conquest of Abundance: A Tale of Abstraction Versus the Richness of Being,1999
FEYVAA,P. K. Feyerabend,Viii.--An Attempt at a Realistic Interpretation of Experience,1958
FEYCPO,Paul Feyerabend,Changing Patterns of Reconstruction,1977
SANBMT,Flavio Del Santo,Beyond Method: The Diatribe Between Feyerabend and Popper Over the Foundations of Quantum Mechanics,2022
FEYCME,Paul K. Feyerabend,Comment: Mental Events and the Brain,1963
FARFAS-3,Robert P. Farrell,Feyerabend and Scientific Values: Tightrope-Walking Rationality,2003
LAKFAA,Imre Lakatos and Paul Feyerabend and Matteo Motterlini,For and Against Method: Including Lakatos's Lectures on Scientific Method and the Lakatos-Feyerabend Correspondence,1999
VANPAA-28,Marij van Strien,Pluralism and Anarchism in Quantum Physics: Paul Feyerabend's Writings on Quantum Physics in Relation to His General Philosophy of Science,2020
FEYOTM,Paul K. Feyerabend,"On the ""Meaning"" of Scientific Terms",1965
FEYTDO,Paul K. Feyerabend,Three Dialogues on Knowledge,1991
KUBFOT-2,Daniel Kuby and Patrick Fraser,Feyerabend on the Quantum Theory of Measurement: A Reassessment,2022
FEYKTT,Paul Feyerabend,Killing Time: The Autobiography of Paul Feyerabend,1995
Huene1995-HOYTLO-3,Paul Hoyningen{-}Huene,"Two Letters of Paul Feyerabend to Thomas S. K\""{u}hn on a Draft of the Structure of Scientific Revolutions",1995
FEYSWE,Paul K. Feyerabend,Science Without Experience,1969
KIDWDF-2,Ian James Kidd,"Why Did Feyerabend Defend Astrology? Integrity, Virtue, and the Authority of Science",2016
BROIRP,Matthew J. Brown and Ian James Kidd,Introduction: Reappraising Paul Feyerabend,2016
SANMPN,Howard Sankey,"Methodological Pluralism, Normative Naturalism and the Realist Aim of Science",2000
KUBFRO,Daniel Kuby,"Feyerabend's Reevaluation of Scientific Practice: Quantum Mechanics, Realism and Niels Bohr",2021
TAMATO,Luca Tambolo,A Tale of Three Theories: Feyerabend and Popper on Progress and the Aim of Science,2015
TSORFQ,Jonathan Y. Tsou,Reconsidering Feyerabend?s ?Anarchism?,2003
BSCFAP,Karim Bschir,Feyerabend and Popper on Theory Proliferation and Anomaly Import: On the Compatibility of Theoretical Pluralism and Critical Rationalism,2015
AMBFOA,Chiara Ambrosio,Feyerabend on Art and Science,2021
KIDFOP-2,Ian James Kidd,"Feyerabend on Politics, Education, and Scientific Culture",2016
FEYKWF,Paul Feyerabend,Knowledge Without Foundations,1961
KIDFOH,Ian James Kidd,"Feyerabend on Human Life, Abstraction, and the ?Conquest of Abundance?",forthcoming
KIDFOS,Ian James Kidd,Feyerabend on Science and Education,2013
KIDFPA,Ian Kidd,"Feyerabend, Pseudo-Dionysius, and the Ineffability of Reality",2012
FEYOAR,Paul K. Feyerabend,On a Recent Critique of Complementarity: Part I,1968
FEYPOI,Paul Feyerabend,Putnam on Incommensurability,1987
KIDOAA,Ian James Kidd,"Objectivity, Abstraction, and the Individual: The Influence of S\o{}ren Kierkegaard on Paul Feyerabend",2011
SANIAT-6,Howard Sankey,Incommensurability and Theory Change,2010
TAMPAR,Luca Tambolo,Pliability and Resistance: Feyerabendian Insights Into Sophisticated Realism,2014
FEYNBW,Paul K. Feyerabend,Niels Bohr's World View,1981
FEYRAT-3,Paul Feyerabend,Realism and the Historicity of Knowledge,1989
KIDFSA,Ian James Kidd,"Feyerabend, Science, and Scientism",2021
PREPF,John Preston,Paul Feyerabend,2008
NOLAPK,Robert Nola and Howard Sankey,"After Popper, Kuhn and Feyerabend: Recent Issues in Theories of Scientific Method",2000
FEYMTO-2,Paul K. Feyerabend,Mach's Theory of Research and its Relation to Einstein,1984
LAYFBM,Ronald Laymon,"Feyerabend, Brownian Motion, and the Hiddenness of Refuting Facts",1977
KIDWSG,Ian James Kidd,??What?s so Great About Science?? Feyerabend on the Ideological Use and Abuse of Science,2016
FEYZOE,Paul K. Feyerabend,Zahar on Einstein,1974
KUBCFA,Daniel Kuby,"Carnap, Feyerabend, and the Pragmatic Theory of Observation",2018
KIDAPC-2,Ian Kidd,A Pluralist Challenge to 'Integrative Medicine': Feyerabend and Popper on the Cognitive Value of Alternative Medicine,2013
PREF-2,John Preston,Feyerabend,2001
PINDPE,Andr\'e Luiz Pinto and Nestor Cortez Saavedra Filho,Di\'{a}logos Poss\'{i}veis Entre o Pluralismo Epistemol\'{o}gico de Paul Feyerabend e a Educa\c{c}~{a}o Cient\'{i}fica,2024
FEYOAR-2,Paul K. Feyerabend,On a Recent Critique of Complementarity: Part Ii,1969
KUSEAM-2,Martin Kusch,Epistemological Anarchism Meets Epistemological Voluntarism : Feyerabend's Against Method and van Fraassen's the Empirical Stance,2021
OBEOTH,Eric Oberheim,On the Historical Origins of the Contemporary Notion of Incommensurability: Paul Feyerabend's Assault on Conceptual Conservatism,2005
FEYOTC,Paul K. Feyerabend,On the Critique of Scientific Reason,1976
FEYRIO,Paul Feyerabend,Reichenbach's Interpretation of Quantum-Mechanics,1958
BROI-4,Harold I. Brown,Incommensurability,1983
FEYPP,Paul Feyerabend,Philosophical Papers,1981
PREPFE,John Preston,Paul Feyerabend's Ernst Mach,2023
PREFRF,John Preston,Feyerabend's Retreat From Realism,1997
KIDFOP-3,Ian James Kidd,"Feyerabend on Pluralism, Contingency, and Humility",forthcoming
Huene2006-HOYMLB,Paul Hoyningen{-}Huene,More Letters by Paul Feyerabend to Thomas S. Kuhn on Proto-Structure,2006
MACFAG-2,Peter K. Machamer,"Feyerabend and Galileo: The Interaction of Theories, and the Reinterpretation of Experience",1973
KUBFTC,Daniel Kuby,Feyerabend's ?the Concept of Intelligibility in Modern Physics? (1948),2016
SANITA,Howard Sankey,"Incommensurability, Translation and Understanding",1991
PRETWE,John Preston and Gonzalo Mun\'{e}var and David Lamb,The Worst Enemy of Science?: Essays in Memory of Paul Feyerabend,2000
FEYKSA-4,Paul Feyerabend,"Knowledge, Science and Relativism",1999
Huene2002-HOYPFU,Paul Hoyningen{-}Huene,Paul Feyerabend Und Thomas Kuhn,2002
FEYWPI,Paul Feyerabend,Wittgenstein's Philosophical Investigations,1955
BSCPPA,Karim Bschir and Simon Lohse,"Pandemics, Policy, and Pluralism: A Feyerabend-Inspired Perspective on Covid-19",2022
FEYN,Paul Feyerabend,Naturphilosophie,2009
KENPFA-4,Rory Kent,Paul Feyerabend and the Dialectical Character of Quantum Mechanics: A Lesson in Philosophical Dadaism,2022
AGAPAH-3,Joseph Agassi,"Popper and His Popular Critics: Thomas Kuhn, Paul Feyerabend and Imre Lakatos: Appendix",2022
BROTAW-2,Matthew J. Brown,The Abundant World: Paul Feyerabend's Metaphysics of Science,2016
FEYTOS,Paul K. Feyerabend,The Tyranny of Science,2011
Huene2000-HOYPKF-2,Paul Hoyningen{-}Huene,Paul K. Feyerabend: An Obituary,2000
BROMB-3,Matthew Brown,Matthew Brown : Against Expertise : A Lesson From Feyerabend's Science in a Free Society?,2021
SHAIPF,Jamie Shaw and Karim Bschir,Introduction: Paul Feyerabend's Philosophy in the 21St Century,2021
COLEEO-6,Matteo Collodel,Ehrenhaft?s Experiments on Magnetic Monopoles: Reconsidering the Feyerabend-Ehrenhaft Connection,2022
FEYPEC,Paul Feyerabend,Potentially Every Culture is All Cultures,1994
FEYIL,Paul Feyerabend,Imre Lakatos,1975
WATFAP-3,John Watkins,"Feyerabend Among Popperians, 1948-1978",2000
FEYCAD,Paul Feyerabend,Creativity: A Dangerous Myth,1987
SANTPO-6,Howard Sankey,The Problem of Rational Theory-Choice,1995
FEYDEA,Paul Feyerabend,"Democracy, Elitism, and Scientific Method",1980
SIREEA,Daniel Sirtes and Eric Oberheim,"Einstein, Entropy, and Anomalies",2006
PRESAS-4,John Preston,Science as Supermarket: ?Post-Modern' Themes in Paul Feyerabend's Later Philosophy of Science,1998
KORTTO-2,Carl R. Kordig,The Theory-Ladenness of Observation,1971
GIETPO-2,Jerzy Giedymin,The Paradox of Meaning Variance,1970
PAUPOK,Paul Feyerabend,Popper'sobjective Knowledge1,1974
SIEFTF,Harvey Siegel,Farewell to Feyerabend,1989
FEYTSO-3,Paul K. Feyerabend,The Structure of Science,1966
KIDWFA,Ian James Kidd,Was Feyerabend a Postmodernist?,2016
FEYZOM,Paul Feyerabend,"Zahar on Mach, Einstein and Modern Science",1980
FARWTP,Robert P. Farrell,"Will the Popperian Feyerabend Please Step Forward: Pluralistic, Popperian Themes in the Philosophy of Paul Feyerabend",2000
KUBDES-2,Daniel Kuby,Decision-Based Epistemology: Sketching a Systematic Framework of Feyerabend?s Metaphilosophy,2020
SANTRL-2,Howard Sankey,The Relativistic Legacy of Kuhn and Feyerabend,2019
FEYTPO-2,Paul Feyerabend,The Problem of the Existence of Theorethical Entities,2005
FEYSTM,Paul Feyerabend,'Science.' the Myth and its Role in Society,1975
KOEFFA,Noretta Koertge,"Feyerabend, Feminism, and Philosophy",2013
FEYIDO-2,Paul Feyerabend,In Defence of Classical Physics,1970
HENOFV-2,Klaus Hentschel,On Feyerabend's Version of 'Mach's Theory of Research and its Relation to Einstein',1985
FEYMFF,Paul Feyerabend,Marxist Fairytales From Australia,1977
FEYTTA,Paul K. Feyerabend,The Theatre as an Instrument of the Criticism of Ideologies,1967
KLEFGA-2,Scott A. Kleiner,"Feyerabend, Galileo and Darwin: How to Make the Best Out of What You Have - or Think You Can Get",1979
KIDINB,Ian James Kidd,Is Naturalism Bleak? A Reply to Holland and Cottingham,2013
FEYKSA,Paul Feyerabend,"Knowledge, Science, and Relativism: 1960?1980",1999
FEYANO,Paul K. Feyerabend,A Note on the Problem of Induction,1964
KUBPFI,Daniel Kuby,"Paul Feyerabend in Wien 1946-1955: Das \""{O}sterreichische College Und der Kraft-Kreis",2010
MCEARP,John G. McEvoy,"A ""Revolutionary"" Philosophy of Science: Feyerabend and the Degeneration of Critical Rationalism Into Sceptical Fallibilism",1975
JACPPO-3,Struan Jacobs,Polanyi's Presagement of the Incommensurability Concept,2002
BUTFAT-2,Robert E. Butts,Feyerabend and the Pragmatic Theory of Observation,1966
OBEPAT,Thomas Oberdan,Positivism and the Pragmatic Theory of Observation,1990
FEYLLA,Paul Feyerabend,"Logic, Literacy, and Professor Gellner",1976
WANACO,Xinli Wang,A Critique of the Translational Approach to Incommensurability,1998
SANTFB-2,Howard Sankey,Translation Failure Between Theories,1991
PRETRO-11,John Preston,The Rise of Western Rationalism: Paul Feyerabend?s Story,2016
HEIRFR,Helmut Heit,Reasons for Relativism: Feyerabend on the ?Rise of Rationalism? in Ancient Greece,2016
SANTPS-3,Howard Sankey,The Philosophical Significance of Paul Feyerabend,manuscript
FEYANO-2,Paul K. Feyerabend,A Note on Two 'Problems' of Induction,1968
CURFDA,J. Curthoys and W. Suchting,Feyerabend's Discourse Against Method: A Marxist Critique,1977
PREFPT,J. Preston,Feyerabend's Polanyian Turns,1997
FEYANO-3,P. K. Feyerabend,A Note on the Paradox of Analysis,1956
HOOEPA,Cliff A. Hooker,"Empiricism, Perception and Conceptual Change",1973
FEYKAT,Paul K. Feyerabend,Knowledge and the Role of Theories,1988
PREFPP-2,John Preston,Frictionless Philosophy: Paul Feyerabend and Relativism,1995
CHATCO-72,Hasok Chang,The Coherence of Feyerabend's Pluralist Realism,2021
MORCTE,Harold Morick,Challenges to Empiricism,1972
COUFCO-2,George Couvalis,Feyerabend's Critique of Foundationalism,1989
MOTFAA,Matteo Motterlini,For and Against Method,1999
FEYAAA,Paul Feyerabend,Art as a Product of Nature as a Work of Art,1994
KIDRTW,Ian James Kidd,"Reawakening to Wonder: Wittgenstein, Feyerabend, and Scientism",2014
FEYEPD,Paul Feyerabend,El Problema de la Existencia de Las Entidades Te\'{o}ricas,2005
SHATPO-116,Jamie Shaw,"The Problem of the Empirical Basis in the Popperian Tradition: Popper, Bartley, and Feyerabend",2020
CHUTTT,Paul M. Churchland,"To Transform the Phenomena: Feyerabend, Proliferation, and Recurrent Neural Networks",1997
HULFAO,Richard T. Hull,Feyerabend's Attack on Observation Sentences,1972
SCHOBU,Morton L. Schagrin,On Being Unreasonable,1973
MUNITA,David Munchin,Is Theology a Science?: The Nature of the Scientific Enterprise in the Scientific Theology of Thomas Forsyth Torrance and the Anarchic Epistemology of Paul Feyerabend,2011
KIDFOT,Ian James Kidd,Feyerabend on the Ineffability of Reality,2013
KIDFPA-2,Ian James Kidd,"Feyerabend, Pluralism, and Parapsychology",2018
Huene1997-HOYPKF,Paul Hoyningen{-}Huene,Paul K. Feyerabend,1997
FEYMMA,Paul Feyerabend,"Mind, Matter, and Method",1966
ACHSRA,Peter Achinstein,Science Rules: A Historical Introduction to Scientific Methods,2004
MUNBRE,Gonzalo Mun\'{e}var,Beyond Reason: Essays on the Philosophy of Paul Feyerabend,1991
CLAFCO,Stephen R. L. Clark,Feyerabend's Conquest of Abundance,2002
DUSBAL,Val Dusek,Brecht and Luk\'{a}cs as Teachers of Feyerabend and Lakatos: The Feyerabend-Lakatos Debate as Scientific Recapitulation of the Brecht- Luk\'{a}cs Debate,1998
FEYSC,P. K. Feyerabend and D. M. MacKay,Symposium: Complementarity,1958
FEYPOD,P. K. Feyerabend,Patterns of Discovery,1960
KIDRF,Ian James Kidd and Matthew Brown,Reappraising Feyerabend,2016
WEBIAT,Marcel Weber,Incommensurability and Theory Comparison in Experimental Biology,2002
MUNARO,Gonzalo Munevar,A Rehabilitation of Paul Feyerabend,2000
BERTCO-7,Richard J. Bernstein,The Challenge of Scientific Materialism,1968
TIBFOI,Paul Tibbetts,"Feyerabend on Ideology, Human Happiness, and the Good Life",1976
ZAHSTA,Elie Zahar,Second Thoughts About Machian Positivism: A Reply to Feyerabend,1981
