ID,Author,Title,Year
BENTVO-6,David Benatar,"Two Views of Sexual Ethics: Promiscuity, Pedophilia, and Rape",2002
KERPAA-7,Stephen Kershnar,Pedophilia and Adult?Child Sex: A Philosophical Analysis,2015
ALCDPF,Linda Alcoff,Dangerous Pleasures: Foucault and the Politics of Pedophilia,1996
LEVTMD-4,Sergei Levin,The Moral Duty to Reduce the Risk of Child Sexual Abuse,2019
HARPAE-17,John F. Harvey,Pedophilia and Ephebophilia,2002
KERSDA,Stephen Kershnar,"Sex, Discrimination, and Violence: Surprising and Unpopular Results in Applied Ethics",2009
FEIRTD,Jay R. Feierman,Reply to Dickemann,1992
LALPTS,Matthew C. Lally and Scott A. Freeman,Perspectives: The Struggle to Maintain Neutrality in the Treatment of a Patient with Pedophilia,2005
SMIPAC-10,Russell E. Smith,Pedophilia and Church Law,1990
FILTPA,Daniel M. Filler,"Terrorism, Panic and Pedophilia",manuscript
OCAKUI,Thomas O?Carroll,Kindliche ?Unschuld? Ist Kein Ideal: Tugendethik Und Kind-Erwachsenen-Sex,2018
SMIP-33,Russell E. Smith,Pedophilia,1990
