ID,Author,Title,Year
ANDUAL-2,Frederik J. Andersen,Uniqueness and Logical Disagreement (Revisited) (1st edition),2023
KELDAT-3,Thomas Kelly,Disagreement and the Burdens of Judgment,2013
PETJPQ,Richard Pettigrew and Jonathan Weisberg,Jeffrey Pooling,forthcoming
FLEADO-4,Will Fleisher,A Defense of Endorsement,forthcoming
TURSTS-4,Jamie B. Turner,Skeptical Theistic Steadfastness,forthcoming
PHAAPA,Quentin Pharr and Clotilde Torregrossa,Aesthetic Peerhood and the Significance of Aesthetic Peer Disagreement,2024
HILGAP-2,Scott Hill,Gaslighting and Peer Disagreement,2024
ANDMEE,Marc Andree Weber,Meinungsverschiedenheiten. Eine Erkenntnistheoretische Analyse,2019
WEBEPL,Marc Andree Weber,"Epistemic Peerhood, Likelihood, and Equal Weight",2017
WEBCVO,Marc Andree Weber,Conciliatory Views on Peer Disagreement and the Order of Evidence Acquisition,2022
WEBAD-3,Marc Andree Weber,Armchair Disagreement,2017
WEBTAA-3,Marc Andree Weber,The Astute and the Kindly Ones,2024
LACNEO,Jennifer Lackey,New Essays on Disagreement,2012
MRZAPE,Attila Mr\'{a}z,A Polarization-Containing Ethics of Campaign Advertising,2023
WEBUPL,Marc Andree Weber,Unknown Peers,2023
CORBDG-2,Moritz Cordes,"Beweis der Gleichgewichtungsthese Aus der Wahrscheinlichkeitskonzeption Epistemischer Ebenb\""{u}rtigkeit",2023
MATDWD-2,Jonathan D. Matheson,Dealing with Disagreement: Uniqueness and Conciliation,2010
KONEVA,Amir Konigsberg,"Epistemic Value and Epistemic Compromise, a Reply to Moss",2013
MAYEPA-2,Simon C\u{a}bulea May,Epistemic Peerhood and Moral Compromise,forthcoming
OLSDCA,Dustin Olson,"David Christensen and Jennifer Lackey, Eds. , the Epistemology of Disagreement: New Essays . Reviewed By",2015
ALOPHT,I. Alon,Peer-to-Peer: Harnessing the Power of Disruptive Technologies,2001
GOWMVA,Christopher W. Gowans,Moral Virtue and the Epistemology of Disagreement,2010
BRSDOB,"Peter Br\""{o}ssel and Anna{-}Maria Asunta Eder",Disagreement,forthcoming
TURUTR-2,Greta Turnbull LaFore,Uncovering the Roots of Disagreement,2019
