ID,Author,Title,Year
GREWIA-8,E. J. Green and Jake Quilty{-}Dunn,What is an Object File?,2021
MACIM,Fiona Macpherson,Cognitive Penetration of Colour Experience: Rethinking the Issue in Light of an Indirect Mechanism,2011
PYLIVC,Zenon Pylyshyn,Is Vision Continuous with Cognition?: The Case for Cognitive Impenetrability of Visual Perception,1999
Dunn2019-QUIPP-3,Jake Quilty{-}Dunn,Perceptual Pluralism,2019
SIEWPA,Susanna Siegel,Which Properties Are Represented in Perception,2006
STOCPO,Dustin Stokes,Cognitive Penetrability of Perception,2013
BECMTP,Jacob Beck,Marking the Perception?Cognition Boundary: The Criterion of Stimulus-Dependence,2018
CHADTR,David J. Chalmers,Does Thought Require Sensory Grounding? From Pure Thinkers to Large Language Models,2023
CRATNC,Tim Crane,The Nonconceptual Content of Experience,1992
DRECE,Fred Dretske,Conscious Experience,1993
STOSAD,Dustin Stokes,Perceiving and Desiring: A New Look at the Cognitive Penetrability of Experience,2012
TUCSAJ-2,Chris Tucker,Seemings and Justification: New Essays on Dogmatism and Phenomenal Conservatism,2013
GRETPB-5,E. J. Green,The Perception-Cognition Border: A Case for Architectural Division,2020
RAFCAP,Athanassios Raftopoulos,Cognition and Perception: How Do Psychology and Neural Science Inform Philosophy?,2009
SACIAT,Carl B. Sachs,Intentionality and the Myths of the Given: Between Pragmatism and Phenomenology: Between Pragmatism and Phenomenology,2014
DREPKA-3,Fred I. Dretske,"Perception, Knowledge and Belief: Selected Essays",2000
HELRII-3,Grace Helton,Recent Issues in High-Level Perception,2016
HAFCIV,Alon Hafri and E. J. Green and Chaz Firestone,Compositionality in Visual Perception,2023
STOAAT-11,Dustin Stokes,Attention and the Cognitive Penetrability of Perception,2018
STOCPA-3,Dustin Stokes,Cognitive Penetration and the Perception of Art (Winner of 2012 Dialectica Essay Prize),2014
REIESA-3,Indrek Reiland,"Experience, Seemings, and Evidence",2015
MCGPCA,Matthew McGrath,Phenomenal Conservatism and Cognitive Penetration: The Bad Basis Counterexamples,2013
HELVPT,Grace Helton,Visually Perceiving the Intentions of Others,2018
STOTAP-8,Dustin Stokes,Thinking and Perceiving: On the Malleability of the Mind,2021
BECBPA-2,Jacob Beck,Between Perception and Thought,forthcoming
Dunn2020-QUIAAE,Jake Quilty{-}Dunn,Attention and Encapsulation,2020
STOOPE,Dustin Stokes,On Perceptual Expertise,2020
SMIWIT-6,Declan Smithies,What is the Role of Consciousness in Demonstrative Thought?,2011
Dunn2019-QUIIIM,Jake Quilty{-}Dunn,Is Iconic Memory Iconic?,2019
WATTPD-3,Sebastian Watzl and Kristoffer Sundberg and Anders Nes,The Perception/Cognition Distinction,2021
LANMS-2,Kevin Lande,Mental Structures,2020
LANCOV,Kevin J. Lande,Contours of Vision: Towards a Compositional Semantics of Perception,forthcoming
TOLS,William Tolhurst,Seemings,1998
Dunn2021-QUIPAA-13,Jake Quilty{-}Dunn and E. J. Green,Perceptual Attribution and Perceptual Reference,2021
SHEDTF,Nicholas Shea,Distinguishing Top-Down From Bottom-Up Effects,2014
Dunn2016-QUIIAT,Jake Quilty{-}Dunn,Iconicity and the Format of Perception,2016
CECCPP,Ariel S. Cecchi,"Cognitive Penetration, Perceptual Learning and Neural Plasticity",2014
GRECWP,E. J. Green,Can We Perceive the Past?,forthcoming
Dunn2015-QUIBIP-2,Jake Quilty{-}Dunn,Believing in Perceiving: Known Illusions and the Classical Dual-Component Theory,2015
HUEEAB,Michael Huemer,Epistemological Asymmetries Between Belief and Experience,2013
REIOEM,Indrek Reiland,On Experiencing Meanings,2015
HATPAC,Gary Carl Hatfield,Perception and Cognition: Essays in the Philosophy of Psychology,2009
LYOIAC,Jack C. Lyons,Inferentialism and Cognitive Penetration of Perception,2016
GOOTOI-4,Rachel Goodman,Trading on Identity and Singular Thought,2022
NESPNM,Anders Nes,Perception Needs Modular Stimulus-Control,2023
LYOPBA,Jack Lyons,Perceptual Belief and Nonexperiential Looks,2005
NESOWW,Anders Nes,On What We Experience When We Hear People Speak,2016
HOPHOS,Walter Hopp,"Husserl on Sensation, Perception, and Interpretation",2008
