ID,Author,Title,Year
MARLSA-15,Neri Marsili,"Lying, Speech Acts, and Commitment",2020
POTTED,Christopher Potts,The Expressive Dimension,2007
AUSPU,J. L. Austin,Performative Utterances,1961
CAPUTW-2,Laura Caponetto,Undoing Things with Words,2018
MARAAP-33,Neri Marsili and Mitchell Green,Assertion: A (Partly) Social Speech Act,2021
MARLCG-2,Neri Marsili,"Lies, Common Ground and Performative Utterances",2021
AYASAA,Saray Ayala,Speech Affordances: A Structural Take on How Much We Can Do with Our Words,2016
MCGCES,Mary Kate Mcgowan,Conversational Exercitives: Something Else We Do with Our Words,2004
GREIFA,Mitchell S. Green,Illocutionary Force and Semantic Content,2000
CAROP-3,Fabrizio Cariani,On Predicting,forthcoming
NINTPA,Dilip Ninan,Two Puzzles About Deontic Necessity,2005
BLOBTG-4,Vincent Blok,Bridging the Gap Between Individual and Corporate Responsible Behaviour: Toward a Performative Concept of Corporate Codes,2017
MARLAI-9,Neri Marsili,Lying and Insincerity,forthcoming
BACPAS,Kent Bach,Performatives Are Statements Too,1975
BEDMPI,Bob Beddor,Moorean Promises,forthcoming
HARWUM,Rebecca E. Harrison and Kai Tanter,Whose Uptake Matters? Sexual Refusal and the Ethics of Uptake,2024
BERTFO-50,Karl Bergman and Nils Franzen,The Force of Fictional Discourse,2022
MASIAS,Rosja Mastop,Imperatives as Semantic Primitives,2011
Altshuler2024-MELPBL,Susanna Melkonian{-}Altshuler,Political Bald-Faced Lies Are Performative Utterances,2024
WITHTE,Maciej Witek,How to Establish Authority with Words: Imperative Utterances and Presupposition Accommodation,2013
WITMOI,Maciej Witek,Mechanisms of Illocutionary Games,2015
POTEAI,Christopher Potts and Ash Asudeh and Yurie Hara and Eric McCready and Martin Walkow and Luis Alonso{-}Ovalle and Rajesh Bhatt and Christopher Davis and Angelika Kratzer and Tom Roeper,Expressives and Identity Conditions,2009
GINP,Carl Ginet,Performativity,1979
HAUTHA-2,Philipp Haueis and Jan Slaby,The Humanities as Conceptual Practices: The Formation and Development of High-Impact Concepts in Philosophy and Beyond,2022
Armstrong1994-SINTTO-2,Walter Sinnott{-}Armstrong,The Truth of Performatives,1994
BORAPI,"Steven E. Bo\""{e}r and William G. Lycan",A Performadox in Truth-Conditional Semantics,1980
SMIHTD-2,J. P. Smit and Filip Buekens,How to Do Things Without Words - a Theory of Declarations,2017
MKIPSA,"Uskali M\""{a}ki",Performativity: Saving Austin From Mackenzie,2013
WITTAT,Maciej Witek,Three Approaches to the Study of Speech Acts,2013
CORFUE,Moritz Cordes,"Freges Urteilslehre. Ein in der Logik Vergessenes Lehrst\""{u}ck der Analytischen Philosophie",2014
PREFTE,Stefano Predelli,From the Expressive to the Derogatory : On the Semantic Role for Non-Truth-Conditional Meaning,2009
RIECIA,Steven Rieber,Conventional Implicatures as Tacit Performatives,1997
REIGAR-2,Jaakko Reinikainen,Gender Ascriptions Reconsidered,2024
VANRTP-6,Peter van Elswyk,Reviving the Performative Hypothesis?,2021
NELECR,Tobin Nellhaus,Embodied Collective Reflexivity: Peircean Performatives,2017
SESP,Alexander Sesonske,Performatives,1965
SZAMTS,Anna Szabolcsi,Model Theoretic Semantics of Performatives,1982
MURIRB,Anantharaman Muralidharan and G. Owen Schaefer,Institutional Review Boards and Public Justification,2022
CLMRRT,Thomas Cl\'{e}ment Mercier,?Rideaux Rouges?: The Scene of Ideology and the Closure of Representation,2022
TSOPAT-4,Savas L. Tsohatzidis,Performativity and the 'True/False Fetish',2017
