ID,Author,Title,Year
HOLPIA,Nils Holtug,"Persons, Interests, and Justice",2010
MATBIT-2,Benjamin Matheson,Blameworthiness is Terminable,forthcoming
JOHTPP-5,Mark Johnston,The Personite Problem: Should Practical Reason Be Tabled?,2016
ADAPAA-2,Agnieszka K. Adamczyk and Przemys\l{}aw Zawadzki,Personality and Authenticity in Light of the Memory-Modifying Potential of Optogenetics: A Reply to Objections About Potential Therapeutic Applicability of Optogenetics,2021
BRIPFT,David O. Brink,Prospects for Temporal Neutrality,2011
ADATMP-2,Agnieszka K. Adamczyk and Przemys\l{}aw Zawadzki,The Memory-Modifying Potential of Optogenetics and the Need for Neuroethics,2020
PARC-2,Derek Parfit,Comments,1986
KOWEOV-3,Michael Kowalik,Ethics of Vaccine Refusal,2021
ZAWTRO,Przemys\l{}aw Zawadzki,"To Remember, or Not to Remember? Potential Impact of Memory Modification on Narrative Identity, Personal Agency, Mental Health, and Well-Being",2021
MILPND-2,Kristie Miller,Personal-Identity Non-Cognitivism,forthcoming
BRIREA,David O. Brink,Rational Egoism and the Separateness of Persons,1997
SCHKUT-8,Karl Schafer,Kant Under the Bodhi Tree: Anti-Individualism in Kantian Ethics,forthcoming
BLAANE-3,Stephan Blatti and Paul F. Snowdon,"Animalism: New Essays on Persons, Animals, and Identity",2016
YARSFD,Alper Bilgehan Yard\i{}mc\i,Sinoplu Filozof Diogenes (Diyojen) Ve Etik Anlay\i\c{s}i,2018
LAISEW,Arto Laitinen,Strong Evaluation Without Moral Sources. On Charles Taylor?s Philosophical Anthropology and Ethics,2008
MATTAS-2,Benjamin Matheson,Towards a Structural Ownership Condition on Moral Responsibility,2019
PHIATP-3,Edgar Phillips,"Addressing the Past: Time, Blame and Guilt",2022
PUMTLA,Theron Pummer,The Worseness of Nonexistence,2019
THOCVB-3,Elliott Thornley,"Critical-Set Views, Biographical Identity, and the Long Term",forthcoming
HIDPOB,Javier Hidalgo,Parfitian or Buddhist Reductionism? Revisiting a Debate About Personal Identity,2024
SHOPIA-3,David Shoemaker,Personal Identity and Ethics: A Brief Introduction,2008
ZAWTEO,Przemys\l{}aw Zawadzki,"The Ethics of Memory Modification: Personal Narratives, Relational Selves and Autonomy",2022
JACSRA-2,Hanne Jacobs,"Socialization, Reflection, and Personhood",2016
SUIPOP,Jussi Suikkanen,Parfit on Personal Identity and Ethical Theories,forthcoming
BRITSO-15,David Brink,"The Separateness of Persons, Distributive Norms, and Moral Theory",1993
TAYTFP,A. P. Taylor,The Frustrating Problem for Four-Dimensionalism,2013
RUSWPA,Andrew Russo,Worm-Theoretic Persistence and Temporal Predication,2022
FINETB-2,Bronwyn Finnigan,Examining the Bodhisattva's Brain,2014
SHOU,David W. Shoemaker,Selves and Moral Units,1999
JOHAE-4,Jens Johansson,Animal Ethics,2016
SCHRIP,Robert Schroer,Reductionism in Personal Identity and the Phenomenological Sense of Being a Temporally Extended Self,2013
MCKEAT-3,Dennis McKerlie,Egalitarianism and the Separateness of Persons,1988
LONICP,Michael Tze{-}Sung Longenecker,Is Consequentialist Perdurantism in Moral Trouble?,2020
GREPPS-2,Mark E. Greene,"Persons, Person Stages, Adaptive Preferences, and Historical Wrongs",2023
MILARC,Kristie Miller,Assessor Relative Conativism,2024
ANDTPL,Joel Anderson,"The Personal Lives of Strong Evaluators: Identity, Pluralism, and Ontology in Charles Taylor's Value Theory",1996
MILPAP-22,Kristie Miller and Caroline West,Prudence and Perdurance,2008
TEMIAT-2,Larry S. Temkin,Intransitivity and the Person-Affecting Principle: A Response,1999
PUMDDM,Theron Pummer,Does Division Multiply Desert?,2014
STEWID-2,Bastian Steuwer,"Why It Does Not Matter What Matters: Relation R, Personal Identity, and Moral Theory",2020
SHORC,David W. Shoemaker,Reductionist Contractualism: Moral Motivation and the Expanding Self,2000
SEBTJS,Jeff Sebo,The Just Soul,2015
TEMIAT-8,Larry S. Temkin,Intransitivity and the Person-Affecting Principle,1999
CILTFO,Paul Cilliers and Tanya de Villiers and Vasti Roodt,The Formation of the Self. Nietzsche and Complexity,2002
DIGLLA,James DiGiovanna,Literally Like a Different Person: Context and Concern in Personal Identity,2015
EKLWCI,Matti Eklund,Who Cares If We?Re Not Fully Real? Comments on Kris Mcdaniel?s the Fragmentation of Being,2022
ALSTCN,Rayan Alsuwaigh and Lalit K. R. Krishna,The Compensatory Nature of Personhood,2014
MONMGP,Bradley Monton,Morality Grounds Personal Identity,2014
COHAOT-2,Daniel Cohnitz and Barry Smith,Assessing Ontologies: The Question of Human Origins and its Ethical Significance,2003
MACMTO-3,Piotr Machura,"Moral Topography of Memory, Time Control and Accumulation of Identity",2022
BOETL,Ruth Boeker,"Teaching \& Learning Guide For: Shaftesbury on Persons, Personal Identity and Character Development",2020
MIGGFT,Damiano Migliorini,"Gender, Filosofie, Teologie. La Complessit\`a Contro Ogni Ideologia",2017
BOECDI-3,Ruth Boeker,Character Development in Shaftesbury?s and Hume?s Approaches to Self,2022
SETPRU,Sascha Settegast,"Parfits Reduktionismus Und Die M\""{o}glichkeit Struktureller Einheit: Vorarbeiten Zu Einer Aristotelischen Theorie Personaler Identit\""{a}t",2018
SEVHPA,Sukran Sevimli,Healthcare Professionals Acting Ethically Under the Risk of Stigmatization and Violence During Covid-19 From Media Reports in Turkey,2020
ECOAIT,Josep E. Corbi,Agency in the Space of Reasons. A Comment on \emph{the Castle},2021
GRELMD-3,Lorenzo Greco,L'io Morale: David Hume e l'Etica Contemporanea,2008
SHODPA,David W. Shoemaker,Disintegrated Persons and Distributive Principles,2002
MORBBA-2,Emilio Mordini and Sonia Massari,"Body, Biometrics and Identity",2008
GRETIO-2,Mark Greene,The Indeterminacy of Loss,2008
HUGDMM-4,Julian Hughes and Stephen Louw and Steven R. Sabat,"Dementia: Mind, Meaning, and the Person",2005
ROVAAT,Carol Rovane,Alienation and the Alleged Separateness of Persons,2004
CorcueraForthcoming-MUOSLR,Alfonso Mu\~{n}oz{-}Corcuera,Sobre la Relaci\'{o}n Entre la Responsabilidad Moral y la Identidad Personal: Un Argumento a Favor de Las Teor\'{i}as Cuatridimensionalistas,forthcoming
SAUMEA-2,Andrea Sauchelli,Metaphysical Egoism and Personal Identity,2022
CURTNN,Benjamin L. Curtis,There?s No Need to Rethink Desert: A Reply to Pummer,2015
ZWOPAT,Matt Zwolinski,Person-Neutrality and the Separateness of Persons,2003
HARBEA-7,Stephen Harris,Buddhist Ethics and the Bodhisattva Path: \'{S}={a}ntideva on Virtue and Well-Being (1st edition),2023
THOBAS,David L. Thompson,"Becoming a Self: The Past, Present and Future of Selfhood",forthcoming
LAZBFT,Mark Lazenby,Being Faithful to the Personhood of Patients,2014
ADARAM,E. M. Adams,Rationality and Morality,1993
HARWOI,James G. Hart,"Who One is , Book 1: A Meontology of the ""I""",2009
GALPMI-5,Shaun Gallagher and Francisco Varela,Przerysowa\'c Map\ke I Przestawi\'c Czas: Fenomenologia I Nauki Kognitywne,2010
KOVTEI,Guszt\'{a}v Kov\'{a}cs,Thought Experiments in Ethics,2021
BURMLI,Rufus Burrow,Moral Laws in Borden P. Bowne's Principles of Ethics,1990
BIARAP,Pierfrancesco Biasetti,Rights and Persons,2018
GILAPP-3,Bennett Gilbert,A Personalist Philosophy of History,2019
BRAAAE-4,Judith Bradford,Amelioration and Expansion: Borden Parker Bowne on Moral Theory and Moral Change,1997
NORARA-2,Alastair Norcross,"Aggregation, Rights, and the Separateness of Persons",2006
BLAAAT,Sam Black,Altruism and the Separateness of Persons,2001
HERRIN-2,Ori J. Herstein,Responsibility in Negligence: Discussion of 'From Normativity to Responsibility',forthcoming
GILCTB-4,Bennett Gilbert,Consider the Bristlecone Pine,2022
JECTHN,Alexander Jech,The Hurricane Notebook: Three Dialogues on the Human Condition,2019
CLAPVM,Anne Dinshah and H. Jay Dinshah and Maynard Clark and Maynard S. Clark,"Powerful Vegan Messages: Out of the Jungle for the Next Generation (a Side We Didn?T See or Hear, Chapter)",2014
ROSAWY,Jacob Ross,"Any Way You Slice It: On Fission, Fusion and the Weighing of Welfare",
GREIPC,Lorenzo Greco,"Identit\`a Personale, Carattere e Virt\`u: Eugenio Lecaldano e Il Soggetto Morale",2010
GURCVO,Marek Gurba,Can Views on Personal Identity Be Neutral About Ethics?,manuscript
DIASI-2,Mihailis E. Diamantis,Successor Identity,2019
NEKDPC,A. Nekhaev,Derek Parfit: Concern of No One as Myself,2018
Gharbi2019-ALGRAS,Musa Al{-}Gharbi,Resistance as Sacrifice: Towards an Ascetic Antiracism,2019
FROZAP,Ga\v{s}par Fronc,Zodpovednos\vt Ako Predpoklad Re\'{a}lnej Slobody,2020
NEKEDI,Andrei Nekhaev,English Derby in Philosophy: John Locke Versus Derek Parfit,2019
