ID,Author,Title,Year
Ponty1945-MERPOP-7,Maurice Merleau{-}Ponty,Phenomenology of Perception,1945
COLTFB-2,Giovanna Colombetti,The Feeling Body: Affective Science Meets the Enactive Mind,2013
KRUMOS,Joel Krueger,Merleau-Ponty on Shared Emotions and the Joint Ownership Thesis,2013
SPITPM,Herbert Spiegelberg,The Phenomenological Movement,1965
GUESCS,Lisa Guenther,Solitary Confinement: Social Death and its Afterlives,2013
Saji2014-ALSAPO-3,Alia Al{-}Saji,A Phenomenology of Hesitation: Interrupting Racializing Habits of Seeing,2014
YOUTLA,Iris Marion Young,Throwing Like a Girl: A Phenomenology of Feminine Body Comportment Motility and Spatiality,1980
KAUPAI-4,"Stephan K\""{a}ufer and Anthony Chemero",Phenomenology: An Introduction,2015
ELPAIH,Andreas Elpidorou and Lauren Freeman,Affectivity in Heidegger I: Moods and Emotions in Being and Time,2015
DINMA-2,Roy Dings,Meaningful Affordances,2020
BYRHTO,Thomas Byrne,Husserl?s Theory of Signitive and Empty Intentions in Logical Investigations and its Revisions: Meaning Intentions and Perceptions,2020
LANMAT-7,Donald A. Landes,Merleau-Ponty and the Paradoxes of Expression,2013
RAMFGM,Maxwell J. D. Ramstead and Anil K. Seth and Casper Hesp and Lars Sandved{-}Smith and Jonas Mago and Michael Lifshitz and Giuseppe Pagnoni and Ryan Smith and Guillaume Dumas and Antoine Lutz and Karl Friston and Axel Constant,From Generative Models to Generative Passages: A Computational Approach to (Neuro) Phenomenology,2022
KRUDSP,Joel Krueger,Direct Social Perception,2018
BERTJF,Philipp Berghofer,The Justificatory Force of Experiences: From a Phenomenological Epistemology to the Foundations of Mathematics and Physics,2022
DOLTBA-2,Luna Dolezal,"The Body and Shame: Phenomenology, Feminism, and the Socially Shaped Body",2015
REYPNA,Jack Reynolds,"Phenomenology, Naturalism and Science: A Hybrid and Heretical Proposal",2017
ZAHIEA,Dan Zahavi,"Internalism, Externalism, and Transcendental Idealism",2008
RICAEI-5,Louise Richardson,Absence Experience in Grief,2022
JANPPE,Jan Hal\'{a}k and Petr K\v{r}'i\vz,Phenomenological Physiotherapy: Extending the Concept of Bodily Intentionality,2022
HEYAOE,Cressida J. Heyes,Anaesthetics of Existence: Essays on Experience at the Edge,2020
ORTILF,Mariana Ortega,In Between P,2016
