ID,Author,Title,Year
ASMESM,Elizabeth Asmis,Epicurus' Scientific Method,1984
TSOTEO-3,Voula Tsouna,The Ethics of Philodemus,2007
FISEAT,Jeffrey Fish and Kirk R. Sanders,Epicurus and the Epicurean Tradition,2011
BARPT,Jonathan Barnes and Miriam T. Griffin,Philosophia Togata,1997
WARTCC-7,James Warren,The Cambridge Companion to Epicureanism,2009
OEAF,Tim O'Keefe,Epicurean Advice for the Modern Consumer,2020
WARRF,James Warren,Removing Fear,2009
FISNAP,Jeffrey Fish,Not All Politicians Are Sisyphus: What Roman Epicureans Were Taught About Politics,2011
TSOPOP,Voula Tsouna,"Philodemus, on Property Management",2012
PHIPOA-7,David Armstrong and Michael McOsker,"Philodemus, on Anger",2020
TSOPSA,Voula Tsouna,"Philodemus, Seneca and Plutarch on Anger",2011
BARES-2,Jonathan Barnes,Epicurean Signs,1988
TSOLET,Voula Tsouna,Epicurean Therapeutic Strategies,2009
PHIOCA,Giovanni Indelli and Voula Tsouna{-}McKirahan,Philodemus: On Choices and Avoidances,1995
CLAPAS-4,Diskin Clay,Paradosis and Survival: Three Chapters in the History of Epicurean Philosophy,1998
HENPOD,W. B. Henry,"Philodemus, on Death",2009
DELPOM-2,Phillip Howard De Lacy and Estelle Allen De Lacy,Philodemus: On Methods of Inference,1942
STOEI,J. L. Stocks,Epicurean Induction,1925
WRIEWE,Bill Wringe,"Epicurean Wills, Empty Hopes, and the Problem of Post Mortem Concern",2016
ROS_UO-9,Geert Roskam,Live Unnoticed : On the Vicissitudes of an Epicurean Doctrine,2007
OKETEO-2,Tim O'Keefe,"The Epicureans on Happiness, Wealth, and the Deviant Craft of Property Management",2016
DELMAM-2,Estelle Allen De Lacy,Meaning and Methodology in Hellenistic Philosophy,1938
GORTIA-3,Pamela Gordon,The Invention and Gendering of Epicurus,2012
OLWF,Tim O'Keefe,Achieving Tranquility: Epicurus on Living Without Fear,2025
OBBPAP-2,Dirk Obbink,"Philodemus and Poetry: Poetic Theory and Practice in Lucretius, Philodemus, and Horace",1995
PHITEO-4,David Sider,"The Epigrams of Philodemos: Introduction, Text, and Commentary",1997
ASMEP-2,Elizabeth Asmis,Epicurean Poetics,1995
LONRTJ-2,A. A. Long,"Reply to Jonathan Barnes,?Epicurean Signs?",1988
MCCTEV,Sean McConnell,The Epicurean Virtue of ?\ensuremath{\epsilon}\ensuremath{\gamma}\ensuremath{\alpha}\ensuremath{\lambda}?\ensuremath{\psi}\ensuremath{\upsilon}\ensuremath{\chi}\ensuremath{\iota}\ensuremath{\alpha},2017
SEDEIT,David Sedley,Epicureanism in the Roman Republic,2009
PHIPOP,Dirk Obbink,"Philodemus on Piety: Part 1, Critical Text with Commentary",1996
FITPAT-2,John Thomas Fitzgerald and Dirk D. Obbink and Glenn Stanfield Holland,Philodemus and the New Testament World,2004
PHIOMO,Phillip Howard de Lacy and Estelle Allen de Lacy,Philodemus: On Methods of Inference,1978
ARMHE,David Armstrong,Horace's Epistles 1 and Philodemus,2004
GIGVIT,Marcello Gigante,Vergil in the Shadow of Vesuvius,2004
BAIPFS,Cyril Bailey,"Philodemus F. Sbordone: Philodemi Adversus [Sophistas]. Pp. Xv+183. Naples: L. Loffredo, 1947. Paper. L. 550",1948
MCCEOK,Sean McConnell,Epicureans on Kingship,2010
WURPOG,Sonya Wurster,Philodemus of Gadara,2017
WARI-2,James Warren,Introduction,2009
NIJTES-2,Wim Nijs,The Epicurean Sage in the Ethics of Philodemus,2023
CANCPU-3,Francesco Cannizzaro,"\emph{Capaneus Philosophus}? Una Nota Su Zenone, Filodemo, Stazio (e Lucrezio)",forthcoming
ARMEVE,David Armstrong,"Epicurean Virtues, Epicurean Friendship: Cicero Vs. The Herculaneum Papyri",2011
BETLSP,Simone Beta,"Lysianassa's Skills: Philodemus, Anth. Pal. 5.126 (= Sider 22)",2007
FERPIT-6,F. Ferrari,Platonism in the Writings of Philodemus-Writing the History of the Platonic Academy,1993
MACPOP-9,Jacob L. Mackey,"Philodemus: On Poems, Books 3?4. With the Fragments of Aristotle, on Poets by Richard Janko (Review)",2013
WIGEAI,Michael Wigodsky,Emotions and Immortality in Philodemus on the Gods 3 and the Aeneid,2004
SOLPOM,Friedrich Solmsen and Phillip Howard De Lacy and Estelle Allen De Lacy,Philodemus: On Methods of Inference,1942
JOHIVA,Patricia A. Johnston,Piety in Vergil and Philodemus,2004
SANPAT-5,Kirk R. Sanders,Philodemus and the Fear of Premature Death,2011
GIGRF,Marcello Gigante,Ricerche Filodemee,1969
ASMAES-2,Elizabeth Asmis,An Epicurean Survey of Poetic Theories,1992
MCKVAT,Alexander G. McKay,Vergil and the Garden,1999
