ID,Author,Title,Year
MICI-23,Kristin M. Mickelson,(In)Compatibilism,2023
DALIDO,Chris Daly and David Liggins,In Defence of Error Theory,2010
ANDHIE,James Andow,How ?Intuition? Exploded,2015
HANSQ,Nat Hansen and Kathryn B. Francis and Hamish Greening,Socratic Questionnaires,2024
FISLSS-2,Eugen Fischer and Paul E. Engelhardt,Lingering Stereotypes: Salience Bias in Philosophical Argument,2019
CONI-25,Filippo Contesi and Enrico Terrone,"Introduction to ""Linguistic Justice and Analytic Philosophy""",2018
CONUBO,Louise Chapman and Filippo Contesi and Constantine Sandis,Unconscious Bias or Deliberate Gatekeeping?,2021
MOLPAL,Friederike Moltmann,Philosophical and Linguistic Intuitions and the Core-Periphery Distinction,forthcoming
PAVRAP,Carlotta Pavese,Reasoning and Presuppositions,2021
HAUTHA-2,Philipp Haueis and Jan Slaby,The Humanities as Conceptual Practices: The Formation and Development of High-Impact Concepts in Philosophy and Beyond,2022
BEBDCA,Jon Bebb,Demarcating Contextualism and Contrastivism,2022
CORAOP-4,Moritz Cordes,Analysis of (')Pseudoproblems('),2019
TORMEI-2,Enver Torregroza and \'{O}scar Quintero{-}Ocampo,Metaforolog\'{i}a e Inconceptuabilidad. Hans Blumenberg y El Lugar Olvidado de la Met\'{a}fora En la Formaci\'{o}n de Conceptos,2023
AUMKOI,Antony Aumann,"Kierkegaard on Indirect Communication, the Crowd, and a Monstrous Illusion",2010
KLITMO,Gyula Klima,Three Myths of Intentionality Versus Some Medieval Philosophers,2013
BRORQI,Lajos Brons,"Recognizing ""Truth"" in Chinese Philosophy",2016
AUMKOT,Antony Aumann,Kierkegaard on the Need for Indirect Communication,2008
GITTMD,Chrysoula Gitsoulis,The Moral Dimension of Wittgenstein?s Philosophical Method,2007
HAZMAM-2,Tristan Grotvedt Haze,Meaning and Metaphysical Necessity,2022
JOLHSP-2,Nicholas Joll,"How Should Philosophy Be Clear? Loaded Clarity, Default Clarity, and Adorno",2009
SANHDA,Sergeiy Sandler,"Habermas, Derrida, and the Genre Distinction Between Fiction and Argument",2007
AUMTRB,Antony Aumann,The Relationship Between Aesthetic Value and Cognitive Value,2014
AUMKPA,Antony Aumann,"Kierkegaard, Paraphrase, and the Unity of Form and Content",2013
SUNL,Sebastian Sunday Gr\`{e}ve,Logic,2017
NIXEAM,Gregory Nixon,Education as Mythic Image,2002
LYNBTW-2,Michael P. Lynch,Beyond the Walls of Reason,1999
GIBPAA-2,Ben Gibran,Philosophy as a Private Language,2012
SGATII-2,Daniele Sgaravatti,The ?If? in the ?What If?,2019
KELWCW-2,JohnChristopher Adorno Keller,What Can We Learn About Language From Thinking About Philosophy?,2007
MCHPWA-2,Fergal Mchugh,Putnam Writing: Argumentative Pluralism and American Irony,2014
BROGDW,Joachim Bromand,Grenzen des Wissens,2009
GRIDWS,Elisa Grimi,"Dopo Wittgenstein, San Tommaso. [Original Text: Apr\`{e}s Wittgenstein, Saint Thomas, P.U.F., Paris 1997, 2a Ed., Vrin, Paris 2014]. With a Critical Introduction.",2017
DEBTOI,Ulrich De Balbian,Types of Intersubjectivity and Alternative Reality Images,2017
MILOME-2,Andrew Milward,Opposition,2022
STAROT-25,Starks Michael,Review of 'Tractatus Logico Philosophicus' by Ludwig Wittgenstein (1922),2016
STAROD-6,Michael Starks,Review of Drifted in the Deeper Land by Adi da (Franklin Jones) (2014),2016
STAROU,Michael Starks,Review of Understanding Wittgenstein's on Certainty by Daniele Moyal-Sharrock (2007),2016
ABELNA,Andrew Aberdein,"Leonard Nelson: A Theory of Philosophical Fallacies: Translated by Fernando Leal and David Carus Springer, Cham, Switzerland, 2016, Vi + 211 Pp",2017
MATCBT-3,Cica Mateo,"Connections Between the Collatz-Problem (3N+1), Philosophy and Linguistics",manuscript
HORMAM,Paul Horwich,Meaning and Metaphilosophy,1993
