ID,Author,Title,Year
CHAERI-3,Robert Chapman and Alison Wylie,Evidential Reasoning in Archaeology,2016
CLEMAE,Carol E. Cleland,Methodological and Epistemic Differences Between Historical Science and Experimental Science,2002
WYLAPO-2,Alison Wylie,A Plurality of Pluralisms: Collaborative Practice in Archaeology,2015
WYLTFT-2,Alison Wylie,Thinking From Things: Essays in the Philosophy of Archaeology,2002
WYLHAE,Alison Wylie,How Archaeological Evidence Bites Back: Strategies for Putting Old Data to Work in New Ways,2017
CURNMA-2,Adrian Mitchell Currie,"Narratives, Mechanisms and Progress in Historical Science",2014
WYLRUA,Alison Wylie,"Rethinking Unity as a ""Working Hypothesis"" for Philosophy: How Archaeologists Exploit the Disunities of Science",1999
CURFTT,Adrian Currie and Anton Killin,From Things to Thinking: Cognitive Archaeology,2019
KILHWI,Anton Killin and Ross Pain,How Weird is Cognitive Archaeology? Engaging with the Challenge of Cultural Variation and Sample Diversity,2023
KILCAA,Anton Killin and Ross Pain,Cognitive Archaeology and the Minimum Necessary Competence Problem,2023
MILMCA-4,Daniel Miller,Material Culture and Mass Consumption,1987
CURPMP,Adrian Currie and Anton Killin and Mathilde Lequin and Andra Meneganzin and Ross Pain,"Past Materials, Past Minds: The Philosophy of Cognitive Paleoanthropology",2024
JEFTTR-2,Ben Jeffares,Testing Times: Regularities in the Historical Sciences,2008
KOSKTP,Peter Kosso,Knowing the Past: Philosophical Issues of History and Archaeology,2001
WYLCD,Alison Wylie,Critical Distance : Stabilising Evidential Claims in Archaeology,2011
KNAMAT,Carl Knappett and Lambros Malafouris,Material Agency: Towards a Non-Anthropocentric Approach,2007
STEAA-10,Jakub Stejskal,Aesthetic Archaeology,2021
XHIIDG,Michel{-}Antoine Xhignesse,Imagining Dinosaurs,forthcoming
TUCACT-5,Aviezer Tucker,A Companion to the Philosophy of History and Historiography,2008
JEFTCO-2,Ben Jeffares,The Co-Evolution of Tools and Minds: Cognition and Material Culture in the Hominin Lineage,2010
TOMVAW,Tomomi Nakagawa and Hisashi Nakao and Kohei Tamura and Yui Arimatsu and Naoko Matsumoto and Takehiko Matsugi,Violence and Warfare in Prehistoric Japan,2017
PAIWCT,Ross Pain,What Can the Lithic Record Tell Us About the Evolution of Hominin Cognition?,2019
WYLCCA,Alison Wylie,Community-Based Collaborative Archaeology,2014
CUREAT-2,Adrian Currie,"Ethnographic Analogy, the Comparative Method, and Archaeological Special Pleading",2016
NAK-4,Tomomi Nakagawa and Hisashi Nakao and Kohei Tamura and Yuji Yamaguchi and Naoko Matsumoto and Takehiko Matsugi,??????????????????????????Prehistoric Warfare in the Middle Phase of the Yayoi Period in Japan : Human Skeletal Remains and Demography?,2019
SUTMAS-2,John Sutton,"Material Agency, Skills, and History: Distributed Cognition and the Archaeology of Memory",2007
DECTRO,Helen De Cruz and Johan De Smedt,The Role of Intuitive Ontologies in Scientific Understanding ? the Case of Human Evolution,2007
NAKVAC,Hisashi Nakao,"Violence and Climate Change in the Jomon Period, Japan",2020
LUCUTA,Gavin Lucas,Understanding the Archaeological Record,2012
WYLTRA,Alison Wylie,The Reaction Against Analogy,1985
SHEVAR,Cameron Shelley,Visual Abductive Reasoning in Archaeology,1996
JEFGTF,Ben Jeffares,"Guessing the Future of the Past: Derek Turner, Making Prehistory: Historical Science and the Realism Debate. Cambridge University Press, Cambridge, Uk, 2007",2010
CHAHST-3,Manjari Chakrabarty,How Stone Tools Shaped Us: Post-Phenomenology and Material Engagement Theory,2019
HODRTP,Ian Hodder,Reading the Past: Current Approaches to Interpretation in Archaeology,1991
THOTCA-2,Julian Thomas,"Time, Culture, and Identity: An Interpretative Archaeology",1996
STEMOO-4,Jakub Stejskal,Monumental Origins of Art History: Lessons From Mesopotamia,forthcoming
LOPDIA,Dominic McIver Lopes,Drawing in a Social Science: Lithic Illustration,2009
SHASTA,Michael Shanks,Social Theory and Archaeology,1987
SHARAT,Michael Shanks,Re-Constructing Archaeology: Theory and Practice,1987
NAKVIT-2,Hisashi Nakao and Kohei Tamura and Yui Arimatsu and Tomomi Nakagawa and Naoko Matsumoto and Takehiko Matsugi,Violence in the Prehistoric Period of Japan: The Spatio-Temporal Pattern of Skeletal Evidence for Violence in the Jomon Period,2016
WYLIDA,Alison Wylie,Introduction: Doing Archaeology as a Feminist,2007
GOOCAN-2,Matthew R. Goodrum,"Crafting a New Science: Defining Paleoanthropology and its Relationship to Prehistoric Archaeology, 1860?1890",2014
KILMPM,Anton Killin,"Music Pluralism, Music Realism, and Music Archaeology",2019
MITMBA-2,Steven Mithen,"Mind, Brain and Material Culture: An Archaeological Perspective",2000
SALPAA-2,Merrilee H. Salmon,Philosophy and Archaeology,1982
WYLAFI,Alison Wylie,Archaeological Facts in Transit: The ?Eminent Mounds? of Central North America,2010
KILEIA-2,Anton Killin and Sean Allen{-}Hermanson,Explorations in Archaeology and Philosophy,2021
WYLTCO,Alison Wylie,The Constitution of Archaeological Evidence: Gender Politics and Science,1996
WYLTEO,Alison Wylie,The Engendering of Archaeology Refiguring Feminist Science Studies,1997
HARMTR-3,Oliver J. T. Harris,More Than Representation: Multiscalar Assemblages and the Deleuzian Challenge to Archaeology,2018
BULTIA,Jenny Bulstrode,The Industrial Archaeology of Deep Time,2016
WYLTPA,Alison Wylie,The Promise and Perils of an Ethic of Stewardship,2005
WYLTIO-2,Alison Wylie,The Interplay of Evidential Constraints and Political Interests: Recent Archaeological Research on Gender,1992
WYLME-2,Alison Wylie and Robert Chapman,Material Evidence,2014
WYLEDI,Alison Wylie,"Ethical Dilemmas in Archaeological Practice: Looting, Repatriation, Stewardship, and the (Trans) Formation of Disciplinary Identity",1996
GONTEO-11,Marco Pina and Nathalie Gontier,The Evolution of Social Communication in Primates: A Multidisciplinary Approach,2014
HODATT,Ian Hodder,Archaeological Theory Today,2001
HAHAAT-4,Robert Hahn,Archaeology and the Origins of Philosophy,2010
COOTAI-6,David E. Cooper,Truthfulness and 'Inclusion'in Archaeology,2006
SCAAAR,Geoffrey Scarre,Archaeology and Respect for the Dead,2003
NICAFL-2,George P. Nicholas and Alison Wylie,"Archaeological Finds: Legacies of Appropriation, Modes of Response",2009
WYLAPO-3,A. Wylie,A Plurality of Pluralisms: Collaborative Practice in Archaeology,2015
DESTMC-2,Hugh Desmond and Grant Ramsey,The Manifold Challenges to Understanding Human Success,2023
KILMAS,Anton Killin,"Music Archaeology, Signaling Theory, Social Differentiation",2021
OBRAEA-2,Michael J. O'Brien and R. Lee Lyman,Applying Evolutionary Archaeology: A Systematic Approach,2000
PAICAM,Ross Pain,Cognitive Archaeology Meets Cultural Evolutionary Psychology (1st edition),2024
MENBRD,Andra Meneganzin and Anton Killin,Beyond Reasonable Doubt: Reconsidering Neanderthal Aesthetic Capacity,forthcoming
WYLSAA,Alison Wylie,?Simple? Analogy and the Role of Relevance Assumptions: Implications of Archaeological Practice,1988
HURIAP,Ryan Hurd,"Integral Archaeology: Process Methodologies for Exploring Prehistoric Rock Art on Ometepe Island, Nicaragua",2011
HACD,Ian Hacking,D\'{e}raison,2011
CLAATL-2,D. L. Clarke,Archaeology: The Loss of Innocence,1973
LEVOTA-3,Michael E. Levin,"On the Ascription of Functions to Objects, with Special Reference to Inference in Archaeology",1976
PAUDND,Paul Bahn,Do Not Disturb? Archaeology and the Rights of the Dead,1984
HARAIO-6,Sandra Harding,Ascetic Intellectual Opportunities: Reply to Alison Wylie,1987
MOSMEK-2,Stephanie Moser,Making Expert Knowledge Through the Image: Connections Between Antiquarian and Early Modern Scientific Illustration,2014
SCATEO-7,Chris Scarre and Geoffrey Scarre,The Ethics of Archaeology: Philosophical Perspectives on Archaeological Practice,2006
SUBSIA,Vanja Suboti\'c,Semantic Internalism and Externalism in Paleolinguistics: Mind Your Language About Proto-Indo-European Mind and Language!,2024
SIMBTV-2,Cristi\'{a}n Simonetti,Between the Vertical and the Horizontal,2013
WYLACA,Alison Wylie,Archaeological Cables and Tacking: The Implications of Practice for Bernstein's 'Options Beyond Objectivism and Relativism',1989
BINTAS,John L. Bintliff,The Annales School and Archaeology,1991
JOHATA,Matthew Johnson,Archaeological Theory: An Introduction,1999
YATFFA,Tim Yates,Frameworks for an Archaeology of the Body,1993
PLUIAA,S\'{e}bastien Plutniak,Is an Archaeological Contribution to the Theory of Social Science Possible? Archaeological Data and Concepts in the Dispute Between Jean-Claude Gardin and Jean-Claude Passeron,2017
GONRAB,Alfredo Gonza?lez Ruibal,Reclaiming Archaeology: Beyond the Tropes of Modernity,2013
SCAATP,Geoffrey Scarre and Robin Coningham,Appropriating the Past: Philosophical Perspectives on the Practice of Archaeology,2013
TRIAHO,Bruce G. Trigger,A History of Archaeological Thought,1989
GROTA,Matt Grove,The Archaeology of Group Size,2010
MENWIA-4,Andra Meneganzin and Grant Ramsey and James DIFrisco,What is a Trait? Lessons From the Human Chin,2024
ANTSHS,Pierpaolo Antonello,Sacrificing Homo Sacer: Ren\'e Girard Reads Giorgio Agamben,2019
SALOTP-5,Merrilee H. Salmon,On the Possibility of Lawful Explanation in Archaeology,1990
